dataset,task,task_type,method,split,metric_name,metric_value,ci_lower,ci_upper,n_folds,cell_deg,feature_dim,n_samples,n_test,seed,model_name,model_target
pdfm-conus27,Percent_Person_WithHighCholesterol,regression,linear,random,r2,0.0418714577489596,0.03619913077121904,0.04754378472670015,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithPhysicalHealthNotGood,regression,linear,random,r2,0.08945601901511695,0.08170973803965863,0.09720229999057527,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithStroke,regression,linear,random,r2,0.060122827211897725,0.05322093455139452,0.06702471987240093,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_BingeDrinking,regression,linear,random,r2,0.1457680915154946,0.13820323257556974,0.15333295045541948,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_PhysicalInactivity,regression,linear,random,r2,0.19561865525185448,0.18468989960302784,0.20654741090068113,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_ReceivedAnnualCheckup,regression,linear,random,r2,0.5080916270655169,0.4981895749697575,0.5179936791612764,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithCancerExcludingSkinCancer,regression,linear,random,r2,0.06448651407917001,0.05538050540944238,0.07359252274889765,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithDiabetes,regression,linear,random,r2,0.1272601796706117,0.11566783655121116,0.13885252279001226,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithMentalHealthNotGood,regression,linear,random,r2,0.11098459159532484,0.1062181297217984,0.11575105346885128,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithCoronaryHeartDisease,regression,linear,random,r2,0.04280043330672567,0.037075340393197855,0.04852552622025349,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithHighBloodPressure,regression,linear,random,r2,0.1315813313780956,0.12170193872282165,0.14146072403336957,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_ReceivedCholesterolScreening,regression,linear,random,r2,0.06390830144636195,0.055859015195299705,0.07195758769742419,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_ReceivedDentalVisit,regression,linear,random,r2,0.24729599372031688,0.23460187198074856,0.2599901154598852,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithAsthma,regression,linear,random,r2,0.08564661110045706,0.08247190634679129,0.08882131585412283,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithChronicKidneyDisease,regression,linear,random,r2,0.045432753676192664,0.03888354378912949,0.05198196356325584,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithArthritis,regression,linear,random,r2,0.05879628508556047,0.05230588033398957,0.06528668983713137,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithChronicObstructivePulmonaryDisease,regression,linear,random,r2,0.07379484206521972,0.06658202761664768,0.08100765651379176,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication,regression,linear,random,r2,0.10725507451973115,0.09475532052110895,0.11975482851835335,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_Obesity,regression,linear,random,r2,0.20601504406037807,0.1945735609618119,0.21745652715894426,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_SleepLessThan7Hours,regression,linear,random,r2,0.23950774074208853,0.23026610979743764,0.2487493716867394,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_Smoking,regression,linear,random,r2,0.13598553549610454,0.12893364440087832,0.14303742659133076,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Median_Income_Household,regression,linear,random,r2,0.08230484597074408,0.0773732117950715,0.08723648014641666,5,10.0,4,35157,34835,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied,regression,linear,random,r2,0.2773868451495121,0.2659380460929885,0.28883564420603575,5,10.0,4,35157,34609,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,night_lights_log10,regression,linear,random,r2,0.07427630084559414,0.06927820975436327,0.079274391936825,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,population_density_log10,regression,linear,random,r2,0.16366432197664146,0.1575168693304267,0.16981177462285624,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,tree_cover,regression,linear,random,r2,0.2806840847537314,0.2689549213577762,0.2924132481496866,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,elevation,regression,linear,random,r2,0.27263114394114146,0.264464836072208,0.2807974518100749,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithHighCholesterol,regression,linear,spatial,r2,-0.08218436798843864,-0.12463267714138082,-0.03973605883549646,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithPhysicalHealthNotGood,regression,linear,spatial,r2,-0.19212996402481658,-0.3577109109873743,-0.026549017062258873,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithStroke,regression,linear,spatial,r2,-0.06340328948004367,-0.11338618849508299,-0.013420390465004359,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_BingeDrinking,regression,linear,spatial,r2,-0.15701032789355468,-0.3415738296154326,0.027553173828323202,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_PhysicalInactivity,regression,linear,spatial,r2,0.026776309173729196,-0.047261812024057256,0.10081443037151565,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_ReceivedAnnualCheckup,regression,linear,spatial,r2,0.29839090692367076,0.0755687809078186,0.5212130329395229,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithCancerExcludingSkinCancer,regression,linear,spatial,r2,0.017139520755151218,-0.039996878632333734,0.07427592014263618,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithDiabetes,regression,linear,spatial,r2,-0.023163185869081615,-0.08773154764272525,0.041405175904562025,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithMentalHealthNotGood,regression,linear,spatial,r2,-0.2420653222436112,-0.4051802664868245,-0.07895037800039789,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithCoronaryHeartDisease,regression,linear,spatial,r2,-0.08611122697846278,-0.13969937940431648,-0.03252307455260908,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithHighBloodPressure,regression,linear,spatial,r2,-0.15452400033123936,-0.27893045668044286,-0.030117543982035866,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_ReceivedCholesterolScreening,regression,linear,spatial,r2,-0.05419098802623394,-0.14655633838799398,0.038174362335526096,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_ReceivedDentalVisit,regression,linear,spatial,r2,-0.010579437037093941,-0.2642029189727318,0.2430440448985439,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithAsthma,regression,linear,spatial,r2,-0.186498354415246,-0.32297038777711085,-0.0500263210533812,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithChronicKidneyDisease,regression,linear,spatial,r2,-0.01904937054643465,-0.05171393681547389,0.01361519572260459,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
