base,m-bigearthnet,m-brick-kiln,m-eurosat,m-forestnet,m-pv4ger,m-so2sat,mean
vit_tiny_patch16_224,-0.0771,3.8038,-4.7,-2.1148,1.3013,-1.4199,-0.5344
vit_small_patch16_224,0.6616,0.5005,-1.4,-1.6113,0.6006,-2.0284,-0.5462
vit_base_patch16_224,-0.5599,0.2002,-1.2,0.3021,0.3003,1.217,0.0433
vit_large_patch16_224,1.8927,-0.4004,1.5,0.9063,0.0,2.9412,1.14
vit_large_patch16_dinov3,0.7616,3.9039,0.4,-0.9063,1.4014,-2.2312,0.5549
vit_large_patch16_dinov3sat,0.2615,6.6066,-1.8,-2.3162,-0.4004,-0.6085,0.2905
deit_tiny_patch16_224,-1.9679,5.005,-6.8,1.8127,1.2012,-5.071,-0.97
deit_small_patch16_224,-5.3298,0.3003,-8.7,-2.3162,1.9019,-3.0426,-2.8644
deit_base_patch16_224,-3.0883,1.5015,-2.9,2.1148,0.1001,0.5071,-0.2941
mean,-0.8273,2.3802,-2.8444,-0.4588,0.7118,-1.0818,-0.3534
