base,m-bigearthnet,m-brick-kiln,m-eurosat,m-forestnet,m-pv4ger,m-so2sat,mean
vit_tiny_patch16_224,1.3131,1.1011,-1.9,-2.3162,0.2002,2.2312,0.1049
vit_small_patch16_224,2.168,0.2002,-0.8,-0.5035,0.3003,0.0,0.2275
vit_base_patch16_224,-0.1097,0.1001,-1.3,2.8197,0.2002,0.3043,0.3358
vit_large_patch16_224,0.2409,-0.4004,-0.2,-1.6113,-0.3003,-1.7241,-0.6659
vit_large_patch16_dinov3,1.0108,1.1011,-0.8,0.3021,0.4004,-1.217,0.1329
vit_large_patch16_dinov3sat,-0.0046,0.0,-0.8,-0.5035,0.3003,2.4341,0.2377
deit_tiny_patch16_224,1.4149,2.6026,-1.4,-2.2155,-0.1001,-2.2312,-0.3216
deit_small_patch16_224,-0.6172,0.4004,-0.4,-3.0211,0.7007,0.5071,-0.405
deit_base_patch16_224,-0.8148,0.1001,0.3,-1.9134,-0.2002,-1.3185,-0.6411
mean,0.5113,0.5784,-0.8111,-0.9959,0.1668,-0.1127,-0.1105
