dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1
m-eurosat,knn5,accuracy,0.86,0.8379999995231628,0.8860499784350395,192,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.917,0.8979750022292137,0.9320249825716018,192,1.274274985703132,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.812,0.7869750007987022,0.8380499988794327,192,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.912,0.893974994122982,0.9300250068306924,192,0.0054555947811685,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.856,0.8299999833106995,0.878000020980835,384,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.944,0.9290000200271606,0.9570250168442728,384,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.848,0.8249749884009361,0.8690250173211098,384,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.934,0.9179499834775924,0.9470250263810158,384,3.792690190732246,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.825,0.800000011920929,0.8450250282883645,768,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.946,0.9319999814033508,0.959024991095066,768,100.0,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.817,0.7928999826312065,0.8410250201821328,768,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.934,0.9190000295639038,0.9490250006318092,768,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.881,0.8569749936461448,0.9049999713897704,1024,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.959,0.9459999799728394,0.9680249944329262,1024,0.4281332398719387,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.895,0.8709749922156333,0.912025000154972,1024,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.954,0.9429750174283982,0.9649999737739564,1024,0.0162377673918872,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.921,0.9010000228881836,0.9380250230431556,1024,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.965,0.9539749965071678,0.9740249782800674,1024,0.4281332398719387,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.926,0.9069750055670738,0.9400249972939492,1024,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.948,0.9349750027060508,0.9600249797105788,1024,1.274274985703132,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.918,0.9009750217199326,0.9369999766349792,1024,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.968,0.9549999833106996,0.9789999723434448,1024,100.0,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.896,0.877975019812584,0.9170249953866004,1024,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.953,0.9409999847412108,0.9649999737739564,1024,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.848,0.8230000138282776,0.8679999709129333,192,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.92,0.9039999842643738,0.9360499903559684,192,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.779,0.7559999823570251,0.8009999990463257,192,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.906,0.8889749988913536,0.9240250244736672,192,0.0162377673918872,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.879,0.8569999933242798,0.8980250015854836,384,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.937,0.9229749783873558,0.9539999961853028,384,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.799,0.7729500025510788,0.8210249811410903,384,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.935,0.9200000166893004,0.9520000219345092,384,0.0483293023857175,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.863,0.8409750193357468,0.8840000033378601,768,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.957,0.9430000185966492,0.9700000286102296,768,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,knn5,accuracy,0.834,0.8109749898314476,0.859025026857853,768,,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-eurosat,linear,accuracy,0.954,0.9399999976158142,0.9679999947547911,768,0.1438449888287662,,,2000,1000,1000,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4016227180527383,0.3721855945885181,0.4340770840644836,192,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.5720081135902637,0.5415568113327026,0.6044878587126732,192,1.274274985703132,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.3742393509127789,0.3458164401352405,0.4067951463162899,192,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.592292089249493,0.5608519315719604,0.6258113831281662,192,0.0018329807108324,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4482758620689655,0.4168356955051422,0.4746703736484051,384,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6186612576064908,0.5912018328905105,0.648098373413086,384,0.0054555947811685,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4188640973630831,0.3873985774815082,0.4483012191951275,384,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6186612576064908,0.5882353186607361,0.6470588445663452,384,0.000615848211066,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4006085192697768,0.3731997974216938,0.4331135913729668,768,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.5943204868154158,0.5669371485710144,0.6257860288023949,768,0.0054555947811685,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4168356997971602,0.3914553888142109,0.4472616612911224,768,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
