model,name,band_config,n_channels,image_size,num_classes,task,head_type,gflops_backbone,gflops_head,gflops_probe,gflops_total,params_backbone_m,params_head_m,params_probe_m,feature_dim,pool,n_tokens,throughput_samples_per_sec,latency_ms_per_batch_p50,peak_gpu_mem_gb,reserved_gpu_mem_gb,timing_batch_size,lenient_grad_hooks,measured_at
torchgeo_bench.models.ImageStatsBench,imagestats,rgb,3,224,10,classification,,0.0,,2.4e-07,2.4e-07,0.0,,0.00013,12,,,325515.37102438766,0.19461708143353462,0.035895347595214844,0.0390625,64,True,2026-08-04T12:04:55+00:00
torchgeo_bench.models.ImageStatsBench,imagestats,s2,12,224,10,classification,,0.0,,9.6e-07,9.6e-07,0.0,,0.00049,48,,,91499.77097221228,0.5210060626268387,0.15248870849609375,0.18359375,64,True,2026-08-04T12:04:55+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,rgb,3,224,10,classification,,604.385574912,,1.536e-05,604.3855902720001,207.455232,,0.00769,768,,784,28.806467376459317,2220.5382674001157,7.183101177215576,9.65234375,64,True,2026-08-04T12:06:09+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,s2,12,224,10,classification,,604.385574912,,1.536e-05,604.3855902720001,207.455232,,0.00769,768,,784,29.358918350025757,2180.9008894488215,7.290278911590576,9.705078125,64,True,2026-08-04T12:07:01+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,rgb,3,224,10,classification,,1965.601849344,,2.048e-05,1965.601869824,668.045312,,0.01025,1024,,784,9.441884155604727,6774.820122402161,10.899171352386475,14.029296875,64,True,2026-08-04T12:10:13+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,s2,12,224,10,classification,,1965.601849344,,2.048e-05,1965.601869824,668.045312,,0.01025,1024,,784,9.479980856765144,6745.112746953964,11.007691860198975,14.0703125,64,True,2026-08-04T12:12:55+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,rgb,3,224,10,classification,,15.182856192,,2.56e-06,15.182858752,3.55072,,0.00129,128,,784,200.98926009037783,318.8785273814574,1.3915181159973145,1.80078125,64,True,2026-08-04T12:13:26+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,s2,12,224,10,classification,,15.182856192,,2.56e-06,15.182858752,3.55072,,0.00129,128,,784,208.72853308822346,307.530713500455,1.5001606941223145,1.89453125,64,True,2026-08-04T12:13:33+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,rgb,3,224,10,classification,,76.184027136,,3.84e-06,76.184030976,14.262528,,0.00193,192,,784,135.89011969431948,472.1571720438078,1.9329571723937988,2.673828125,64,True,2026-08-04T12:13:59+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,s2,12,224,10,classification,,76.184027136,,3.84e-06,76.184030976,14.262528,,0.00193,192,,784,138.53982020879553,462.4099109787494,2.041599750518799,2.693359375,64,True,2026-08-04T12:14:11+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,rgb,3,224,10,classification,,160.845791232,,1.536e-05,160.845806592,257.49536,,0.00769,768,,784,83.68448335685443,764.6556328982115,3.3393454551696777,4.2421875,64,True,2026-08-04T12:14:51+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,s2,12,224,10,classification,,160.845791232,,1.536e-05,160.845806592,257.49536,,0.00769,768,,784,89.88322897504487,712.8113115904853,3.4485983848571777,3.8828125,64,True,2026-08-04T12:15:10+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_nano,rgb,3,224,10,classification,,2.660532224,,2.56e-06,2.6605347839999998,4.223232,,0.00129,128,,784,299.72938606051076,214.3151389900595,0.8181347846984863,0.833984375,64,True,2026-08-04T12:15:35+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_nano,s2,12,224,10,classification,,2.660532224,,2.56e-06,2.6605347839999998,4.223232,,0.00129,128,,784,322.38935397215386,202.72743713576347,0.9267773628234863,1.048828125,64,True,2026-08-04T12:15:40+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,rgb,3,224,10,classification,,15.298461696,,3.84e-06,15.298465536,26.779856,,0.00193,192,,784,232.727036535487,275.1285914564505,2.144412040710449,2.166015625,64,True,2026-08-04T12:16:02+00:00
torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,s2,12,224,10,classification,,15.298461696,,3.84e-06,15.298465536,26.779856,,0.00193,192,,784,251.79271801623875,255.07082510739565,2.253054618835449,2.380859375,64,True,2026-08-04T12:16:08+00:00
torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,s2,12,224,10,classification,,35.635396608,,1.536e-05,35.635411968,87.31392,,0.00769,768,mean,196,1624.6250366666752,39.36577937565744,1.703049659729004,1.9375,64,True,2026-08-04T12:22:30+00:00
torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,rgb,3,224,10,classification,,34.941763584,,1.536e-05,34.941778944,85.544448,,0.00769,768,mean,196,1620.810438419472,38.29154639970511,1.370041847229004,1.59765625,64,True,2026-08-04T12:22:53+00:00
torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,s2,12,224,10,classification,,123.370340352,,2.048e-05,123.370360832,305.137664,,0.01025,1024,mean,196,452.9259053859774,141.38480846304446,3.992046356201172,4.53125,64,True,2026-08-04T12:23:32+00:00
torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,rgb,3,224,10,classification,,122.44549632,,2.048e-05,122.44551680000001,302.778368,,0.01025,1024,mean,196,456.80732644635543,140.2988655027002,3.660259246826172,4.244140625,64,True,2026-08-04T12:24:03+00:00
torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,rgb,3,224,10,classification,,164.737941504,,2.048e-05,164.73796198399998,303.079424,,0.01025,1024,,196,101.03581247894749,633.4020440699533,1.9618229866027832,2.599609375,64,True,2026-08-04T12:24:42+00:00
torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,s2,12,224,10,classification,,165.945901056,,2.048e-05,165.945921536,305.43872,,0.01025,1024,,196,100.87552745207252,634.4403513940051,2.326569080352783,2.703125,64,True,2026-08-04T12:25:01+00:00
torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,rgb,3,224,10,classification,,164.737941504,,2.048e-05,164.73796198399998,303.079424,,0.01025,1024,,196,101.03660650202897,633.4182096179575,1.9618229866027832,2.599609375,64,True,2026-08-04T12:25:45+00:00
torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,s2,12,224,10,classification,,165.945901056,,2.048e-05,165.945921536,305.43872,,0.01025,1024,,196,100.89675179787184,634.3157854862511,2.326569080352783,2.703125,64,True,2026-08-04T12:26:04+00:00
torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,rgb,3,224,10,classification,,35.442143232,,1.536e-05,35.442158592,111.346733,,0.00769,768,,196,482.0508744618686,132.71527597680688,0.8917937278747559,1.123046875,64.0,True,2026-08-04T12:28:41+00:00
torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,s2,12,224,10,classification,,36.601225728,,1.536e-05,36.601241088,111.346733,,0.00769,768,,196,480.0601622235537,133.2391870673746,1.1094493865966797,1.236328125,64.0,True,2026-08-04T12:28:45+00:00
torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,s2,12,224,4,segmentation,fpn,,1.234731008,,,111.346733,3.15802,,3072,,196,,,,,,True,2026-08-04T12:28:45+00:00
torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,s2,12,224,4,segmentation,dpt,,147.307102208,,,111.346733,11.097348,,3072,,196,,,,,,True,2026-08-04T12:28:46+00:00
torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,rgb,3,224,10,classification,,123.47379712,,2.048e-05,123.4738176,337.151533,,0.01025,1024,,196,143.2477817648136,446.67139591183513,1.867443561553955,2.099609375,64,True,2026-08-04T12:31:50+00:00
torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,s2,12,224,10,classification,,125.015085568,,2.048e-05,125.015106048,337.151533,,0.01025,1024,,196,143.12891737100497,447.0636359183118,2.083268165588379,2.099609375,64,True,2026-08-04T12:32:03+00:00
torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,rgb,3,224,10,classification,,16.876306432,,8.192e-05,16.876388352,27.662212,,0.04097,4096,,,1161.0388885452282,55.11550058145076,1.527148723602295,1.892578125,64,True,2026-08-04T12:32:30+00:00
torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,s2,12,224,10,classification,,18.321375232,,8.192e-05,18.321457152,27.690436,,0.04097,4096,,,1083.3337913036219,59.08226256724447,1.9618239402770996,2.3203125,64,True,2026-08-04T12:32:32+00:00
torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,rgb,3,224,10,classification,,64.005378048,,1.536e-05,64.005393408,98.120448,,0.00769,768,,256,263.8688514416338,242.52860248088837,2.8407740592956543,2.9609375,64,True,2026-08-04T12:32:55+00:00
torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,s2,12,224,10,classification,,115.02987264,,1.536e-05,115.029888,98.120448,,0.00769,768,,256,149.270480513012,428.73441707342863,9.399585247039795,9.57421875,64,True,2026-08-04T12:33:07+00:00
