dataset,model,solver,C,log10_C,lr,fit_seconds,n_iter,train_acc,val_acc,test_acc,feature_dim,n_train,n_val,n_test,max_iter,tol,device
m-brick-kiln,resnet18,lbfgs,0.001,-3.0,1.0,0.2790521309943869,25,0.9366660027882892,0.947947947947948,0.9329329329329328,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,lbfgs,0.01,-2.0,1.0,0.1327574340393766,47,0.9563831905994822,0.958958958958959,0.951951951951952,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,lbfgs,0.1,-1.0,1.0,0.2914873120607808,95,0.9646152824802496,0.95995995995996,0.965965965965966,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,lbfgs,1.0,0.0,1.0,0.4862097980221733,155,0.9684657770696408,0.958958958958959,0.9569569569569568,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,lbfgs,10.0,1.0,1.0,0.7453965879976749,252,0.968001062205404,0.9569569569569568,0.955955955955956,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,lbfgs,100.0,2.0,1.0,0.8061212070751935,306,0.9681338378809002,0.9569569569569568,0.954954954954955,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.001,-3.0,0.001,1.5274824510561302,54,0.9343424284671048,0.944944944944945,0.9269269269269268,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.001,-3.0,0.01,0.1384976570261642,7,0.9322844054969128,0.93993993993994,0.928928928928929,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.001,-3.0,0.1,0.1274694709572941,7,0.938060147381,0.945945945945946,0.933933933933934,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.001,-3.0,1.0,0.1087477740366011,6,0.7422824138617805,0.7567567567567568,0.7427427427427428,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.01,-2.0,0.001,1.539985058014281,94,0.9512049392551284,0.9529529529529528,0.944944944944945,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.01,-2.0,0.01,0.3759255990153178,19,0.954126004116046,0.957957957957958,0.951951951951952,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.01,-2.0,0.1,0.1049847570247948,6,0.9431056230498572,0.947947947947948,0.937937937937938,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.01,-2.0,1.0,0.073249289067462,4,0.8616477461329084,0.8668668668668669,0.8648648648648649,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.1,-1.0,0.001,1.3993062330409884,87,0.9554537608710084,0.953953953953954,0.953953953953954,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.1,-1.0,0.01,0.3529924409231171,22,0.958441213569674,0.957957957957958,0.957957957957958,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.1,-1.0,0.1,0.1409549199743196,8,0.9607647878908584,0.958958958958959,0.958958958958959,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,0.1,-1.0,1.0,0.0754826880292967,4,0.921131248755228,0.927927927927928,0.917917917917918,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,1.0,0.0,0.001,1.4736398429377005,94,0.9558520878974972,0.951951951951952,0.9529529529529528,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,1.0,0.0,0.01,0.3780534400139004,22,0.9613622784305916,0.955955955955956,0.957957957957958,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,1.0,0.0,0.1,0.1282257420243695,7,0.9532629622253204,0.960960960960961,0.9469469469469468,512,15063,999,999,2000,1e-06,cuda:2
m-brick-kiln,resnet18,adam,1.0,0.0,1.0,0.1272999960929155,7,0.9525326960100908,0.9569569569569568,0.948948948948949,512,15063,999,999,2000,1e-06,cuda:2
