dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,16.19694709777832,0.0,0.0,1920,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,17,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,16.526212692260742,0.0,0.0,1920,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,17,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,1920,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,17,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,24.555452346801758,0.0,0.0,1920,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,43,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,23.801151275634766,0.0,0.0,1920,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,43,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,32.0,0.0,0.0,1920,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,43,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,16.00364112854004,0.0,0.0,1920,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,17,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,16.48706817626953,0.0,0.0,1920,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,17,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,1920,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,17,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,26.939350128173828,0.0,0.0,1920,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,19,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,19.250629425048828,0.0,0.0,1920,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,19,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,21.0,0.0,0.0,1920,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,19,01798696e399f1a7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,1920,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,12,5ad9f383f0da7d96,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,0.9475718140602112,0.0,0.0,1920,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,12,5ad9f383f0da7d96,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,33.0,0.0,0.0,1920,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,12,5ad9f383f0da7d96,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,23.87539291381836,0.0,0.0,1920,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,10,5ad9f383f0da7d96,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,16.871965408325195,0.0,0.0,1920,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet201,bandspec_zscore,224,bilinear,default,rgb,10,5ad9f383f0da7d96,-6,4,40,True,200,,,,,,,,,,,,,,
