dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,2.2074339389801025,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,7.0,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,10.809779167175293,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,9.671055793762207,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,10.0,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,11.510927436059037,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,6.246077321014617,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.2785928789086798,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.8689515074345416,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.27291250787646465,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,e9ae705b6b05567b,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,10.809779167175293,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,9.671055793762207,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,10.0,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,11.510927436059037,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,6.246077321014617,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.2785928789086798,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.8689515074345416,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.27291250787646465,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,model_native,,bilinear,default,rgb,45,220f9fd0e5eb5900,-6,4,40,True,200,,,,,,,,,,,,,,
