dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,intrinsic_dim,id_TwoNN_train,6.213223934173584,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,5.279879093170166,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,10.662879943847656,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,9.382284164428711,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,5.946517257778439,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,3.7269106898694897,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.4481569251721785,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.9635315003751805,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.4438117041105421,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,bandspec_zscore,,bilinear,default,rgb,45,d93fffe212811129,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,10.662879943847656,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,9.382284164428711,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,5.946517257778439,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,3.7269106898694897,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.4481569251721785,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.9635315003751805,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.4438117041105421,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_10m,model_native,,bilinear,default,rgb,45,0766c872dfadf2fd,-6,4,40,True,200,,,,,,,,,,,,,,
