dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,intrinsic_dim,id_TwoNN_train,11.620182037353516,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,10.66884994506836,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,9.353119850158691,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,8.874242782592773,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,16.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,8.534883499145508,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,6.3169403076171875,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,15.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,8.008040428161621,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,7.528317928314209,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,9.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,8.66551399230957,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,6.262679100036621,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,6.553740501403809,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,5.262397289276123,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,9.538697242736816,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,7.999752044677734,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,8.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
