dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,intrinsic_dim,id_TwoNN_train,13.874608993530273,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,8.771912574768066,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,3.0,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,spectrum_effective_rank_train,2.501004831513129,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,spectrum_participation_ratio_train,1.811612968719368,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.713773436673429,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.9889673724226102,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,spectrum_spectral_anisotropy_train,0.7134936453114284,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,10,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,8.363472938537598,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,12,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,5.677018642425537,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_rgb,model_native,224,bilinear,default,rgb,12,75d915e3031561b1,-6,4,40,True,200,,,,,,,,,,,,,,
