dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,intrinsic_dim,id_TwoNN_train,19.572126388549805,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,19,-6,4,40,True,200,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,15.233034133911133,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,19,-6,4,40,True,200,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,12.0,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,19,-6,4,40,True,200,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,21.736949920654297,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,17.21612548828125,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,7.077411651611328,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,-6,4,40,True,200,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,7.43444299697876,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,-6,4,40,True,200,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,12.277848243713379,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,11.54633903503418,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,2,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,16.836111068725586,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,17.81638526916504,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,15.342704772949219,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,13.35585880279541,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,9.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,43,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,14.343476295471191,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,16.27377700805664,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,19.39590072631836,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,13.269813537597656,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,10.045886039733887,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,7.477837562561035,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,10,-6,4,40,True,200,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,18.780597686767578,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,14.711835861206055,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,22.0,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,-6,4,40,True,200,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,7.101174831390381,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,-6,4,40,True,200,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,-6,4,40,True,200,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_TwoNN_train,12.140308380126953,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,17,-6,4,40,True,200,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,12.26680850982666,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,17,-6,4,40,True,200,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,14.0,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,17,-6,4,40,True,200,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,11.727967262268066,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,17,-6,4,40,True,200,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,12.428447723388672,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,17,-6,4,40,True,200,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,14.0,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,17,-6,4,40,True,200,,,,,,,,,,,,
treesatai,intrinsic_dim,id_TwoNN_train,17.201629638671875,0.0,0.0,768,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,15,-6,4,40,True,200,,,,,,,,,,,,
treesatai,intrinsic_dim,id_MLE_train,14.776444435119629,0.0,0.0,768,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,15,-6,4,40,True,200,,,,,,,,,,,,
treesatai,intrinsic_dim,id_lPCA_train,19.0,0.0,0.0,768,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,15,-6,4,40,True,200,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,17.88019561767578,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,45,1f8ea1dce9336096,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,16.405019760131836,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,45,1f8ea1dce9336096,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,45,1f8ea1dce9336096,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,105.71861753273822,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,45,1f8ea1dce9336096,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,28.9555321408521,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,45,1f8ea1dce9336096,-6,4,40,True,200,,,,,,,,,,,,,,
