dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,4.471392631530762,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,26.220916748046875,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,20.13710594177246,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,15.347187042236328,0.0,0.0,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,16.867895126342773,0.0,0.0,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,12.502838134765625,0.0,0.0,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_large,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
