dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,intrinsic_dim,id_TwoNN_train,4.764561176300049,0.0,0.0,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,3.713701009750366,0.0,0.0,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,2.0,0.0,0.0,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,16.973533630371094,0.0,0.0,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,13.482291221618652,0.0,0.0,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,19.0,0.0,0.0,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,14.480194091796875,0.0,0.0,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,10.74351978302002,0.0,0.0,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,17.0,0.0,0.0,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,12.128588676452637,0.0,0.0,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,14.435532569885254,0.0,0.0,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,10.97360897064209,0.0,0.0,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,13.086808204650879,0.0,0.0,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,14.0,0.0,0.0,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,14.088704109191895,0.0,0.0,512,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,10.975215911865234,0.0,0.0,512,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,19.0,0.0,0.0,512,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,4.447616100311279,0.0,0.0,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,3.664952516555786,0.0,0.0,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,3.0,0.0,0.0,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_TwoNN_train,9.297445297241211,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,9.890419006347656,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,12.0,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,9.325318336486816,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,9.9452543258667,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,12.0,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,14.345755577087402,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,13.852875709533691,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,29.0,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,63.224475550421346,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,25.496816033452795,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.12776468216483433,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.5162575492067952,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.12605776373462851,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,45,4ec407b18026f715,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,9.54869270324707,0.0,0.0,512,,,,18900,6300,6300,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,224,bilinear,default,rgb,45,d17921c378246da8,-6,4,40,True,200,,,,,,,,,,,,,,
