dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-brick-kiln,intrinsic_dim,id_TwoNN_train,8.715063095092773,0.0,0.0,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,8.816452026367188,0.0,0.0,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,8.675658226013184,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,8.317108154296875,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,8.0,0.0,0.0,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,18.715238571166992,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,13.442526817321777,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,11.0,0.0,0.0,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,6.665110111236572,0.0,0.0,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,,,,,,,,
