dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,15.91498851776123,0.0,0.0,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,12.87822151184082,0.0,0.0,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,15.96754264831543,0.0,0.0,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,12.923383712768555,0.0,0.0,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,20.752849578857422,0.0,0.0,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,43,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,19.031835556030273,0.0,0.0,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,43,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,43,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,21.59415054321289,0.0,0.0,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,19,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,15.111827850341797,0.0,0.0,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,19,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,19,fec976fec092c1d6,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,19.241031646728516,0.0,0.0,4096,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,10,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,11.63655948638916,0.0,0.0,4096,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,10,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,4096,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,10,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,4096,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,12,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,1.4192942380905151,0.0,0.0,4096,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,12,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,29.0,0.0,0.0,4096,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,12,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,16.396772384643555,0.0,0.0,4096,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,2,5d046e74e454adc7,-6,4,40,True,200,,,,,,,,,,,,,,
