dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,15.324379920959473,0.0,0.0,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,16.146095275878906,0.0,0.0,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,15.774054527282715,0.0,0.0,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,16.19185447692871,0.0,0.0,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,24.388404846191406,0.0,0.0,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,43,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,23.608264923095703,0.0,0.0,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,43,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,33.0,0.0,0.0,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,43,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,25.616762161254883,0.0,0.0,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,19,d150f2834c34a689,-6,4,40,True,200,,,,,,,,,,,,,,
