dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6190615395821167,0.6100327968597412,0.6274940967559814,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,19,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.044494794994151515,0.05679509955409326,0.24927034934884623,,,,,6
m-so2sat,knn5,accuracy,0.3620689655172414,0.33265718817710876,0.3885141909122467,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,17,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.22190715372562408,0.24107593297958374,0.38666781783103943,,,,,6
m-so2sat,linear,accuracy,0.5892494929006086,0.5577840209007263,0.6176977753639221,768,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,17,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.05282070115208626,0.05687854066491127,0.08534720540046692,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4609174523558534,0.4428747892379761,0.4783537983894348,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,43,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.04047442518911043,0.05633047755894273,0.3153154456684756,,,,,6
m-bigearthnet,linear,micro_mAP,0.6254389882837785,0.6093392968177795,0.6410918235778809,768,0.003888155180308085,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,43,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.019160457453582178,0.04958437656074069,0.46932790064534474,,,,,15
benv2,linear,micro_mAP,0.767933654218208,0.7606741786003113,0.7737070322036743,768,0.003888155180308085,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,19,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.015382941723433569,0.02980218862036341,0.25861332212623794,,,,,15
so2sat,knn5,accuracy,0.3620689655172414,0.33569979667663574,0.3945233225822449,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,17,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.22190715372562408,0.24107593297958374,0.38666781783103943,,,,,6
so2sat,linear,accuracy,0.5780933062880325,0.5526622533798218,0.607530415058136,768,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,17,bcf07322b6c5054d,-6,4,40,True,200,,,,,,,0.1214703842997551,0.13366934657096863,0.2146676778793335,,,,,15
m-eurosat,knn5,accuracy,0.723,0.6970000267028809,0.7420249581336975,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,10,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.06640034914016724,0.06972509622573853,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.911,0.8929750323295593,0.9290249943733215,768,3070.2906297578375,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,10,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.07935673743486404,0.12920917570590973,0.8326034545898438,,,,,15
forestnet,knn5,accuracy,0.3856998992950655,0.3554632365703583,0.41598689556121826,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,12,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.3051372766494751,0.32039976119995117,0.41628098487854004,,,,,6
forestnet,linear,accuracy,0.5035246727089627,0.47026684880256653,0.5317724347114563,768,0.0003665241237079626,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,12,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.061242781579494476,0.07781129330396652,0.16456615924835205,,,,,15
m-brick-kiln,knn5,accuracy,0.9049049049049049,0.8868618607521057,0.9219219088554382,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,2,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.022221768274903297,0.026743195950984955,0.050959885120391846,,,,,6
m-brick-kiln,linear,accuracy,0.94994994994995,0.9359108805656433,0.9619619846343994,768,0.0744380301325168,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,2,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.01441482175141573,0.0232586320489645,0.17900130152702332,,,,,15
treesatai,knn5,micro_mAP,0.40279319603069,0.3865564465522766,0.41800206899642944,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,15,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.07110668277988831,0.09355268701910972,0.43225628435611724,,,,,6
treesatai,linear,micro_mAP,0.6009715881042784,0.5844103693962097,0.6160804033279419,768,0.002154434690031882,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_small,bandspec_zscore,224,bilinear,default,rgb,15,8d537fcdb9033ac3,-6,4,40,True,200,,,,,,,0.022087971524645884,0.03524942348400752,0.25024442275365194,,,,,15
