dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
caffe,seg-conv_block,mIoU,0.5500885248184204,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5828575491905212,0.6989412307739258,0.6754986047744751,0.676389753818512,,,,,,,,
caffe,seg-fpn,mIoU,0.5355340242385864,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5612660050392151,0.7000171542167664,0.6599107980728149,0.6624592542648315,,,,,,,,
caffe,seg-linear,mIoU,0.5392737984657288,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.581359326839447,0.6875590682029724,0.6594674587249756,0.6628214716911316,,,,,,,,
caffe,seg-conv_block,mIoU,0.5500966906547546,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5828636884689331,0.6989486813545227,0.675507664680481,0.676399290561676,,,,,,,,
caffe,seg-fpn,mIoU,0.5354572534561157,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5612601041793823,0.6998127102851868,0.6597776412963867,0.6623890399932861,,,,,,,,
caffe,seg-linear,mIoU,0.5392651557922363,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5813484191894531,0.6875515580177307,0.6594640016555786,0.6628128290176392,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6043261289596558,0.0,0.0,1440,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7362676858901978,0.767720103263855,0.7089534997940063,0.7321683168411255,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.6259627342224121,0.0,0.0,1440,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7505875825881958,0.7739973664283752,0.7347372174263,0.7511619329452515,,,,,,,,
cloudsen12,seg-linear,mIoU,0.5764306783676147,0.0,0.0,1440,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7149791717529297,0.7495696544647217,0.6831385493278503,0.7068794965744019,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6271603107452393,0.0,0.0,1440,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7546046376228333,0.7778310775756836,0.7348430752754211,0.7530418634414673,,,,,,,,
