dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6347979797515437,0.625203013420105,0.6422269940376282,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,19,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.04356579177424704,0.05706812654572882,0.26615302499971893,,,,,6
m-so2sat,knn5,accuracy,0.41683569979716023,0.3924441933631897,0.4473123848438263,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,17,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.18357081711292267,0.1863313615322113,0.2144748568534851,,,,,6
m-so2sat,linear,accuracy,0.6206896551724138,0.5902383327484131,0.6490872502326965,1024,0.0006614740641230146,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,17,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.14584653079509735,0.16086268424987793,0.24940615892410278,,,,,15
m-bigearthnet,knn5,micro_mAP,0.47387306674914736,0.454509973526001,0.49069029092788696,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,43,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.03773489011841458,0.05560573138469874,0.32369127384451934,,,,,6
m-bigearthnet,linear,micro_mAP,0.6543766762607519,0.6368199586868286,0.6687347292900085,1024,0.012663801734674022,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,43,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.018476670856999104,0.049913605545149294,0.4440020936173062,,,,,15
so2sat,knn5,accuracy,0.41683569979716023,0.3884381353855133,0.4493154287338257,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,17,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.18357081711292267,0.1863313615322113,0.2144748568534851,,,,,6
so2sat,linear,accuracy,0.6196754563894523,0.5912778973579407,0.6531693339347839,1024,0.0006614740641230146,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,17,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.14675791561603546,0.1605110913515091,0.2495989203453064,,,,,15
benv2,linear,micro_mAP,0.7859717050204378,0.7796981334686279,0.7928255200386047,1024,0.007017038286703823,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,19,48fbc12975d2a1ce,-6,4,40,True,200,,,,,,,0.01604332646207982,0.031204207089582558,0.29798181825562525,,,,,15
m-eurosat,knn5,accuracy,0.832,0.8119249939918518,0.853024959564209,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,10,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.034999944269657135,0.03654719889163971,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.939,0.9240000247955322,0.9540249705314636,1024,0.04124626382901348,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,10,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.01957206055521965,0.03823678195476532,0.38186943531036377,,,,,15
m-forestnet,knn5,accuracy,0.351460221550856,0.32824772596359253,0.3786505460739136,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,12,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.3448150157928467,0.3616260886192322,0.4395604133605957,,,,,6
m-forestnet,linear,accuracy,0.5055387713997986,0.4753272831439972,0.5358006358146667,1024,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,12,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.03854271396994591,0.0564211867749691,0.28911805152893066,,,,,15
treesatai,knn5,micro_mAP,0.4225527030131162,0.40802139043807983,0.4355817437171936,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,15,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.06536000755925973,0.08614024594426155,0.3736925552288691,,,,,6
treesatai,linear,micro_mAP,0.6149519227276966,0.6000851392745972,0.6289557218551636,1024,0.007017038286703823,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,15,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.022670312124925356,0.03536113270868858,0.2856250986456871,,,,,15
m-pv4ger,knn5,accuracy,0.94994994994995,0.9339339137077332,0.9619619846343994,1024,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,2,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.02882888726890087,0.04419634863734245,0.18974384665489197,,,,,6
m-pv4ger,linear,accuracy,0.970970970970971,0.9619369506835938,0.9809809923171997,1024,0.022854638641349883,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,2,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.017554281279444695,0.053094036877155304,0.6001080274581909,,,,,15
m-brick-kiln,knn5,accuracy,0.928928928928929,0.9119119048118591,0.9409659504890442,1024,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,2,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.03963939845561981,0.05654408410191536,0.10243737697601318,,,,,6
m-brick-kiln,linear,accuracy,0.9619619619619619,0.9499499201774597,0.9739739894866943,1024,0.022854638641349883,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnextv2_base,bandspec_zscore,224,bilinear,default,rgb,2,fd8ced0ed3f6766b,-6,4,40,True,200,,,,,,,0.016650978475809097,0.032793428748846054,0.18014180660247803,,,,,15
