dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.651479139781979,0.6439914107322693,0.6604524850845337,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.042905358916246576,0.05579315643071344,0.21713695949629733,,,,,6
m-bigearthnet,knn5,micro_mAP,0.5006512063927439,0.4847467839717865,0.5200051069259644,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.03845115753193928,0.05654247490645841,0.27916522878547045,,,,,6
m-bigearthnet,linear,micro_mAP,0.6568414535383683,0.6392427682876587,0.6709383130073547,768,0.012663801734674022,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.020218016709699187,0.053749548054711764,0.4933658588764279,,,,,15
m-so2sat,knn5,accuracy,0.4056795131845842,0.3772565722465515,0.43914806842803955,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.2032463252544403,0.21622399985790253,0.33107489347457886,,,,,6
m-so2sat,linear,accuracy,0.6146044624746451,0.5871957540512085,0.6450304388999939,768,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.058953069150447845,0.07347097992897034,0.16612207889556885,,,,,15
so2sat,knn5,accuracy,0.4056795131845842,0.3772565722465515,0.4361308515071869,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.2032463252544403,0.21622399985790253,0.33107489347457886,,,,,6
so2sat,linear,accuracy,0.6146044624746451,0.5841785073280334,0.6491379737854004,768,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.060870662331581116,0.07650406658649445,0.1814022660255432,,,,,15
benv2,linear,micro_mAP,0.7861387411908217,0.7793034911155701,0.7922618389129639,768,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,c092cd52cf786540,-6,4,40,True,200,,,,,,,0.01544074760137224,0.032060301519538224,0.2754493151840411,,,,,15
m-eurosat,knn5,accuracy,0.865,0.8449750542640686,0.8860499858856201,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.03479984030127525,0.0410517193377018,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.954,0.9380000233650208,0.9660000205039978,768,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.02642250992357731,0.06122396141290665,0.6022133231163025,,,,,15
forestnet,knn5,accuracy,0.34541792547834843,0.31513091921806335,0.3716263771057129,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.34662747383117676,0.3660556972026825,0.5003910064697266,,,,,6
forestnet,linear,accuracy,0.5327291037260826,0.5015105605125427,0.5650302171707153,768,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.042241908609867096,0.057041507214307785,0.17841985821723938,,,,,15
m-forestnet,knn5,accuracy,0.3806646525679758,0.351384699344635,0.4119335412979126,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.3125894367694855,0.3245519995689392,0.4157043397426605,,,,,6
m-forestnet,linear,accuracy,0.553877139979859,0.5286757349967957,0.5861027240753174,768,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.04665783420205116,0.060432709753513336,0.14433251321315765,,,,,15
treesatai,knn5,micro_mAP,0.4147983200517676,0.39964526891708374,0.42836448550224304,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,b7c5b29d264ca6ff,-6,4,40,True,200,,,,,,,0.06697997003793717,0.08609387514491876,0.48737429082393646,,,,,6
