dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6197184331382826,0.6110687255859375,0.6283388137817383,192,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.04284729437878061,0.05606794511703284,0.2670376775296111,,,,,6
m-bigearthnet,knn5,micro_mAP,0.4428404082527963,0.4234263002872467,0.45959049463272095,192,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.042088387490705,0.05981153046149154,0.3434286814096362,,,,,6
m-bigearthnet,linear,micro_mAP,0.5487811039150321,0.5321637392044067,0.5650128126144409,192,0.0744380301325168,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.020512082754785933,0.04914427505329598,0.4871097414992576,,,,,15
m-so2sat,knn5,accuracy,0.4340770791075051,0.40664300322532654,0.46247464418411255,192,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.1691691130399704,0.18066656589508057,0.3037037253379822,,,,,6
m-so2sat,linear,accuracy,0.5963488843813387,0.5688894391059875,0.6268001794815063,192,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.03376428037881851,0.045961588621139526,0.17290140688419342,,,,,15
benv2,linear,micro_mAP,0.7327608826769669,0.7248023152351379,0.7393025159835815,192,0.04124626382901348,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.017560598342434355,0.0310347830925725,0.24634095438216863,,,,,15
so2sat,knn5,accuracy,0.4340770791075051,0.40463995933532715,0.4675963521003723,192,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.1691691130399704,0.18066656589508057,0.3037037253379822,,,,,6
so2sat,linear,accuracy,0.5963488843813387,0.5709178447723389,0.6288285851478577,192,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,602f3a1cfb6555f6,-6,4,40,True,200,,,,,,,0.03143537789583206,0.04434231296181679,0.17286400496959686,,,,,15
m-eurosat,knn5,accuracy,0.849,0.8240000009536743,0.8700249791145325,192,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,837ab74bdfbcb4be,-6,4,40,True,200,,,,,,,0.03539986163377762,0.04483971372246742,0.800000011920929,,,,,6
m-eurosat,linear,accuracy,0.917,0.9010000228881836,0.93402498960495,192,0.24244620170823258,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,837ab74bdfbcb4be,-6,4,40,True,200,,,,,,,0.023224446922540665,0.03744683042168617,0.3134746253490448,,,,,15
