dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
caffe,seg-conv_block,mIoU,0.5570809841156006,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.5777958631515503,0.710376501083374,0.6877771615982056,0.6866639852523804,,,,,,,,
caffe,seg-fpn,mIoU,0.5389707088470459,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.5546349883079529,0.706880509853363,0.6684410572052002,0.6679696440696716,,,,,,,,
caffe,seg-dpt,mIoU,0.5433397889137268,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.5606824159622192,0.6988885998725891,0.6813498735427856,0.6715301871299744,,,,,,,,
caffe,seg-linear,mIoU,0.5335599184036255,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.5591018199920654,0.6784237623214722,0.6735066771507263,0.6628987789154053,,,,,,,,
caffe,seg-conv_block,mIoU,0.5570721626281738,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.5777840614318848,0.7103674411773682,0.6877747178077698,0.6866549253463745,,,,,,,,
caffe,seg-dpt,mIoU,0.5482969880104065,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.564079761505127,0.7093719840049744,0.6804734468460083,0.676631510257721,,,,,,,,
caffe,seg-linear,mIoU,0.5335556268692017,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.5590982437133789,0.6784183979034424,0.673506498336792,0.6628941893577576,,,,,,,,
caffe,seg-fpn,mIoU,0.5392508506774902,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.5549651384353638,0.7071765065193176,0.668668806552887,0.66822350025177,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.5290734171867371,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.6742960810661316,0.7431414127349854,0.6388826370239258,0.6594200134277344,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.5539357662200928,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.6887494325637817,0.7496321201324463,0.6705418825149536,0.6856641173362732,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6122559309005737,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.7365268468856812,0.7723138332366943,0.7199074029922485,0.7403029203414917,,,,,,,,
cloudsen12,seg-linear,mIoU,0.35758039355278015,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.5345884561538696,0.6187847852706909,0.45422786474227905,0.4637798070907593,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.49358487129211426,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.6472227573394775,0.714138388633728,0.6012943983078003,0.6223787069320679,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.5107905268669128,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.6638229489326477,0.7391736507415771,0.6252901554107666,0.6373647451400757,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6216204166412354,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.7425940036773682,0.7781283855438232,0.7306935787200928,0.750441312789917,,,,,,,,
cloudsen12,seg-linear,mIoU,0.3274470567703247,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.5205653309822083,0.5343417525291443,0.42796432971954346,0.41554075479507446,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.21947674453258514,0.0,0.0,616,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.35200178623199463,0.4735476076602936,0.35778480768203735,0.3207170367240906,,,,,,,,
dynamic_earthnet,seg-dpt,mIoU,0.2768068313598633,0.0,0.0,616,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.400355726480484,0.5143022537231445,0.37851354479789734,0.3885093331336975,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.26588666439056396,0.0,0.0,616,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.39478611946105957,0.4917530417442322,0.38731634616851807,0.3811546564102173,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.11755319684743881,0.0,0.0,616,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.2824289798736572,0.4079223573207855,0.1949530690908432,0.17448559403419495,,,,,,,,
