dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6302328533895778,0.6209952235221863,0.6404700875282288,162,,,,20000,4000,4000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,19,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.045434272866451034,0.06280929894235573,0.2725946495407506,,,,,6
benv2,linear,micro_mAP,0.6946883023037966,0.6872695684432983,0.7040640115737915,162,1701.2542798525858,,,20000,4000,4000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,19,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.023731607012450695,0.0423514476340068,0.3406787691147704,,,,,15
eurosat,knn5,accuracy,0.8677777777777778,0.8590648174285889,0.875745415687561,153,,,,16200,5400,5400,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,10,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.019261043518781662,0.021371809765696526,0.20000000298023224,,,,,6
eurosat,linear,accuracy,0.9092592592592592,0.9016666412353516,0.9174120426177979,153,0.0744380301325168,,,16200,5400,5400,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,10,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.01753755658864975,0.023656411096453667,0.11879448592662811,,,,,15
eurosat-spatial,knn5,accuracy,0.730925925925926,0.719620406627655,0.7422361373901367,153,,,,16200,5400,5400,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,10,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.12240606546401978,0.12965482473373413,0.46666669845581055,,,,,6
eurosat-spatial,linear,accuracy,0.8790740740740741,0.87071293592453,0.8888935446739197,153,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,10,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.013171150349080563,0.023167168721556664,0.2254648208618164,,,,,15
forestnet,knn5,accuracy,0.29103726082578046,0.26485398411750793,0.31830310821533203,90,,,,6464,989,993,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,12,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.36797717213630676,0.399540513753891,0.5617039203643799,,,,,6
forestnet,linear,accuracy,0.45417925478348437,0.42497482895851135,0.4915156066417694,90,0.0011937766417144358,,,6464,989,993,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,12,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.0589677169919014,0.0853811725974083,0.46677881479263306,,,,,15
m-bigearthnet,knn5,micro_mAP,0.44407172884975243,0.424427330493927,0.4616565406322479,144,,,,20000,1000,1000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,43,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.04228837012724821,0.0612003019209518,0.3537289924746336,,,,,6
m-bigearthnet,linear,micro_mAP,0.49542340388104433,0.47736960649490356,0.5145386457443237,144,0.24244620170823258,,,20000,1000,1000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,43,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.023760646841553754,0.05208372272724329,0.5109279025779214,,,,,15
m-brick-kiln,knn5,accuracy,0.9479479479479479,0.9339339137077332,0.9609609842300415,153,,,,15063,999,999,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,2,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.021221155300736427,0.02543649822473526,0.058332741260528564,,,,,6
m-brick-kiln,linear,accuracy,0.950950950950951,0.9389389157295227,0.962988018989563,153,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,2,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.01537048164755106,0.029253514483571053,0.13318979740142822,,,,,15
m-eurosat,knn5,accuracy,0.814,0.7910000085830688,0.8360249996185303,153,,,,2000,1000,1000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,10,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.038000427186489105,0.040517132729291916,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.882,0.859000027179718,0.9040249586105347,153,0.24244620170823258,,,2000,1000,1000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,10,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.02817828208208084,0.03633987531065941,0.32401934266090393,,,,,15
m-forestnet,knn5,accuracy,0.29103726082578046,0.26583585143089294,0.32127392292022705,90,,,,6464,989,993,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,12,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.36797717213630676,0.399540513753891,0.5617039203643799,,,,,6
m-forestnet,linear,accuracy,0.4501510574018127,0.4209214448928833,0.4834088683128357,90,942.6684551178854,,,6464,989,993,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,12,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.07617431879043579,0.1101287305355072,0.35746604204177856,,,,,15
m-pv4ger,knn5,accuracy,0.8988988988988988,0.879879891872406,0.9169419407844543,27,,,,11814,999,999,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,2,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.047647625207901,0.05776388943195343,0.14285743236541748,,,,,6
m-pv4ger,linear,accuracy,0.8888888888888888,0.8668418526649475,0.9069569706916809,27,0.00020309176209047346,,,11814,999,999,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,2,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.022020069882273674,0.04991425201296806,0.20521920919418335,,,,,15
m-so2sat,knn5,accuracy,0.30730223123732253,0.28090769052505493,0.34077078104019165,198,,,,19992,986,986,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,17,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.26592350006103516,0.2781563103199005,0.35535311698913574,,,,,6
m-so2sat,linear,accuracy,0.32961460446247465,0.29918864369392395,0.358037531375885,198,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,17,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.09303620457649231,0.10265915840864182,0.38181325793266296,,,,,15
resisc45,knn5,accuracy,0.403015873015873,0.39158332347869873,0.4155714511871338,27,,,,18900,6300,6300,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,45,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.11314531415700912,0.11668143421411514,0.1385805308818817,,,,,6
resisc45,linear,accuracy,0.42682539682539683,0.41253969073295593,0.43891268968582153,27,88.86238162743389,,,18900,6300,6300,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,45,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.046258315443992615,0.05025375634431839,0.07196688652038574,,,,,15
so2sat,knn5,accuracy,0.3620689655172414,0.3296146094799042,0.39049190282821655,144,,,,19992,986,986,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,17,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.2340776026248932,0.24687115848064423,0.3586217164993286,,,,,6
so2sat,linear,accuracy,0.5365111561866126,0.5070993900299072,0.5740365386009216,144,27.28333376486764,,,19992,986,986,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,17,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.07015493512153625,0.08929050713777542,0.24766504764556885,,,,,15
treesatai,knn5,micro_mAP,0.40862282796557764,0.3957487940788269,0.42376038432121277,225,,,,4000,1000,2000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,15,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.07137330068896214,0.09411803757150967,0.5033697019020716,,,,,6
treesatai,linear,micro_mAP,0.4683582456591984,0.45346230268478394,0.48589852452278137,225,0.04124626382901348,,,4000,1000,2000,0,torchgeo_bench.models.HandcraftedBench,handcrafted_level1,identity,224,bilinear,default,all,15,df7ba29125250b00,-6,4,40,True,200,,,,,,,0.0390406562636296,0.06603522207587957,0.5041330024600029,,,,,15
