dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6122958831544626,0.6040439605712891,0.6214917302131653,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,19,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.0475973848829438,0.06425787684948821,0.25340069673563304,,,,,6
benv2,linear,micro_mAP,0.6756678523246982,0.6679791212081909,0.6849054098129272,56,49.238826317067314,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,19,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.027214372113935258,0.0480705558469421,0.3583398445656425,,,,,15
eurosat,knn5,accuracy,0.8462962962962963,0.8377500176429749,0.8550000190734863,52,,,,16200,5400,5400,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,10,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.02537117712199688,0.027926336973905563,0.034076809883117676,,,,,6
eurosat,linear,accuracy,0.8907407407407407,0.8835092782974243,0.8985231518745422,52,0.022854638641349883,,,16200,5400,5400,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,10,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.021533377468585968,0.03528067469596863,0.09649688005447388,,,,,15
eurosat-spatial,knn5,accuracy,0.7314814814814815,0.7194120287895203,0.742972195148468,52,,,,16200,5400,5400,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,10,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.10933154821395874,0.11314967274665833,0.14017897844314575,,,,,6
eurosat-spatial,linear,accuracy,0.8683333333333333,0.8583194613456726,0.8796388506889343,52,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,10,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.01901448890566826,0.026766838505864143,0.05706155300140381,,,,,15
forestnet,knn5,accuracy,0.2940584088620342,0.26684290170669556,0.3242950737476349,24,,,,6464,989,993,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,12,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.33937710523605347,0.3808321952819824,0.5486725568771362,,,,,6
forestnet,linear,accuracy,0.4300100704934542,0.4038015902042389,0.460246741771698,24,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,12,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.04226706922054291,0.0730467438697815,0.35695868730545044,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4213327665646973,0.4017396867275238,0.4390357434749603,48,,,,20000,1000,1000,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,43,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.045772098741212554,0.06489013850169126,0.33628293282763905,,,,,6
m-bigearthnet,linear,micro_mAP,0.4717976454436804,0.45360156893730164,0.4910848140716553,48,88.86238162743389,,,20000,1000,1000,0,torchgeo_bench.models.ImageStatsBench,imagestats_handcrafted_control,identity,224,bilinear,default,all,43,e2a35aaecf9da67f,-6,4,40,True,200,,,,,,,0.02529913596375737,0.053344913086918896,0.5135710648325986,,,,,15
