dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6349778651857043,0.6263507008552551,0.6449460983276367,1280,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,19,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.04540790029568598,0.05630563865538294,0.21321049489473043,,,,,6
m-so2sat,knn5,accuracy,0.38336713995943206,0.35091277956962585,0.4097616672515869,1280,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,17,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.22799259424209595,0.24360401928424835,0.3897447884082794,,,,,6
m-so2sat,linear,accuracy,0.5872210953346856,0.5577840209007263,0.6196754574775696,1280,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,17,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.0896424651145935,0.10910364985466003,0.21563011407852173,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4873163351188101,0.4685092866420746,0.5026545524597168,1280,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,43,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.038362797999451324,0.055982153602810794,0.30734158480583235,,,,,6
m-bigearthnet,linear,micro_mAP,0.6311785412925162,0.6156735420227051,0.6449617743492126,1280,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,43,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.019698060864885878,0.05123027730299983,0.4358480149923369,,,,,15
so2sat,knn5,accuracy,0.38336713995943206,0.3529411852359772,0.4128042757511139,1280,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,17,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.22799259424209595,0.24360401928424835,0.3897447884082794,,,,,6
so2sat,linear,accuracy,0.5872210953346856,0.5618407726287842,0.6197007894515991,1280,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,17,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.08980783820152283,0.10878975689411163,0.20868295431137085,,,,,15
benv2,linear,micro_mAP,0.7751949696474203,0.7682041525840759,0.7820711731910706,1280,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,19,92873a0631dbbed7,-6,4,40,True,200,,,,,,,0.015520700357707315,0.03153850775408117,0.24960852845718987,,,,,15
m-eurosat,knn5,accuracy,0.797,0.7699750065803528,0.8190749883651733,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,10,cf7bec379956cd90,-6,4,40,True,200,,,,,,,0.04420008510351181,0.04623063653707504,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.94,0.9240000247955322,0.953000009059906,1280,5541.020330009481,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_large_100,bandspec_zscore,224,bilinear,default,rgb,10,cf7bec379956cd90,-6,4,40,True,200,,,,,,,0.047123488038778305,0.08089510351419449,0.4218452274799347,,,,,15
