dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
burn_scars,seg-linear,mIoU,0.7239028215408325,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,3,-6,4,40,True,200,0.8534405827522278,0.8909604549407959,0.7635812163352966,0.7980580925941467,,,,,,,,
burn_scars,seg-linear,mIoU,0.8691008687019348,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,3,-6,4,40,True,200,0.9309991002082825,0.9660995006561279,0.8923895955085754,0.9234503507614136,,,,,,,,
burn_scars,seg-conv_block,mIoU,0.7625831961631775,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,3,-6,4,40,True,200,0.8681259751319885,0.8904927372932434,0.8041592240333557,0.8361272215843201,,,,,,,,
burn_scars,seg-conv_block,mIoU,0.8940104246139526,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,3,-6,4,40,True,200,0.944027304649353,0.9651600122451782,0.9190917015075684,0.9401704668998718,,,,,,,,
burn_scars,seg-fpn,mIoU,0.7713664174079895,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,3,-6,4,40,True,200,0.8736363053321838,0.8883607983589172,0.8194625973701477,0.8458636403083801,,,,,,,,
burn_scars,seg-fpn,mIoU,0.8989338278770447,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,3,-6,4,40,True,200,0.9469939470291138,0.9575806856155396,0.9306780099868774,0.9436079263687134,,,,,,,,
burn_scars,seg-dpt,mIoU,0.7796941995620728,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,3,-6,4,40,True,200,0.8806354403495789,0.9185758829116821,0.8146472573280334,0.8525283932685852,,,,,,,,
burn_scars,seg-dpt,mIoU,0.8949338793754578,0.0,0.0,2048,,0.001,8,524,160,120,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,3,-6,4,40,True,200,0.9454419016838074,0.9609602689743042,0.923338770866394,0.9411623477935791,,,,,,,,
caffe,seg-linear,mIoU,0.2228088229894638,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.28432178497314453,0.4112699627876282,0.4199921190738678,0.3139231204986572,,,,,,,,
caffe,seg-linear,mIoU,0.222808837890625,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.28432342410087585,0.4112681746482849,0.419994056224823,0.3139225244522095,,,,,,,,
caffe,seg-conv_block,mIoU,0.3321531116962433,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.3868337869644165,0.4929085075855255,0.48660290241241455,0.41768214106559753,,,,,,,,
caffe,seg-conv_block,mIoU,0.3318820595741272,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.3871246874332428,0.49165454506874084,0.48600244522094727,0.41626954078674316,,,,,,,,
caffe,seg-fpn,mIoU,0.3146241307258606,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.37835878133773804,0.4679419994354248,0.47555047273635864,0.41885900497436523,,,,,,,,
caffe,seg-fpn,mIoU,0.31760889291763306,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.3821580410003662,0.4714474678039551,0.47815752029418945,0.42265385389328003,,,,,,,,
cloudsen12,seg-linear,mIoU,0.3935461640357971,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.5848358869552612,0.5880813598632812,0.48866623640060425,0.4924164116382599,,,,,,,,
cloudsen12,seg-linear,mIoU,0.5092851519584656,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.6637802124023438,0.7018570303916931,0.6164401769638062,0.6392040848731995,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.22572265565395355,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,7,-6,4,40,True,200,0.3161637783050537,0.38324934244155884,0.3525826930999756,0.3381805717945099,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.4577731490135193,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.6437092423439026,0.6625368595123291,0.5588518381118774,0.5638963580131531,,,,,,,,
caffe,seg-dpt,mIoU,0.10258397459983826,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.16837553679943085,0.10258396714925766,0.25,0.14547452330589294,,,,,,,,
caffe,seg-dpt,mIoU,0.10258397459983826,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.16837553679943085,0.10258396714925766,0.25,0.14547452330589294,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.5099320411682129,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.6795083284378052,0.7257885336875916,0.602056622505188,0.6304919719696045,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.21217679977416992,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,7,-6,4,40,True,200,0.3122539520263672,0.40146952867507935,0.3389635384082794,0.32167109847068787,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.5615495443344116,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.7072521448135376,0.7464606165885925,0.6607008576393127,0.6879564523696899,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.2109934389591217,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,7,-6,4,40,True,200,0.31730324029922485,0.46094924211502075,0.33394163846969604,0.3203175365924835,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.5863697528839111,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.7247867584228516,0.768264651298523,0.6813679337501526,0.713192343711853,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.2985342741012573,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.3892917037010193,0.537476122379303,0.39857950806617737,0.4158157706260681,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.2873978614807129,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.38727498054504395,0.5468027591705322,0.3842680752277374,0.40964752435684204,,,,,,,,
dynamic_earthnet,seg-dpt,mIoU,0.18812841176986694,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,7,-6,4,40,True,200,0.3038085103034973,0.3719640374183655,0.3086983561515808,0.2908431589603424,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.29802846908569336,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.3877994120121002,0.5329916477203369,0.3876855671405792,0.4190458059310913,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.5889695882797241,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.7346042394638062,0.7536067366600037,0.6934311389923096,0.7135465145111084,,,,,,,,
dynamic_earthnet,seg-dpt,mIoU,0.28827187418937683,0.0,0.0,2048,,0.001,8,700,100,200,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,7,-6,4,40,True,200,0.3799307644367218,0.511258065700531,0.3808842599391937,0.4124099612236023,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.5588066577911377,0.0,0.0,2048,,0.001,8,4000,535,975,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.7101359367370605,0.7298365831375122,0.6621561050415039,0.6851263046264648,,,,,,,,
flair2,seg-linear,mIoU,0.2922948896884918,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,13,-6,4,40,True,200,0.3802691400051117,0.4895506203174591,0.4348345398902893,0.417317271232605,,,,,,,,
flair2,seg-linear,mIoU,0.18692485988140106,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,13,-6,4,40,True,200,0.28310734033584595,0.35132163763046265,0.3089924454689026,0.2897107005119324,,,,,,,,
flair2,seg-conv_block,mIoU,0.2224011868238449,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,13,-6,4,40,True,200,0.3087370693683624,0.3988610506057739,0.3568838834762573,0.3375980854034424,,,,,,,,
fotw,seg-linear,mIoU,0.3614741563796997,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.565962553024292,0.6050138473510742,0.45422038435935974,0.4791988730430603,,,,,,,,
flair2,seg-conv_block,mIoU,0.31119048595428467,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,13,-6,4,40,True,200,0.39142945408821106,0.4769943356513977,0.4634825587272644,0.44233477115631104,,,,,,,,
flair2,seg-fpn,mIoU,0.2523486912250519,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,13,-6,4,40,True,200,0.3394365608692169,0.42875951528549194,0.3942219018936157,0.3769906163215637,,,,,,,,
flair2,seg-fpn,mIoU,0.33578136563301086,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,13,-6,4,40,True,200,0.42012324929237366,0.5211847424507141,0.4835965037345886,0.4697435200214386,,,,,,,,
fotw,seg-linear,mIoU,0.37984851002693176,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.6083574891090393,0.6324379444122314,0.4707018733024597,0.4906929135322571,,,,,,,,
fotw,seg-conv_block,mIoU,0.3918607831001282,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.5928134918212891,0.6360037922859192,0.48490166664123535,0.5075430870056152,,,,,,,,
fotw,seg-conv_block,mIoU,0.39521241188049316,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.6293410658836365,0.6484719514846802,0.48431313037872314,0.5034606456756592,,,,,,,,
fotw,seg-fpn,mIoU,0.44869619607925415,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,4,-6,4,40,True,200,0.645787239074707,0.6608860492706299,0.5408821702003479,0.5583544969558716,,,,,,,,
fotw,seg-fpn,mIoU,0.47940874099731445,0.0,0.0,2048,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,all,4,-6,4,40,True,200,0.6878319978713989,0.6849783658981323,0.5681115388870239,0.5834293365478516,,,,,,,,
flair2,seg-dpt,mIoU,0.2306479662656784,0.0,0.0,2048,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.RCFBench,mosaiks,bandspec_zscore,224,bilinear,default,rgb,13,-6,4,40,True,200,0.3183959126472473,0.39844581484794617,0.36279797554016113,0.34819790720939636,,,,,,,,
