dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8366666666666667,0.8261064887046814,0.8478009104728699,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0398881658911705,0.0412053428590297,0.2000000029802322,,,,,6.0
eurosat-spatial,linear,accuracy,0.9057407407407408,0.8981342315673828,0.9133657813072203,768,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0313881523907184,0.0432160720229148,0.4443419575691223,0.062097743153572,0.0894673094153404,0.423656165599823,0.5482671562063962,15.0
m-brick-kiln,knn5,accuracy,0.931931931931932,0.913913905620575,0.9479729533195496,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.029829703271389,0.0389564223587513,0.0867912769317627,,,,,6.0
m-brick-kiln,linear,accuracy,0.964964964964965,0.953953981399536,0.975000023841858,768,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.0113302236422896,0.0341935269534587,0.1542572379112243,0.013575498946011,0.0362614765763282,0.2289237976074218,0.8323848642194736,15.0
m-eurosat,knn5,accuracy,0.934,0.9160000085830688,0.9490000009536744,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0369998775422573,0.0573040321469306,0.2190476059913635,,,,,6.0
m-eurosat,linear,accuracy,0.969,0.959975004196167,0.9789999723434448,768,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0074344300664961,0.0189148932695388,0.1240888535976409,0.0307750757783651,0.0800734683871269,0.6478593945503235,0.0986230887240303,15.0
m-bigearthnet,knn5,micro_mAP,0.6553674755284328,0.6404240131378174,0.670796811580658,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,,-6,4,40,True,200,,,,,,,0.0253209275204341,0.0453264690762342,0.2694955457781636,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7712792174495098,0.7584770321846008,0.7828440070152283,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,,-6,4,40,True,200,,,,,,,0.0177807265914283,0.0518221107506474,0.4664287539415581,0.0195986913343848,0.0528278333069973,0.473318733448206,0.9001114283536765,15.0
forestnet,knn5,accuracy,0.3323262839879154,0.3030211627483368,0.3595418035984039,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3260839581489563,0.3555891513824463,0.5068291425704956,,,,,6.0
forestnet,linear,accuracy,0.472306143001007,0.4390231370925903,0.5075780153274536,768,0.2424462017082325,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0769889578223228,0.0962496697902679,0.1968500614166259,0.0515214800834655,0.0719688609242439,0.2503293752670288,0.804783361106416,15.0
