dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,knn5,accuracy,0.5578093306288032,0.529411792755127,0.5882353186607361,192,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.1803252249956131,0.191967636346817,0.2492113709449768,,,,,6.0
m-so2sat,linear,accuracy,0.7109533468559838,0.6825304627418518,0.7352941036224365,192,0.437547937507418,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.0413693115115165,0.0649619624018669,0.252095103263855,0.0411027744412422,0.0468098074197769,0.2522358298301697,0.8791975797400258,15.0
benv2,knn5,micro_mAP,0.7240485750457635,0.7162051796913147,0.7314628958702087,192,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,,-6,4,40,True,200,,,,,,,0.0348816794208496,0.0484665364615227,0.1938398370617314,,,,,6.0
benv2,linear,micro_mAP,0.827654261023991,0.8210912942886353,0.8339151740074158,192,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,,-6,4,40,True,200,,,,,,,0.0144007548744986,0.0319904902655827,0.2669465918289987,0.014395815926898,0.0325794977773177,0.2604147807547921,0.9754638468109303,15.0
m-bigearthnet,knn5,micro_mAP,0.6299204320365932,0.6155174970626831,0.6467546224594116,192,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,,-6,4,40,True,200,,,,,,,0.0278279043322559,0.0452604879040357,0.221099714900172,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7180767049330626,0.70671546459198,0.732922375202179,192,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,,-6,4,40,True,200,,,,,,,0.0184583063995422,0.0498598394265701,0.4275768426961677,0.0182863709430188,0.0494124930525241,0.4214685056791749,0.9778291273253692,15.0
so2sat,knn5,accuracy,0.5628803245436106,0.5364858508110046,0.5912778973579407,192,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12",17,,-6,4,40,True,200,,,,,,,0.174848660826683,0.1793523132801056,0.2256217002868652,,,,,6.0
so2sat,linear,accuracy,0.7129817444219066,0.6835699677467346,0.7364097833633423,192,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12",17,,-6,4,40,True,200,,,,,,,0.0499295853078365,0.0726281106472015,0.7881287932395935,0.0752692446112632,0.0877149254083633,0.7741419076919556,0.9025319063692856,15.0
m-brick-kiln,knn5,accuracy,0.917917917917918,0.8998998999595642,0.9339339137077332,192,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.016416560858488,0.017539594322443,0.0235289931297302,,,,,6.0
m-brick-kiln,linear,accuracy,0.9429429429429428,0.9268768429756165,0.9549800157546996,192,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.0133818099275231,0.0357273966073989,0.1550604104995727,0.0129044111818075,0.0252418462187051,0.1338217258453369,0.8923608100879978,15.0
