dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-brick-kiln,knn5,accuracy,0.9179179179179179,0.8998998999595642,0.9319819808006287,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,2,-6,4,40,True,200,,,,,0.017417296767234802,0.018799427896738052,0.037168800830841064,,,,,6.0
m-brick-kiln,linear,accuracy,0.96996996996997,0.9589589834213257,0.9790040254592896,768,0.437547937507418,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,2,-6,4,40,True,200,,,,,0.02010369673371315,0.05539953336119652,0.48628443479537964,0.014992418698966503,0.04833300784230232,0.49694937467575073,0.7188656605174587,15.0
m-brick-kiln,intrinsic_dim,id_TwoNN_train,14.039071083068848,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,12.691766738891602,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,8.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,2,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,knn5,accuracy,0.934,0.9169750213623047,0.9500249624252319,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,10,-6,4,40,True,200,,,,,0.030999882146716118,0.04813343659043312,0.17142856121063232,,,,,6.0
m-eurosat,linear,accuracy,0.971,0.9599999785423279,0.9800000190734863,768,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,10,-6,4,40,True,200,,,,,0.006869517732411623,0.03369520604610443,0.5385565757751465,0.02808498404920101,0.06709109246730804,0.6170241832733154,0.08591178934756703,15.0
m-eurosat,intrinsic_dim,id_TwoNN_train,12.292380332946777,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,8.565667152404785,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,13.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,knn5,accuracy,0.864,0.8389750123023987,0.8880000114440918,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,10,-6,4,40,True,200,,,,,0.04579982906579971,0.052607517689466476,0.20000000298023224,,,,,6.0
m-eurosat,linear,accuracy,0.94,0.926925003528595,0.9530249834060669,768,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,10,-6,4,40,True,200,,,,,0.01918310672044754,0.05634981393814087,0.6982824802398682,0.04963548481464386,0.08310583978891373,0.2779611349105835,0.223627942536293,15.0
m-eurosat,intrinsic_dim,id_TwoNN_train,13.1741304397583,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,9.021700859069824,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,8.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,10,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,knn5,accuracy,0.9429429429429429,0.9278528094291687,0.9569569826126099,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,2,-6,4,40,True,200,,,,,0.02342325635254383,0.03377782553434372,0.08674740791320801,,,,,6.0
m-brick-kiln,linear,accuracy,0.9679679679679679,0.9569569826126099,0.9780030250549316,768,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,2,-6,4,40,True,200,,,,,0.01614287681877613,0.03940597176551819,0.2283654808998108,0.011620283126831055,0.027993936091661453,0.17622831463813782,0.7904560540633174,15.0
m-brick-kiln,intrinsic_dim,id_TwoNN_train,17.06067657470703,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,14.354704856872559,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,7.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,2,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,knn5,micro_mAP,0.5005697083567526,0.48545366525650024,0.5169971585273743,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,43,-6,4,40,True,200,,,,,0.03794885639014632,0.055098910057960554,0.29081408159677374,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6495310451466709,0.6336867809295654,0.6652573347091675,768,15.117750706156599,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,43,-6,4,40,True,200,,,,,0.020426705869477847,0.05397592571585677,0.5014688653308291,0.021122260289916466,0.0538780449261499,0.49520791131396624,0.9402810273954614,15.0
m-bigearthnet,intrinsic_dim,id_TwoNN_train,13.3246431350708,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,11.326630592346191,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,9.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,rgb,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,knn5,micro_mAP,0.6688192054658288,0.6538308262825012,0.6868980526924133,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,43,-6,4,40,True,200,,,,,0.024944178424342427,0.043228645310845484,0.22284250385886015,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7843528780384849,0.7730763554573059,0.79770827293396,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,43,-6,4,40,True,200,,,,,0.01734875340751091,0.05202077433120373,0.4868677948103395,0.018597961760797473,0.054035349727370015,0.5006365453781083,0.9053318534576676,15.0
m-bigearthnet,intrinsic_dim,id_TwoNN_train,10.988584518432617,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,9.094223976135254,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,43,-6,4,40,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,19.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,all,43,-6,4,40,True,200,,,,,,,,,,,,
benv2,knn5,micro_mAP,0.7365233753340715,0.7294896841049194,0.7432447671890259,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,"b01,b02,b03,b04,b05,b06,b07,b08,b8a,b09,b11,b12",19,-6,4,40,True,200,,,,,0.03388428728488323,0.04651604225172808,0.21194417421755038,,,,,6.0
benv2,linear,micro_mAP,0.8639940521973526,0.8588484525680542,0.8687138557434082,768,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,"b01,b02,b03,b04,b05,b06,b07,b08,b8a,b09,b11,b12",19,-6,4,40,True,200,,,,,0.013691371075478137,0.030916197960706132,0.26909021248942927,0.014245562356480054,0.03234362205196368,0.2671473253714411,0.92903625432565,15.0
benv2,intrinsic_dim,id_TwoNN_train,11.253987312316895,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,"b01,b02,b03,b04,b05,b06,b07,b08,b8a,b09,b11,b12",19,-6,4,40,True,200,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,7.579835891723633,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base,bandspec_zscore,,bilinear,default,"b01,b02,b03,b04,b05,b06,b07,b08,b8a,b09,b11,b12",19,-6,4,40,True,200,,,,,,,,,,,,
