dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,knn5,accuracy,0.4028197381671702,0.3766112625598907,0.431017130613327,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.2888229489326477,0.3119889497756958,0.4692932665348053,,,,,6.0
m-forestnet,linear,accuracy,0.5327291037260826,0.5055387616157532,0.5650050640106201,768,1.4251026703029963,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.057466521859169,0.0779323503375053,0.1845226287841797,0.0792583972215652,0.1000174656510353,0.197462260723114,0.8749489166510082,15.0
benv2,knn5,micro_mAP,0.6342895005614047,0.6251519322395325,0.6418802738189697,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,19,ca5f480f34a1d778,-6,4,40,True,200,,,,,,,0.04458949739407552,0.059666335778801066,0.27544276377088145,,,,,6.0
m-forestnet,knn5,accuracy,0.4028197381671702,0.37661126255989075,0.431017130613327,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,14a2e006d1249897,-6,4,40,True,200,,,,,,,0.2888229489326477,0.3119889497756958,0.4692932665348053,,,,,6
m-forestnet,linear,accuracy,0.5327291037260826,0.5055387616157532,0.5650050640106201,768,1.4251026703029963,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,14a2e006d1249897,-6,4,40,True,200,,,,,,,0.057466521859169006,0.07793235033750534,0.1845226287841797,0.07925839722156525,0.10001746565103531,0.197462260723114,0.8749489166510082,15
resisc45,knn5,accuracy,0.6592063492063492,0.6477698683738708,0.6698452830314636,768,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,0034e633d9e582ae,-6,4,40,True,200,,,,,,,0.024098478257656097,0.02807282842695713,0.06363636255264282,,,,,6
resisc45,linear,accuracy,0.8334920634920635,0.8257142901420593,0.8411309719085693,768,289.426612471674,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,0034e633d9e582ae,-6,4,40,True,200,,,,,,,0.021845243871212006,0.028173839673399925,0.184004545211792,,,,,15
resisc45,knn5,accuracy,0.6592063492063492,0.6477698683738708,0.6698452830314636,768,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,model_native,,bilinear,default,rgb,45,5a3674b22f8f36f4,-6,4,40,True,200,,,,,,,0.024098478257656097,0.02807282842695713,0.06363636255264282,,,,,6
resisc45,linear,accuracy,0.8334920634920635,0.8257142901420593,0.8411309719085693,768,289.426612471674,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,model_native,,bilinear,default,rgb,45,5a3674b22f8f36f4,-6,4,40,True,200,,,,,,,0.021845243871212006,0.028173839673399925,0.184004545211792,,,,,15
cloudsen12,seg-fpn,mIoU,0.690621018409729,0.6740705185186158,0.7053082246861542,3072,,0.001,4,4000,535,975,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_base_landsat_as_s2,bandspec_zscore,,bilinear,default,all,4,ced393e71fc48e5c,-6,4,40,False,200,,,0.7963074445724487,0.8189338445663452,0.7930799126625061,0.8052279353141785,,,,,,,,
