dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7140859716041913,0.7064063549041748,0.721105694770813,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,"b01,b02,b03,b04,b05,b06,b07,b08,b8a,b09,b11,b12",19,,-6,4,40,True,200,,,,,,,0.0369105616425115,0.0506001715058166,0.2353787045729787,,,,,6.0
benv2,linear,micro_mAP,0.8054247825713038,0.7996044754981995,0.811581552028656,128,88.86238162743389,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,"b01,b02,b03,b04,b05,b06,b07,b08,b8a,b09,b11,b12",19,,-6,4,40,True,200,,,,,,,0.0153194785203882,0.032562671719413,0.2641256357494153,0.0154062267163106,0.0325704796827937,0.2676775471160286,0.9924209479498928,15.0
benv2,knn5,micro_mAP,0.6118172717331241,0.6023462414741516,0.6204525828361511,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0464500620789629,0.0611747345936141,0.269636043984639,,,,,6.0
benv2,linear,micro_mAP,0.715815828322758,0.708132266998291,0.7238671183586121,128,289.426612471674,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0191477513029607,0.0347037234490639,0.3598061674519589,0.0192703529020563,0.0345216552530856,0.3433238205156828,0.9854395493325157,15.0
m-bigearthnet,knn5,micro_mAP,0.6084050287036519,0.5926132202148438,0.6247276663780212,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0290279024535097,0.0453939260265161,0.2321506457966427,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.676492456773967,0.6635327339172363,0.6913590431213379,128,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0190081067578217,0.0484895318486662,0.416323811855427,0.018880391569245,0.0486876083494618,0.4342931876348894,0.985720753249032,15.0
m-so2sat,knn5,accuracy,0.552738336713996,0.5222363471984863,0.5812373757362366,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.1673436760902404,0.1837361007928848,0.2424796223640442,,,,,6.0
m-so2sat,linear,accuracy,0.6643002028397565,0.6379310488700867,0.6916835904121399,128,4.641588833612772,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.036137618124485,0.0501430332660675,0.1619980335235595,0.0496911518275737,0.0632985532283783,0.1391381025314331,0.9002202877633458,15.0
m-so2sat,knn5,accuracy,0.2829614604462475,0.2626267671585083,0.3083671629428863,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,0.3241389393806457,0.3497949838638305,0.5142868757247925,,,,,6.0
m-so2sat,linear,accuracy,0.4787018255578093,0.4441936910152435,0.5101673007011414,128,1701.2542798525858,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,0.0989230722188949,0.1123329475522041,0.2246420383453369,0.044014036655426,0.0600035227835178,0.1301992535591125,1.2215236040315267,15.0
