dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
cloudsen12,seg-fpn,mIoU,0.6096290946006775,0.0,0.0,512,,0.001,8.0,4000,535,975,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7325466871261597,0.755534827709198,0.7252672910690308,0.7387858629226685,,,,,,,,
benv2,knn5,micro_mAP,0.6117983179264168,0.6023425459861755,0.6204442977905273,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,19,b1c1ea357eafd8d6,-6,4,40,True,200,,,,,,,0.046473747082544786,0.06117682967727121,0.26963604398463903,,,,,6.0
m-forestnet,knn5,accuracy,0.38469284994964753,0.35445618629455566,0.4099697768688202,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,86ef25c6918f4576,-6,4,40,True,200,,,,,,,0.30473440885543823,0.33357805013656616,0.48345527052879333,,,,,6
m-forestnet,linear,accuracy,0.5206445115810675,0.48942598700523376,0.5498489141464233,128,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,86ef25c6918f4576,-6,4,40,True,200,,,,,,,0.07328993082046509,0.08859534561634064,0.144649475812912,0.06266898661851883,0.07193110138177872,0.14403581619262695,0.8450153821271166,15
eurosat-spatial,knn5,accuracy,0.8962962962962963,0.889254629611969,0.9042731523513794,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,10,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.03851814195513725,0.044001393020153046,0.800000011920929,,,,,6
eurosat-spatial,linear,accuracy,0.9411111111111111,0.9357361197471619,0.9477823972702026,128,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,10,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.017749765887856483,0.032679371535778046,0.2981828451156616,,,,,15
m-eurosat,knn5,accuracy,0.885,0.8679749965667725,0.9049999713897705,128,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,10,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.012599862180650234,0.01275653950870037,0.013867497444152832,,,,,6
m-eurosat,linear,accuracy,0.938,0.921999990940094,0.9520249962806702,128,160.37187437513276,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,10,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.02438114769756794,0.05708295851945877,0.4573460817337036,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6084050287036519,0.5926132202148438,0.6247276663780212,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,43,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.0290279024535097,0.04539392567997755,0.23215064579664274,,,,,6
m-bigearthnet,linear,micro_mAP,0.6766572099404766,0.6637845635414124,0.6912734508514404,128,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,43,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.018899025363024582,0.04911724551645822,0.4460371136665344,,,,,15
m-so2sat,knn5,accuracy,0.5365111561866126,0.5060344934463501,0.5700304508209229,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,17,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.18275946378707886,0.18990039825439453,0.26022303104400635,,,,,6
m-so2sat,linear,accuracy,0.6673427991886409,0.6419878005981445,0.6988083124160767,128,27.28333376486764,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,17,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.05300811305642128,0.06578122824430466,0.29478898644447327,,,,,15
forestnet,knn5,accuracy,0.36555891238670696,0.33834341168403625,0.3968026340007782,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano_landsat_as_s2,bandspec_zscore,,,default,all,12,b84daa8eaa012804,-6,4,40,True,200,,,,,,,0.3174233138561249,0.33297213912010193,0.44516316056251526,,,,,6
