dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,knn5,accuracy,0.3484390735146022,0.3252265751361847,0.3796827793121338,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3232643604278564,0.3379281461238861,0.4414361715316772,,,,,6.0
m-forestnet,linear,accuracy,0.5518630412890232,0.5196374654769897,0.5820745229721069,384,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0544481053948402,0.0595122873783111,0.1796021610498428,0.0443033725023269,0.0609189048409462,0.1909652799367904,0.8229892257532166,15.0
cloudsen12,seg-fpn,mIoU,0.6290395259857178,0.0,0.0,1536,,0.001,4.0,4000,535,975,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7506833672523499,0.7798901796340942,0.7372457981109619,0.7554659843444824,,,,,,,,
benv2,knn5,micro_mAP,0.6390751714095906,0.6306227445602417,0.6490265727043152,384,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,19,f7d16b6c5bf1cae7,-6,4,40,True,200,,,,,,,0.04532628192713386,0.059108579384261055,0.2466143714754205,,,,,6.0
m-forestnet,knn5,accuracy,0.34843907351460224,0.3252265751361847,0.3796827793121338,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,ab03c0d5d5ad0df3,-6,4,40,True,200,,,,,,,0.3230629563331604,0.3379298150539398,0.4440019130706787,,,,,6
m-forestnet,linear,accuracy,0.5387713997985901,0.5085347890853882,0.5689828991889954,384,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,ab03c0d5d5ad0df3,-6,4,40,True,200,,,,,,,0.05914948880672455,0.06800691038370132,0.12609606981277466,0.046202387660741806,0.055792685598134995,0.1922091692686081,0.8118316620326208,15
resisc45,knn5,accuracy,0.6490476190476191,0.6391984224319458,0.6598452925682068,384,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,39536acb158458da,-6,4,40,True,200,,,,,,,0.03273358196020126,0.03661840781569481,0.0560791939496994,,,,,6
resisc45,linear,accuracy,0.8192063492063492,0.8106269836425781,0.8276508450508118,384,522.3345074266832,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,45,39536acb158458da,-6,4,40,True,200,,,,,,,0.009943943470716476,0.018114831298589706,0.10806052386760712,,,,,15
resisc45,knn5,accuracy,0.6490476190476191,0.6391984224319458,0.6598452925682068,384,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,model_native,,bilinear,default,rgb,45,ef8ee08852ef1446,-6,4,40,True,200,,,,,,,0.03273358196020126,0.03661840781569481,0.0560791939496994,,,,,6
resisc45,linear,accuracy,0.8192063492063492,0.8106269836425781,0.8276508450508118,384,522.3345074266832,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small_landsat_as_s2,model_native,,bilinear,default,rgb,45,ef8ee08852ef1446,-6,4,40,True,200,,,,,,,0.009943943470716476,0.018114831298589706,0.10806052386760712,,,,,15
