dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
cloudsen12,seg-fpn,mIoU,0.632469654083252,0.0,0.0,768,,0.001,8.0,4000,535,975,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7540249228477478,0.7875867486000061,0.7361477613449097,0.7579214572906494,,,,,,,,
benv2,knn5,micro_mAP,0.611565036472772,0.6007164120674133,0.6207928657531738,192,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,bilinear,default,rgb,19,2b9145670332bae4,-6,4,40,True,200,,,,,,,0.04620264764679106,0.0617479762846702,0.27716616423506485,,,,,6.0
m-forestnet,knn5,accuracy,0.36253776435045315,0.3262588083744049,0.3907603323459625,192,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,a3cf18d04a77eefb,-6,4,40,True,200,,,,,,,0.3125893771648407,0.3222276270389557,0.3932855725288391,,,,,6
m-forestnet,linear,accuracy,0.5125881168177241,0.48031216859817505,0.5418177247047424,192,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,bilinear,default,all,12,a3cf18d04a77eefb,-6,4,40,True,200,,,,,,,0.05390997231006622,0.0632818192243576,0.18678796291351318,0.03738713264465332,0.046065811067819595,0.15750561654567719,0.8168047953039478,15
m-eurosat,knn5,accuracy,0.888,0.869949996471405,0.9040249586105347,192,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,10,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.03219958767294884,0.038821592926979065,0.1384616196155548,,,,,6
m-eurosat,linear,accuracy,0.964,0.9499750137329102,0.9740249514579773,192,15.117750706156599,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,10,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.024866625666618347,0.05818723514676094,0.31697553396224976,,,,,15
eurosat-spatial,knn5,accuracy,0.9409259259259259,0.9355370402336121,0.9479721784591675,192,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,10,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.017296653240919113,0.018297620117664337,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9668518518518519,0.9616619944572449,0.972041666507721,192,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,10,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.008994901552796364,0.02340139076113701,0.17097382247447968,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6293143105912093,0.614895224571228,0.6457332372665405,192,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,43,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.027455806910861715,0.04726912709342879,0.26805751926677174,,,,,6
m-bigearthnet,linear,micro_mAP,0.7196254462653702,0.7062787413597107,0.7336717247962952,192,4.641588833612772,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,43,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.018252412106321995,0.04963760874992193,0.4484127593594928,,,,,15
m-so2sat,knn5,accuracy,0.5486815415821501,0.5191683173179626,0.5760902166366577,192,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny_landsat_as_s2,bandspec_zscore,,,default,all,17,29f6d68c4a676e92,-6,4,40,True,200,,,,,,,0.181542307138443,0.20172542333602905,0.2978373169898987,,,,,6
