dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.9562962962962964,0.9509259462356568,0.9618703722953796,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0192595180124044,0.0339346416294574,0.1961540579795837,,,,,6.0
eurosat-spatial,linear,accuracy,0.9812962962962964,0.9775925874710084,0.98481947183609,768,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0052749793976545,0.0190492644906044,0.6053844690322876,0.0120110586285591,0.0329898111522197,0.3202131688594818,0.5133073891301527,15.0
m-eurosat,knn5,accuracy,0.951,0.9389750361442566,0.9649999737739564,768,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0247999280691146,0.0466356016695499,0.1555555462837219,,,,,6.0
m-eurosat,linear,accuracy,0.977,0.9679750204086304,0.9850249886512756,768,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0173722635954618,0.0535083636641502,0.4848788380622864,0.016698382794857,0.0450063422322273,0.5061137080192566,0.3730680514498905,15.0
m-brick-kiln,knn5,accuracy,0.928928928928929,0.9149149060249328,0.94296795129776,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.0234232787042856,0.0280288811773061,0.059998869895935,,,,,6.0
m-brick-kiln,linear,accuracy,0.96996996996997,0.95893394947052,0.978978991508484,768,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.0146417198702692,0.0429141409695148,0.1793750822544098,0.0131487790495157,0.0430199317634105,0.2658607959747314,0.8392238304352323,15.0
m-so2sat,knn5,accuracy,0.5851926977687627,0.5537018179893494,0.6095588207244873,768,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.1539560556411743,0.1600776761770248,0.2347843050956726,,,,,6.0
m-so2sat,linear,accuracy,0.7606490872210954,0.7332403659820557,0.787043571472168,768,0.1343399332598898,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.0453751347959041,0.0755932480096817,0.2824252247810364,0.0428307801485061,0.0609085224568843,0.2955970466136932,0.7471549926978381,15.0
benv2,knn5,micro_mAP,0.7331274302847587,0.7260916829109192,0.7399462461471558,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,,-6,4,40,True,200,,,,,,,0.0341685211200169,0.0464935551250451,0.1880164091524324,,,,,6.0
benv2,linear,micro_mAP,0.8541244181698309,0.8487892150878906,0.8590742945671082,768,0.7896522868499717,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,,-6,4,40,True,200,,,,,,,0.0126709221482374,0.0282541233556051,0.2600601425296382,0.0135096681402309,0.029732260951086,0.2650398439482638,0.9413306391568972,15.0
