dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-eurosat,knn5,accuracy,0.967,0.9549999833106996,0.9780499935150146,1024,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0285999029874801,0.0598815903067588,0.2039213180541992,,,,,6.0
m-eurosat,linear,accuracy,0.986,0.9789999723434448,0.9929999709129332,1024,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.006080471444875,0.0235848519951105,0.3722439110279083,0.0138855213299393,0.0487262681126594,0.3923667073249817,0.0424674121741042,15.0
m-brick-kiln,knn5,accuracy,0.908908908908909,0.8918668627738953,0.9239489436149596,1024,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.0300298929214477,0.0336593762040138,0.0551732778549194,,,,,6.0
m-brick-kiln,linear,accuracy,0.967967967967968,0.95695698261261,0.9760010242462158,1024,942.6684551178854,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,,-6,4,40,True,200,,,,,,,0.0127361295744776,0.0475084409117698,0.3226745724678039,0.012230915017426,0.0369121506810188,0.3215726613998413,0.9062273606555342,15.0
eurosat-spatial,knn5,accuracy,0.9687037037037036,0.9642500281333924,0.9740787148475648,1024,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0156298018991947,0.0287599358707666,0.0838286280632019,,,,,6.0
eurosat-spatial,linear,accuracy,0.9827777777777778,0.9800000190734864,0.9866666793823242,1024,0.2424462017082325,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0094239301979541,0.0277215875685215,0.3803885579109192,0.0078376289457082,0.0184471905231475,0.3700780868530273,0.5209823496148791,15.0
m-so2sat,knn5,accuracy,0.592292089249493,0.5608265995979309,0.6268001794815063,1024,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.1498992443084716,0.1535852551460266,0.202440857887268,,,,,6.0
m-so2sat,linear,accuracy,0.757606490872211,0.727180540561676,0.7819725871086121,1024,0.0744380301325168,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.0453860163688659,0.0553127005696296,0.1673319786787033,0.0500952713191509,0.0663110837340354,0.7477210760116577,0.7656246192084118,15.0
m-so2sat,knn5,accuracy,0.6176470588235294,0.5882099866867065,0.6440415382385254,1024,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.1365118324756622,0.1426941156387329,0.2000000029802322,,,,,6.0
m-so2sat,linear,accuracy,0.7515212981744422,0.7241379022598267,0.7799441814422607,1024,27.28333376486764,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.1041391268372535,0.1138625964522361,0.2508190274238586,0.1089991554617881,0.1186070293188095,0.2538069188594818,0.9659473143736758,15.0
