dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,knn5,accuracy,0.3313192346424974,0.2960725128650665,0.3635700047016144,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,,-6,4,40,True,200,,,,,,,0.3417940437793731,0.3618077635765075,0.4908416271209717,,,,,6.0
m-forestnet,linear,accuracy,0.499496475327291,0.4682275652885437,0.5297079682350159,128,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,,-6,4,40,True,200,,,,,,,0.0687676966190338,0.0770855545997619,0.1876428723335266,0.0685726106166839,0.0788171663880348,0.1940740197896957,0.8914122420684816,15.0
benv2,knn5,micro_mAP,0.591078323981515,0.5798790454864502,0.5992881655693054,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,bilinear,default,rgb,19,1ccbddf208755e79,-6,4,40,True,200,,,,,,,0.04873160851237021,0.06510220134728834,0.2979481965303421,,,,,6.0
m-forestnet,knn5,accuracy,0.33131923464249746,0.29607251286506653,0.3635700047016144,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,9c9cc5ef55b30b25,-6,4,40,True,200,,,,,,,0.34179404377937317,0.36180776357650757,0.4908416271209717,,,,,6
m-forestnet,linear,accuracy,0.499496475327291,0.4682275652885437,0.5297079682350159,128,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,bilinear,default,"blue,green,red,nir,swir_1,swir_2",12,9c9cc5ef55b30b25,-6,4,40,True,200,,,,,,,0.06876769661903381,0.07708555459976196,0.1876428723335266,0.06857261061668396,0.07881716638803482,0.19407401978969574,0.8914122420684816,15
m-eurosat,knn5,accuracy,0.916,0.8960000276565552,0.9340000152587891,128,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,,default,all,10,a5a7aab387a6db55,-6,4,40,True,200,,,,,,,0.03959992527961731,0.047039132565259933,0.1029708981513977,,,,,6
m-eurosat,linear,accuracy,0.936,0.9200000166893005,0.9540249705314636,128,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,,default,all,10,a5a7aab387a6db55,-6,4,40,True,200,,,,,,,0.01612691581249237,0.042036980390548706,0.6359601020812988,,,,,15
eurosat-spatial,knn5,accuracy,0.9075925925925926,0.9007360935211182,0.9148240685462952,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,,default,all,10,a5a7aab387a6db55,-6,4,40,True,200,,,,,,,0.02951798401772976,0.033079758286476135,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9296296296296296,0.9233241081237793,0.9357454180717468,128,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,,default,all,10,a5a7aab387a6db55,-6,4,40,True,200,,,,,,,0.014901399612426758,0.022989844903349876,0.3059919774532318,,,,,15
m-bigearthnet,knn5,micro_mAP,0.602245485062929,0.5855185985565186,0.6203402280807495,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_lsat_raw,bandspec_zscore,,,default,all,43,a5a7aab387a6db55,-6,4,40,True,200,,,,,,,0.02904650377282916,0.04659162509406722,0.2378713036345881,,,,,6
