dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,knn5,accuracy,0.3544813695871098,0.3232124745845794,0.3857250809669494,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,,-6,4,40,True,200,,,,,,,0.3238683938980102,0.3432851731777191,0.4693246185779571,,,,,6.0
m-forestnet,linear,accuracy,0.5166163141993958,0.4904078543186188,0.5498740673065186,128,5541.020330009481,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,,-6,4,40,True,200,,,,,,,0.0457227081060409,0.0584579706192016,0.2158826142549514,0.0604983270168304,0.0713227018713951,0.3114441335201263,0.9165830669015976,15.0
benv2,knn5,micro_mAP,0.5937587458375484,0.5841398239135742,0.6026232242584229,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,19,cb9c21e4f5b4772a,-6,4,40,True,200,,,,,,,0.04879726606764292,0.06518761700901546,0.28917841456438365,,,,,6.0
m-forestnet,knn5,accuracy,0.3544813695871098,0.32321247458457947,0.38572508096694946,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,2bcbd18d1a51628d,-6,4,40,True,200,,,,,,,0.32386839389801025,0.3432851731777191,0.46932461857795715,,,,,6
m-forestnet,linear,accuracy,0.5166163141993958,0.4904078543186188,0.5498740673065186,128,5541.020330009481,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,2bcbd18d1a51628d,-6,4,40,True,200,,,,,,,0.045722708106040955,0.05845797061920166,0.21588261425495148,0.060498327016830444,0.07132270187139511,0.31144413352012634,0.9165830669015977,15
m-eurosat,knn5,accuracy,0.913,0.8949750065803528,0.931024968624115,128,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,10,9643d337b403de90,-6,4,40,True,200,,,,,,,0.03839990496635437,0.043171439319849014,0.0732678771018982,,,,,6
m-eurosat,linear,accuracy,0.933,0.916949987411499,0.9490000009536743,128,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,10,9643d337b403de90,-6,4,40,True,200,,,,,,,0.023918088525533676,0.06019655615091324,0.3945210874080658,,,,,15
eurosat-spatial,knn5,accuracy,0.9007407407407407,0.893875002861023,0.9087175726890564,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,10,9643d337b403de90,-6,4,40,True,200,,,,,,,0.0297402311116457,0.03150064870715141,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9296296296296296,0.923504650592804,0.9375972151756287,128,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,10,9643d337b403de90,-6,4,40,True,200,,,,,,,0.017406845465302467,0.02234143391251564,0.1866539716720581,,,,,15
m-bigearthnet,knn5,micro_mAP,0.603735967964554,0.5868566632270813,0.6208108067512512,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,43,9643d337b403de90,-6,4,40,True,200,,,,,,,0.02977673806856538,0.0487037044408363,0.2420921664425107,,,,,6
m-bigearthnet,linear,micro_mAP,0.6663909473234065,0.65388423204422,0.6807273030281067,128,942.6684551178854,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,43,9643d337b403de90,-6,4,40,True,200,,,,,,,0.01851783325722398,0.049587837225475974,0.44675032586552377,,,,,15
m-so2sat,knn5,accuracy,0.46551724137931033,0.43400102853775024,0.5020284056663513,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,17,9643d337b403de90,-6,4,40,True,200,,,,,,,0.2093316912651062,0.22244857251644135,0.3404056131839752,,,,,6
m-so2sat,linear,accuracy,0.59026369168357,0.560775876045227,0.6207403540611267,128,2.5719138090593416,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,17,9643d337b403de90,-6,4,40,True,200,,,,,,,0.03127996623516083,0.03814534470438957,0.19212360680103302,,,,,15
forestnet,knn5,accuracy,0.3434038267875126,0.3162134885787964,0.37663644552230835,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,,default,all,12,9643d337b403de90,-6,4,40,True,200,,,,,,,0.3248755633831024,0.34586185216903687,0.49140816926956177,,,,,6
