dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,knn5,accuracy,0.4421906693711968,0.4066937267780304,0.4717038571834564,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.2217048108577728,0.2360117435455322,0.3324693441390991,,,,,6.0
m-so2sat,linear,accuracy,0.5892494929006086,0.5577840209007263,0.6176470518112183,128,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.0389083363115787,0.0479362867772579,0.1019258052110672,0.0372868292033672,0.0448724329471588,0.184349700808525,0.8425598401041784,15.0
benv2,knn5,micro_mAP,0.591078323981515,0.5798790454864502,0.5992881655693054,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,bilinear,default,rgb,19,bee8cf813c13ee95,-6,4,40,True,200,,,,,,,0.04873160851237021,0.06510220134728834,0.2979481965303421,,,,,6.0
m-so2sat,knn5,accuracy,0.4421906693711968,0.4066937267780304,0.4717038571834564,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,bc4800d9df2fa96f,-6,4,40,True,200,,,,,,,0.22170481085777283,0.23601174354553223,0.3324693441390991,,,,,6
m-so2sat,linear,accuracy,0.5892494929006086,0.5577840209007263,0.6176470518112183,128,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,bc4800d9df2fa96f,-6,4,40,True,200,,,,,,,0.03890833631157875,0.04793628677725792,0.1019258052110672,0.03728682920336723,0.044872432947158813,0.18434970080852509,0.8425598401041784,15
m-eurosat,knn5,accuracy,0.916,0.8960000276565552,0.9340000152587891,128,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,,default,all,10,a8661e4cecc7378c,-6,4,40,True,200,,,,,,,0.03959992527961731,0.047039132565259933,0.1029708981513977,,,,,6
m-eurosat,linear,accuracy,0.936,0.9200000166893005,0.9540249705314636,128,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,,default,all,10,a8661e4cecc7378c,-6,4,40,True,200,,,,,,,0.01612691581249237,0.042036980390548706,0.6359601020812988,,,,,15
eurosat-spatial,knn5,accuracy,0.9075925925925926,0.9007360935211182,0.9148240685462952,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,,default,all,10,a8661e4cecc7378c,-6,4,40,True,200,,,,,,,0.02951798401772976,0.033079758286476135,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9296296296296296,0.9233241081237793,0.9357454180717468,128,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,,default,all,10,a8661e4cecc7378c,-6,4,40,True,200,,,,,,,0.014901399612426758,0.022989844903349876,0.3059919774532318,,,,,15
m-forestnet,knn5,accuracy,0.33131923464249746,0.29607251286506653,0.3635700047016144,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_sar_db,bandspec_zscore,,,default,all,12,a8661e4cecc7378c,-6,4,40,True,200,,,,,,,0.34179404377937317,0.36180776357650757,0.4908416271209717,,,,,6
