dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.591078323981515,0.5798790454864502,0.5992881655693054,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,19,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.04873160851237021,0.06510220134728834,0.2979481965303421,,,,,6
m-so2sat,knn5,accuracy,0.24645030425963488,0.2251521348953247,0.2768762707710266,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,17,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.3344833254814148,0.3615468442440033,0.5961538553237915,,,,,6
m-so2sat,linear,accuracy,0.40162271805273836,0.37213489413261414,0.42900609970092773,128,10000.0,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,17,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.1103769913315773,0.1355653703212738,0.28489911556243896,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4362215751961275,0.41750091314315796,0.4547252058982849,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,43,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.04365118291922087,0.061145323393649836,0.34406001380709716,,,,,6
m-bigearthnet,linear,micro_mAP,0.5053882787453703,0.48967868089675903,0.5230445861816406,128,1701.2542798525858,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,43,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.021166167925870002,0.04640765839018101,0.44090614034685977,,,,,15
benv2,linear,micro_mAP,0.7030521518110919,0.6943758726119995,0.7109553217887878,128,160.37187437513276,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,19,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.019273656301696685,0.032850971200356356,0.26743589694562714,,,,,15
so2sat,knn5,accuracy,0.24645030425963488,0.22309836745262146,0.27287018299102783,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,17,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.33428049087524414,0.36131298542022705,0.5961538553237915,,,,,6
so2sat,linear,accuracy,0.4158215010141988,0.3884127736091614,0.4432302415370941,128,10000.0,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,17,42ba7c33af6bceb8,-6,4,40,True,200,,,,,,,0.10790197551250458,0.12489453703165054,0.2727082371711731,,,,,15
m-eurosat,knn5,accuracy,0.735,0.7059749960899353,0.7620750069618225,128,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,10,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.05440019816160202,0.0562070868909359,0.13333334028720856,,,,,6
m-eurosat,linear,accuracy,0.85,0.8269750475883484,0.871999979019165,128,1701.2542798525858,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,10,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.022588690742850304,0.04263146594166756,0.30237388610839844,,,,,15
m-brick-kiln,knn5,accuracy,0.8648648648648649,0.8408408164978027,0.8849099278450012,128,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,2,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.032231654971838,0.034759391099214554,0.042622923851013184,,,,,6
m-brick-kiln,linear,accuracy,0.914914914914915,0.9008508324623108,0.9299549460411072,128,160.37187437513276,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,2,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.03098517656326294,0.045380935072898865,0.1142946183681488,,,,,15
eurosat-spatial,knn5,accuracy,0.6616666666666666,0.6492500305175781,0.6731528043746948,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,10,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.13988617062568665,0.1493147760629654,0.2085229754447937,,,,,6
eurosat-spatial,linear,accuracy,0.7785185185185185,0.7677778005599976,0.7929676175117493,128,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,10,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.01491309143602848,0.02415899746119976,0.24011853337287903,,,,,15
m-forestnet,knn5,accuracy,0.2980866062437059,0.2719033360481262,0.3243202567100525,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,12,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.35790684819221497,0.3792860805988312,0.5037593841552734,,,,,6
m-forestnet,linear,accuracy,0.446122860020141,0.41684290766716003,0.4733635485172272,128,15.117750706156599,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,12,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.0646328330039978,0.09131234884262085,0.2826537787914276,,,,,15
treesatai,knn5,micro_mAP,0.36023206827536247,0.3482692837715149,0.3737863600254059,128,,,,4000,1000,2000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,15,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.07687997252990802,0.10046481117606162,0.5597031235694885,,,,,6
treesatai,linear,micro_mAP,0.5271901339147316,0.5106527805328369,0.5415284037590027,128,10000.0,,,4000,1000,2000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,15,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.026577637949958443,0.04254335978378852,0.4213026783118645,,,,,15
forestnet,knn5,accuracy,0.2890231621349446,0.26581066846847534,0.3163645565509796,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,12,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.3695886731147766,0.3956683874130249,0.5565217733383179,,,,,6
forestnet,linear,accuracy,0.4622356495468278,0.4370342195034027,0.49448642134666443,128,160.37187437513276,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,12,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.042911723256111145,0.05715171992778778,0.15106141567230225,,,,,15
m-pv4ger,knn5,accuracy,0.8988988988988988,0.8788538575172424,0.9179179072380066,128,,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,2,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.052252285182476044,0.06513284146785736,0.16538488864898682,,,,,6
m-pv4ger,linear,accuracy,0.933933933933934,0.9208958745002747,0.9489739537239075,128,1701.2542798525858,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,bilinear,default,rgb,2,934e82834bdbf7f5,-6,4,40,True,200,,,,,,,0.02685040794312954,0.048253003507852554,0.17315012216567993,,,,,15
m-eurosat,knn5,accuracy,0.916,0.8960000276565552,0.9340000152587891,128,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,10,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.03959992527961731,0.047039132565259933,0.1029708981513977,,,,,6
m-eurosat,linear,accuracy,0.936,0.9200000166893005,0.9540249705314636,128,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,10,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.01612691581249237,0.042036980390548706,0.6359601020812988,,,,,15
eurosat-spatial,knn5,accuracy,0.9075925925925926,0.9007360935211182,0.9148240685462952,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,10,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.02951798401772976,0.033079758286476135,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9296296296296296,0.9233241081237793,0.9357454180717468,128,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,10,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.014901399612426758,0.022989844903349876,0.3059919774532318,,,,,15
m-bigearthnet,knn5,micro_mAP,0.602245485062929,0.5855185985565186,0.6203402280807495,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,43,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.02904650377282916,0.04659162509406722,0.2378713036345881,,,,,6
m-bigearthnet,linear,micro_mAP,0.6696876048035122,0.656294584274292,0.6833979487419128,128,3070.2906297578375,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,43,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.01829445799596088,0.04930684342980385,0.4527904983869819,,,,,15
m-forestnet,knn5,accuracy,0.33131923464249746,0.29607251286506653,0.3635700047016144,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,12,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.34179404377937317,0.36180776357650757,0.4908416271209717,,,,,6
m-forestnet,linear,accuracy,0.499496475327291,0.4682275652885437,0.5297079682350159,128,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,12,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.06876769661903381,0.07708555459976196,0.1876428723335266,,,,,15
m-so2sat,knn5,accuracy,0.4513184584178499,0.4157961308956146,0.4817444086074829,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,17,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.2212992012500763,0.23436298966407776,0.33051812648773193,,,,,6
m-so2sat,linear,accuracy,0.5821501014198783,0.5537272095680237,0.6125760674476624,128,2.5719138090593416,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,17,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.037938930094242096,0.04836041107773781,0.18278995156288147,,,,,15
forestnet,knn5,accuracy,0.3504531722054381,0.31518125534057617,0.3806898295879364,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,12,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.32024306058883667,0.3428981304168701,0.4520166218280792,,,,,6
forestnet,linear,accuracy,0.5287009063444109,0.5014854073524475,0.5599194169044495,128,27.28333376486764,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,12,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.04614158719778061,0.05856310948729515,0.1903107613325119,,,,,15
so2sat,knn5,accuracy,0.4513184584178499,0.4228448271751404,0.48483774065971375,128,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,17,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.22312477231025696,0.2326245754957199,0.30000174045562744,,,,,6
so2sat,linear,accuracy,0.5760649087221096,0.5446247458457947,0.6075050830841064,128,1.4251026703029963,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,17,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.015649769455194473,0.02741539105772972,0.3142750561237335,,,,,15
benv2,knn5,micro_mAP,0.7119764837183334,0.7039150595664978,0.718849778175354,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,19,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.03645796144969369,0.0498384580408272,0.21193551076085945,,,,,6
benv2,linear,micro_mAP,0.8074445087262202,0.8018511533737183,0.8139529824256897,128,289.426612471674,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_t1,bandspec_zscore,,,default,all,19,dfa544ce69683418,-6,4,40,True,200,,,,,,,0.01468941323937064,0.03128851616853162,0.24658206418940895,,,,,15
