dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.6103938475935309,0.5938501954078674,0.6266355514526367,192,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,,-6,4,40,True,200,,,,,,,0.030181388608938,0.048439362324601,0.2512776874179064,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6891597636459694,0.6751405596733093,0.7059909105300903,192,15.1177507061566,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,,-6,4,40,True,200,,,,,,,0.0190744882687753,0.0513480233764925,0.4621022970870483,0.0191831642350311,0.0524505174090695,0.4746527910925621,0.9701723531656364,15.0
m-so2sat,knn5,accuracy,0.5628803245436106,0.5324543714523315,0.5892748236656189,192,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.1559845805168151,0.17372427880764,0.2591241002082824,,,,,6.0
m-so2sat,linear,accuracy,0.6855983772819473,0.6551470756530762,0.7150354981422424,192,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2",17,,-6,4,40,True,200,,,,,,,0.0340890921652317,0.0482023246586322,0.3159372210502624,0.0410789288580417,0.0547682531177997,0.1751459240913391,0.879220096299523,15.0
benv2,knn5,micro_mAP,0.716073230483912,0.7084792852401733,0.7224228978157043,192,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,,-6,4,40,True,200,,,,,,,0.0352685027755796,0.0490785990106432,0.2510696939731899,,,,,6.0
benv2,linear,micro_mAP,0.8179175176763496,0.8118566274642944,0.8233349919319153,192,49.238826317067314,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,,-6,4,40,True,200,,,,,,,0.0144357558670698,0.0314464747513595,0.2766451529766384,0.0144358037811654,0.0314465579821875,0.2766458211760771,0.9999928977644637,15.0
m-so2sat,knn5,accuracy,0.5415821501014199,0.5131592750549316,0.5771298408508301,192,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.1868162006139755,0.2023904621601104,0.2784332633018493,,,,,6.0
m-so2sat,linear,accuracy,0.6734279918864098,0.6459431648254395,0.7018255591392517,192,88.86238162743389,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,vh_real,vh_imag,vv_real,vv_imag,vh_lee,vv_lee,vh_lee_real,vv_lee_imag",17,,-6,4,40,True,200,,,,,,,0.0719066113233566,0.0815136805176734,0.1333475410938263,0.0685078576207161,0.081347182393074,0.1516836285591125,1.017246255608638,15.0
eurosat-spatial,knn5,accuracy,0.9311111111111112,0.9237037301063538,0.9375972151756288,192,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0211486667394638,0.0227551776915788,0.0843752324581146,,,,,6.0
eurosat-spatial,linear,accuracy,0.967037037037037,0.9620370268821716,0.9722222089767456,192,27.28333376486764,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,,-6,4,40,True,200,,,,,,,0.0102857602760195,0.0322526060044765,0.3696749806404114,0.0175324212759733,0.0430097207427024,0.3989339172840118,0.6874775604834439,15.0
