dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6357766893824245,0.6253777742385864,0.6429858803749084,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,19,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.044136842743395584,0.05765991020751627,0.22301492173420756,,,,,6
m-so2sat,knn5,accuracy,0.3894523326572008,0.3539300262928009,0.42089250683784485,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,17,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.22819560766220093,0.2299930453300476,0.28044837713241577,,,,,6
m-so2sat,linear,accuracy,0.5973630831643002,0.5608265995979309,0.6237576007843018,768,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,17,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.07202839851379395,0.08121512830257416,0.14185315370559692,,,,,15
benv2,linear,micro_mAP,0.765402692880025,0.7577893137931824,0.7726927995681763,768,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,19,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.015575784224845273,0.03130221452662035,0.24648345771588778,,,,,15
m-bigearthnet,knn5,micro_mAP,0.47439638266826745,0.457197368144989,0.4915493130683899,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,43,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.041339540832437745,0.0595510334296282,0.32609202019697014,,,,,6
m-bigearthnet,linear,micro_mAP,0.6167275564998524,0.5999268889427185,0.6327716112136841,768,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,43,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.01957952872265217,0.05159277572881344,0.4643031292876532,,,,,15
so2sat,knn5,accuracy,0.3894523326572008,0.36102941632270813,0.41790062189102173,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,17,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.22819560766220093,0.2299930453300476,0.28044837713241577,,,,,6
so2sat,linear,accuracy,0.6105476673427992,0.5820993781089783,0.6430020332336426,768,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,17,0c247d27f4ef6edd,-6,4,40,True,200,,,,,,,0.04877927154302597,0.06165148690342903,0.30436185002326965,,,,,15
m-eurosat,knn5,accuracy,0.851,0.828000009059906,0.8720499873161316,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,10,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.022999512031674385,0.028306633234024048,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.941,0.925000011920929,0.9520000219345093,768,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,10,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.0227967519313097,0.0635707825422287,0.6481060981750488,,,,,15
m-pv4ger,knn5,accuracy,0.94994994994995,0.9339339137077332,0.9639639854431152,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,2,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.024224182590842247,0.03489653766155243,0.11745983362197876,,,,,6
m-pv4ger,linear,accuracy,0.953953953953954,0.9409158825874329,0.966966986656189,768,0.437547937507418,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,2,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.032338473945856094,0.06480806320905685,0.4369168281555176,,,,,15
forestnet,knn5,accuracy,0.3826787512588117,0.3483887016773224,0.4129405915737152,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,12,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.3081584572792053,0.328639954328537,0.4487621784210205,,,,,6
forestnet,linear,accuracy,0.5166163141993958,0.4863544702529907,0.5468529462814331,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,12,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.06356504559516907,0.07139423489570618,0.17130225896835327,,,,,15
m-brick-kiln,knn5,accuracy,0.9669669669669669,0.9569319486618042,0.9770020246505737,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,2,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.03503488749265671,0.058696065098047256,0.1450977921485901,,,,,6
m-brick-kiln,linear,accuracy,0.9619619619619619,0.9519519805908203,0.9719719886779785,768,0.007017038286703823,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,2,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.012012495659291744,0.03267927095293999,0.2447521984577179,,,,,15
m-forestnet,knn5,accuracy,0.3605236656596173,0.334264874458313,0.3968026340007782,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,12,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.3264867067337036,0.3474697470664978,0.44745972752571106,,,,,6
m-forestnet,linear,accuracy,0.527693856998993,0.4984642565250397,0.5589123964309692,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,12,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.07778526842594147,0.09021925181150436,0.1773991584777832,,,,,15
eurosat-spatial,knn5,accuracy,0.8479629629629629,0.8385138511657715,0.8576064705848694,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,10,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.03485143557190895,0.036835674196481705,0.05443120002746582,,,,,6
eurosat-spatial,linear,accuracy,0.9309259259259259,0.925361156463623,0.9383425712585449,768,0.13433993325988988,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,10,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.012318655848503113,0.02539767511188984,0.31141963601112366,,,,,15
treesatai,knn5,micro_mAP,0.40262698377163053,0.3867581784725189,0.41920217871665955,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,regnety_008,bandspec_zscore,224,bilinear,default,rgb,15,ed048659c7a14f4b,-6,4,40,True,200,,,,,,,0.06845336525390545,0.08899686808387439,0.4237294390797615,,,,,6
