dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-eurosat,knn5,accuracy,0.881,0.8589500188827515,0.8999999761581421,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,10,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.025799894705414772,0.03624826297163963,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.951,0.9369750022888184,0.9640249609947205,768,0.24244620170823258,,,2000,1000,1000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,10,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.009807989001274109,0.0335099883377552,0.28866127133369446,,,,,15
m-brick-kiln,knn5,accuracy,0.8808808808808809,0.857857882976532,0.8988988995552063,768,,,,15063,999,999,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,2,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.016416165977716446,0.018302392214536667,0.022544264793395996,,,,,6
m-brick-kiln,linear,accuracy,0.9379379379379379,0.9218968749046326,0.951977014541626,768,0.13433993325988988,,,15063,999,999,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,2,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.010334854945540428,0.023848162963986397,0.09722018241882324,,,,,15
m-bigearthnet,knn5,micro_mAP,0.654978692526817,0.6424145698547363,0.6717509031295776,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,43,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.02423255575474265,0.041294537441328515,0.22149031695931456,,,,,6
m-bigearthnet,linear,micro_mAP,0.7336128266733083,0.7220075726509094,0.7461012005805969,768,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,43,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.018270621271154214,0.050568712788612344,0.4376865673896878,,,,,15
benv2,knn5,micro_mAP,0.7304567688063288,0.7238373756408691,0.7367604374885559,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,19,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.03403956844091514,0.04617953128916653,0.1794651542839251,,,,,6
benv2,linear,micro_mAP,0.8391361342240127,0.8337184190750122,0.8439595699310303,768,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,19,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.013325452320522777,0.030221793555507536,0.2745521797945625,,,,,15
treesatai,knn5,micro_mAP,0.46007736241086644,0.4451264441013336,0.4762279689311981,768,,,,4000,1000,2000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,15,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.0662200071538488,0.08428024450937907,0.3901129285494486,,,,,6
treesatai,linear,micro_mAP,0.6366206035997848,0.6211414933204651,0.6525530815124512,768,0.012663801734674022,,,4000,1000,2000,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,15,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.02270795515505597,0.037971161864697935,0.2779159734646479,,,,,15
eurosat,knn5,accuracy,0.9594444444444444,0.9544398188591003,0.9644491076469421,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,10,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.013037214986979961,0.021330535411834717,0.06415063142776489,,,,,6
eurosat,linear,accuracy,0.9774074074074074,0.973328709602356,0.9811157584190369,768,0.0744380301325168,,,16200,5400,5400,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,10,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.0044281636364758015,0.01675049588084221,0.21416035294532776,,,,,15
eurosat-spatial,knn5,accuracy,0.8924074074074074,0.883305549621582,0.9003795981407166,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,10,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.02777896076440811,0.033128686249256134,0.10955354571342468,,,,,6
eurosat-spatial,linear,accuracy,0.9485185185185185,0.9412962794303894,0.9544491171836853,768,0.012663801734674022,,,16200,5400,5400,0,torchgeo_bench.models.TerraFMBench,terrafm_base_s2,bandspec_zscore,224,bilinear,default,all,10,5df012507fe3ea93,-6,4,40,True,200,,cls,,,,,0.015376271679997444,0.027308568358421326,0.31342560052871704,,,,,15
