dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5699525606538656,0.5516825914382935,0.5868505835533142,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0326790732093328,0.0509356508507978,0.3013387476635534,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7137401785095774,0.6989620327949524,0.727394700050354,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0196051564674044,0.0519406905527724,0.481726067357285,0.0209237564636697,0.0524933252396971,0.4603065210719441,0.9319905119121118,15.0
m-brick-kiln,knn5,accuracy,0.8848848848848849,0.8648398518562317,0.9049049019813538,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0328327007591724,0.033173568546772,0.0378363132476806,,,,,6.0
m-brick-kiln,linear,accuracy,0.93993993993994,0.924924910068512,0.9529529809951782,768,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0182193852961063,0.0362098701298236,0.1728582978248596,0.0190962627530097,0.0495045222342014,0.2167496681213379,0.7711917992095807,15.0
m-eurosat,knn5,accuracy,0.858,0.8369750380516052,0.8780249953269958,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0263996366411447,0.0294279642403125,0.0499999970197677,,,,,6.0
m-eurosat,linear,accuracy,0.929,0.9109750390052797,0.9470500349998474,768,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0211104713380336,0.0447067245841026,0.1711139678955078,0.0569132901728153,0.1002420112490654,0.5533789992332458,0.2676097856847682,15.0
m-brick-kiln,knn5,accuracy,0.8668668668668669,0.845795750617981,0.8848848938941956,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0246248319745063,0.0265059750527143,0.032206118106842,,,,,6.0
m-brick-kiln,linear,accuracy,0.92992992992993,0.9149149060249328,0.9449699521064758,768,27.28333376486764,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0122285159304738,0.0264530330896377,0.1276542544364929,0.0255861096084117,0.0419565550982952,0.1803394556045532,0.8030698671174529,15.0
eurosat-spatial,knn5,accuracy,0.7927777777777778,0.7811064720153809,0.8044629693031311,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0914439111948013,0.093966357409954,0.2000000029802322,,,,,6.0
eurosat-spatial,linear,accuracy,0.905925925925926,0.8975833654403687,0.9129676222801208,768,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0298851635307073,0.0394222885370254,0.3094367980957031,0.0665706247091293,0.0860280692577362,0.3776381313800812,0.4946590842967852,15.0
m-eurosat,knn5,accuracy,0.833,0.8099250197410583,0.8550500273704529,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0303996987640857,0.0327080078423023,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.93,0.9119750261306764,0.9449999928474426,768,88.86238162743389,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.032744463533163,0.058321438729763,0.4410146176815033,0.0652350410819053,0.1269262135028839,0.6957160830497742,0.1341451480173204,15.0
m-bigearthnet,knn5,micro_mAP,0.5514471806574052,0.5364347696304321,0.568569004535675,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0334651228906803,0.0518308691680431,0.2811187554237454,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6972691576745562,0.6824495792388916,0.7103067636489868,768,4.641588833612772,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.018617587640535,0.0517062230772057,0.4754875839449639,0.0200868322578973,0.0537102030113686,0.4832705335561619,0.931516531822257,15.0
eurosat-spatial,knn5,accuracy,0.7927777777777778,0.7811064720153809,0.8044629693031311,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.09144391119480133,0.09396635740995407,0.20000000298023224,,,,,6.0
eurosat-spatial,linear,accuracy,0.9059259259259259,0.8974027633666992,0.9129629731178284,768,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.030039433389902115,0.04045049101114273,0.31813231110572815,0.06662966310977936,0.08696301281452179,0.35240453481674194,0.49155104895069296,15.0
m-eurosat,knn5,accuracy,0.833,0.8099250197410583,0.8550500273704529,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.03039969876408577,0.03270800784230232,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.932,0.9160000085830688,0.9460249543190002,768,49.238826317067314,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.026968954131007195,0.05044824257493019,0.20591986179351807,0.06582131236791611,0.11101673543453217,0.8269952535629272,0.09085621929736044,15
m-eurosat,knn5,accuracy,0.858,0.8369750380516052,0.8780249953269958,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,54cb730746698107,-6,4,40,True,200,,,,,,,0.026399636641144753,0.029427964240312576,0.04999999701976776,,,,,6
m-eurosat,linear,accuracy,0.929,0.9109750390052795,0.9470500349998474,768,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,54cb730746698107,-6,4,40,True,200,,,,,,,0.021110471338033676,0.04470672458410263,0.1711139678955078,0.05691329017281532,0.1002420112490654,0.5533789992332458,0.26760978568476823,15
m-brick-kiln,knn5,accuracy,0.8848848848848849,0.8648398518562317,0.9049049019813538,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,54cb730746698107,-6,4,40,True,200,,,,,,,0.03283270075917244,0.033173568546772,0.037836313247680664,,,,,6
m-brick-kiln,linear,accuracy,0.93993993993994,0.924924910068512,0.9529529809951782,768,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,54cb730746698107,-6,4,40,True,200,,,,,,,0.01821938529610634,0.036209870129823685,0.17285829782485962,0.019096262753009796,0.04950452223420143,0.2167496681213379,0.7711917992095807,15
m-brick-kiln,knn5,accuracy,0.8668668668668669,0.845795750617981,0.8848848938941956,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.024624831974506378,0.026505975052714348,0.03220611810684204,,,,,6
m-brick-kiln,linear,accuracy,0.928928928928929,0.9148398041725159,0.9439939856529236,768,27.28333376486764,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.013280728831887245,0.02682735025882721,0.11312991380691528,0.02621724270284176,0.04709046706557274,0.22225233912467957,0.7841201889630156,15
m-bigearthnet,knn5,micro_mAP,0.5514471806574052,0.5364347696304321,0.568569004535675,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.033465122890680335,0.05183086903809115,0.2811187554237454,,,,,6
m-bigearthnet,linear,micro_mAP,0.6990381725010357,0.684237539768219,0.7128914594650269,768,15.117750706156599,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,37abf8acc1834f21,-6,4,40,True,200,,,,,,,0.01994805107283038,0.05341388627366964,0.4921926156032917,0.02130626913073451,0.054621962180664375,0.47546224296092987,0.9413593562090227,15
m-bigearthnet,knn5,micro_mAP,0.5699525606538656,0.5516825914382935,0.5868505835533142,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,54cb730746698107,-6,4,40,True,200,,,,,,,0.032679073209332866,0.050935650850797806,0.3013387476635534,,,,,6
m-bigearthnet,linear,micro_mAP,0.7137401785095774,0.6989620327949524,0.727394700050354,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,54cb730746698107,-6,4,40,True,200,,,,,,,0.019605156467404475,0.05194069055277248,0.48172606735728507,0.02092375646366976,0.052493325239697165,0.46030652107194414,0.9319905119121118,15
