dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-eurosat,knn5,accuracy,0.842,0.8209499716758728,0.8630249500274658,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0248001385480165,0.0300070885568857,0.073684424161911,,,,,6.0
m-eurosat,linear,accuracy,0.929,0.9089999794960022,0.9450249671936036,1024,2.182644728397487,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0408816933631897,0.0779208838939666,0.4535673260688782,0.0669431388378143,0.1290553361177444,0.7346106767654419,0.1442083673028642,15.0
m-brick-kiln,knn5,accuracy,0.8708708708708709,0.8478478193283081,0.887912929058075,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0214215982705354,0.0228220876306295,0.0254777073860168,,,,,6.0
m-brick-kiln,linear,accuracy,0.9229229229229228,0.906881868839264,0.9389639496803284,1024,103.9798418481492,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0274026859551668,0.043306577950716,0.1883133649826049,0.0350435264408588,0.048138003796339,0.1640696823596954,0.7845846581735575,15.0
m-bigearthnet,knn5,micro_mAP,0.5594218463573235,0.5424136519432068,0.578403651714325,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.032367444283134,0.0509883192216241,0.2772026708306268,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7143669747339496,0.7018080949783325,0.7266975045204163,1024,0.6020894493336125,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.021406601919511,0.0549822537185147,0.4847394661154858,0.0234239774128032,0.0571996935231741,0.4695992026218148,0.92943282612863,15.0
m-brick-kiln,knn5,accuracy,0.8718718718718719,0.8528528809547424,0.8909159302711487,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0256261974573135,0.0258585680276155,0.030303955078125,,,,,6.0
m-brick-kiln,linear,accuracy,0.9309309309309308,0.9169169068336488,0.945945918560028,1024,1.4208308325339238,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0211293268948793,0.0431103594601154,0.167867362499237,0.021048592403531,0.034617718309164,0.1304172873497009,0.7882121667042951,15.0
eurosat-spatial,knn5,accuracy,0.8251851851851851,0.8162453770637512,0.835930585861206,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0687403306365013,0.0726410821080207,0.3000000119209289,,,,,6.0
eurosat-spatial,linear,accuracy,0.9301851851851852,0.9229629635810852,0.937791645526886,1024,0.2551406520031287,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0220941342413425,0.0293822530657053,0.2699992656707763,0.0477972067892551,0.0639649033546447,0.3857012391090393,0.5178752580488221,15.0
m-eurosat,knn5,accuracy,0.84,0.81597501039505,0.8610000014305115,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0199999250471591,0.0223910026252269,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.919,0.9010000228881836,0.93702495098114,1024,0.2551406520031287,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0190357621759176,0.0391270294785499,0.6236003637313843,0.0660724192857742,0.1115757972002029,0.5868921875953674,0.242779964047383,15.0
m-bigearthnet,knn5,micro_mAP,0.5107249206726399,0.4938680231571197,0.5277026891708374,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.0367162757834722,0.0559450849717439,0.2812595247875812,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6820218445832379,0.6672042012214661,0.6953597664833069,1024,0.9249147277217336,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.0192319950262127,0.0525493449423202,0.5041945812314056,0.0202577316613737,0.0533927591560884,0.508612550621809,0.936733200793767,15.0
m-eurosat,knn5,accuracy,0.842,0.8209499716758728,0.8630249500274658,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,10,881265b1de747b24,-6,5,60,True,200,,,,,,,0.024800138548016548,0.03000708855688572,0.07368442416191101,,,,,6.0
m-eurosat,linear,accuracy,0.929,0.9089999794960022,0.9450249671936035,1024,2.182644728397487,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,10,881265b1de747b24,-6,5,60,True,200,,,,,,,0.0408816933631897,0.07792088389396667,0.4535673260688782,0.06694313883781433,0.12905533611774445,0.7346106767654419,0.14420836730286424,15.0
m-eurosat,knn5,accuracy,0.84,0.81597501039505,0.8610000014305115,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.019999925047159195,0.022391002625226974,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.915,0.8980000019073486,0.9330250024795532,1024,5.150678076168122,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.04884829744696617,0.08051678538322449,0.47877609729766846,0.0791022926568985,0.14358097314834595,0.635841965675354,0.17625867705853912,15
eurosat-spatial,knn5,accuracy,0.8251851851851851,0.8162453770637512,0.835930585861206,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.06874033063650131,0.07264108955860138,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.9292592592592592,0.9223981499671936,0.9368518590927124,1024,0.16608827826277167,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,10,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.020194271579384804,0.02829151041805744,0.2987918555736542,0.04337257519364357,0.06063804775476456,0.39220523834228516,0.5514976625004233,15
m-brick-kiln,knn5,accuracy,0.8718718718718719,0.8528528809547424,0.8909159302711487,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,2,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.025626197457313538,0.025858568027615547,0.030303955078125,,,,,6
m-brick-kiln,linear,accuracy,0.92992992992993,0.9159159064292908,0.946946918964386,1024,2.182644728397487,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,2,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.021170394495129585,0.04576404020190239,0.19954243302345276,0.02287392131984234,0.03426678106188774,0.18681082129478455,0.7706009805288577,15
m-brick-kiln,knn5,accuracy,0.8708708708708709,0.8478478193283081,0.887912929058075,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,2,881265b1de747b24,-6,5,60,True,200,,,,,,,0.02142159827053547,0.02282208763062954,0.025477707386016846,,,,,6
m-brick-kiln,linear,accuracy,0.9229229229229229,0.9068818688392639,0.9389639496803284,1024,103.9798418481492,,,15063,999,999,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,2,881265b1de747b24,-6,5,60,True,200,,,,,,,0.027402685955166817,0.04330657795071602,0.18831336498260498,0.03504352644085884,0.048138003796339035,0.16406968235969543,0.7845846581735575,15
m-bigearthnet,knn5,micro_mAP,0.5594218463573235,0.5424136519432068,0.578403651714325,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,43,881265b1de747b24,-6,5,60,True,200,,,,,,,0.032367444283134025,0.050988319221624105,0.27720267083062683,,,,,6
m-bigearthnet,linear,micro_mAP,0.7143669747339496,0.7018080949783325,0.7266975045204163,1024,0.6020894493336125,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,model_native,224,bilinear,default,all,43,881265b1de747b24,-6,5,60,True,200,,,,,,,0.02140660191951103,0.05498225371851478,0.4847394661154858,0.023423977412803228,0.05719969352317411,0.4695992026218148,0.9294328261286301,15
m-bigearthnet,knn5,micro_mAP,0.5107249206726399,0.49386802315711975,0.5277026891708374,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_large,bandspec_zscore,224,bilinear,default,all,43,97e348e03f607e3c,-6,5,60,True,200,,,,,,,0.03671627578347228,0.05594508531828259,0.28125952478758126,,,,,6
