dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6116467189268625,0.6041261553764343,0.6208445429801941,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,19,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.048086963814536206,0.06454308816280804,0.30022088399058894,,,,,6
benv2,linear,micro_mAP,0.7474551593543837,0.73988276720047,0.7550328969955444,1024,0.7896522868499717,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,19,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.017948872925971,0.03517059746541475,0.3832472594160783,,,,,15
eurosat-spatial,knn5,accuracy,0.6724074074074075,0.6577731370925903,0.6848240494728088,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,10,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.14499765634536743,0.15432195365428925,0.21278291940689087,,,,,6
eurosat-spatial,linear,accuracy,0.8485185185185186,0.8379629850387573,0.8576018214225769,1024,289.426612471674,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,10,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.0964110940694809,0.11037714779376984,0.23968476057052612,,,,,15
m-bigearthnet,knn5,micro_mAP,0.42216905942023414,0.40469059348106384,0.4420745074748993,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,43,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.04517209666326295,0.06486346531486095,0.41514061460661333,,,,,6
m-bigearthnet,linear,micro_mAP,0.5845022447755686,0.5706055760383606,0.6022493839263916,1024,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,43,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.020964597427654406,0.05237314633505289,0.5022892771765243,,,,,15
m-brick-kiln,knn5,accuracy,0.8198198198198198,0.7957957983016968,0.8388888835906982,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,2,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.031031500548124313,0.03189976140856743,0.037254929542541504,,,,,6
m-brick-kiln,linear,accuracy,0.9119119119119119,0.8958207964897156,0.9269519448280334,1024,942.6684551178854,,,15063,999,999,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,2,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.027075443416833878,0.04671154171228409,0.2855532765388489,,,,,15
m-eurosat,knn5,accuracy,0.707,0.6809750199317932,0.7330249547958374,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,10,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.057400383055210114,0.06048673018813133,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.884,0.8610000014305115,0.9030500054359436,1024,15.117750706156599,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,10,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.04185819998383522,0.05740402638912201,0.3831745684146881,,,,,15
m-so2sat,knn5,accuracy,0.31135902636916835,0.2829614579677582,0.3357505202293396,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,17,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.3255589008331299,0.34029415249824524,0.4715702533721924,,,,,6
m-so2sat,linear,accuracy,0.5304259634888439,0.49997463822364807,0.5558316707611084,1024,942.6684551178854,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,17,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.27124837040901184,0.2835620939731598,0.3793677091598511,,,,,15
so2sat,knn5,accuracy,0.31135902636916835,0.2859787046909332,0.337753564119339,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,17,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.3255589008331299,0.34029415249824524,0.4715702533721924,,,,,6
so2sat,linear,accuracy,0.5385395537525355,0.5081135630607605,0.5709939002990723,1024,2.5719138090593416,,,19992,986,986,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,17,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.17396903038024902,0.18208998441696167,0.26168292760849,,,,,15
treesatai,knn5,micro_mAP,0.4114023528584566,0.3935893774032593,0.4257972240447998,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,15,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.06800667711844047,0.08964692304531734,0.39051469167073566,,,,,6
treesatai,linear,micro_mAP,0.597425176223151,0.5802102088928223,0.6159448623657227,1024,8.376776400682907,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoDEOBench,tgeo_deo_swin_s2,model_native,224,bilinear,default,all,15,161a6736e9ab772f,-6,4,40,True,200,,,,,,,0.02570611860525484,0.04458556999452412,0.4387584129969279,,,,,15
