dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.2942366617300712,0.2803589701652527,0.3104297220706939,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0570325899089491,0.0766148037861946,0.4092419656903244,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.4554566263618478,0.4381395578384399,0.475159078836441,4096,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0206789477446744,0.0467359278957511,0.4869516027528186,0.0261099636013251,0.0522505393208459,0.5276337019925894,0.8864009373064847,15.0
benv2,knn5,micro_mAP,0.4830402517179473,0.4749825000762939,0.4919750392436981,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0595790604374518,0.0759278136354528,0.322121514301551,,,,,6.0
benv2,linear,micro_mAP,0.6692517884461628,0.6602475643157959,0.6787994503974915,4096,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0212106507663664,0.0326730050146579,0.255736901767944,0.0226202533200481,0.0343413594436194,0.2764832593414834,0.871365529916262,15.0
forestnet,knn5,accuracy,0.3031218529707956,0.273841917514801,0.3293806612491607,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.4028208553791046,0.4166727662086487,0.5218948125839233,,,,,6.0
forestnet,linear,accuracy,0.472306143001007,0.4390735030174255,0.504531741142273,4096,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0676667243242263,0.0765902176499366,0.1638751626014709,0.1844708025455474,0.1957602649927139,0.3006682097911834,0.5552023707480065,15.0
m-eurosat,knn5,accuracy,0.64,0.6099250316619873,0.6710249781608582,4096,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0281998887658119,0.0359954424202442,0.0611096620559692,,,,,6.0
m-eurosat,linear,accuracy,0.786,0.7569750547409058,0.80902498960495,4096,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.2178429663181305,0.2364519089460373,0.3561021685600281,0.0788122117519378,0.0924421846866607,0.2065457105636596,0.3187321974459945,15.0
m-brick-kiln,knn5,accuracy,0.8138138138138138,0.7917667627334595,0.833858847618103,4096,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0436426475644111,0.0447912067174911,0.0554903149604797,,,,,6.0
m-brick-kiln,linear,accuracy,0.8738738738738738,0.8518268465995789,0.8929179310798645,4096,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0214094892144203,0.0394129082560539,0.1564835906028747,0.0450929217040538,0.0504258759319782,0.1442272663116455,0.6191706224861223,15.0
m-forestnet,knn5,accuracy,0.3272910372608257,0.3000755310058594,0.3494461178779602,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.366365909576416,0.3850136697292328,0.4781270921230316,,,,,6.0
m-forestnet,linear,accuracy,0.4904330312185297,0.4652316272258758,0.519662618637085,4096,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0701344758272171,0.0899325087666511,0.188780277967453,0.1676142811775207,0.1917333304882049,0.2958404123783111,0.5492852131620881,15.0
treesatai,knn5,micro_mAP,0.361384346833726,0.3483935892581939,0.3732669949531555,4096,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,15,,-6,4,40,True,200,,,,,,,0.0737866092473268,0.0939919203519821,0.4396738350391388,,,,,6.0
treesatai,linear,micro_mAP,0.5364963218567655,0.5192716717720032,0.55176842212677,4096,1.4251026703029963,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,15,,-6,4,40,True,200,,,,,,,0.0237857515147576,0.034427960216999,0.25714471253256,0.0317036408310135,0.0395111329853534,0.2601404275745153,0.8272816032672371,15.0
m-pv4ger,knn5,accuracy,0.953953953953954,0.9379379153251648,0.9649900197982788,4096,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0230230297893285,0.0334400534629821,0.0969071388244628,,,,,6.0
m-pv4ger,linear,accuracy,0.955955955955956,0.9429178833961488,0.9679930210113524,4096,2.5719138090593416,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0117186577990651,0.0289419963955879,0.240657091140747,0.0125424265861511,0.0318237170577049,0.241180419921875,1.059357592490964,15.0
eurosat-spatial,knn5,accuracy,0.6222222222222222,0.6096203923225403,0.6379721760749817,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0504776090383529,0.0640610456466674,0.2159998267889022,,,,,6.0
eurosat-spatial,linear,accuracy,0.825925925925926,0.8157361149787903,0.8374074101448059,4096,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0221869405359029,0.0298435017466545,0.0824492573738098,0.0869022831320762,0.1084833145141601,0.2330065369606018,0.4956122383516607,15.0
benv2,knn5,micro_mAP,0.5159613231230062,0.50666344165802,0.5258830189704895,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0537237574003244,0.0693331890200313,0.3067846592319639,,,,,6.0
benv2,linear,micro_mAP,0.6914093789799051,0.6830967664718628,0.6999028921127319,4096,2.5719138090593416,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0205607959253125,0.0333963799057528,0.2302231707941054,0.0233450593108213,0.0356832608261978,0.2557393517222647,0.8744782484466724,15.0
eurosat-spatial,knn5,accuracy,0.7083333333333334,0.695731520652771,0.7194675803184509,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0529306158423423,0.058493785560131,0.1818180680274963,,,,,6.0
eurosat-spatial,linear,accuracy,0.8557407407407407,0.8457176089286804,0.8663148283958435,4096,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0326067395508289,0.0438950695097446,0.1426318287849426,0.0754120722413063,0.0928535461425781,0.2222023606300354,0.4577125659082763,15.0
forestnet,knn5,accuracy,0.3313192346424974,0.3020896315574646,0.3585347533226013,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3556913137435913,0.3613680601119995,0.4109235405921936,,,,,6.0
forestnet,linear,accuracy,0.4904330312185297,0.4602215588092804,0.5237160325050354,4096,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.072016142308712,0.0809377506375312,0.1602534651756286,0.1450030952692031,0.161055713891983,0.2405423521995544,0.5498805980803142,15.0
m-brick-kiln,knn5,accuracy,0.8488488488488488,0.8288288116455078,0.8678678870201111,4096,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0482475012540817,0.0495867021381855,0.0642330050468444,,,,,6.0
