dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3675730110775428,0.3413645327091217,0.394788533449173,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.332529067993164,0.3445667028427124,0.4460501372814178,,,,,6.0
forestnet,linear,accuracy,0.5025176233635448,0.4733131825923919,0.537789523601532,512,0.2424462017082325,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0492526367306709,0.0645954757928848,0.1761835813522339,0.1147194281220436,0.1311849653720855,0.2473093867301941,0.7659104335067057,15.0
eurosat-spatial,knn5,accuracy,0.8809259259259259,0.8712962865829468,0.889629602432251,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0232599340379238,0.0237370915710926,0.0499999970197677,,,,,6.0
eurosat-spatial,linear,accuracy,0.9368518518518518,0.9309212565422058,0.944819450378418,512,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0095997396856546,0.0202773362398147,0.1729018241167068,0.0348717235028743,0.0563532151281833,0.3702806234359741,0.5814737977132315,15.0
m-eurosat,knn5,accuracy,0.865,0.8439750075340271,0.8850249648094177,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0219995565712451,0.0253430772572755,0.0496116280555725,,,,,6.0
m-eurosat,linear,accuracy,0.943,0.9299499988555908,0.955049991607666,512,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0227692108601331,0.0506789796054363,0.3707591593265533,0.0483469553291797,0.0885905995965004,0.5195575952529907,0.21077580210684,15.0
m-bigearthnet,knn5,micro_mAP,0.4910547181879618,0.4740177392959595,0.5094618797302246,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0389302416358056,0.0561812059563952,0.2997962271058282,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6188958372550711,0.6015644073486328,0.6353854537010193,512,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0198262954390672,0.0506886595123729,0.474422812461853,0.0217325381371517,0.0535694218219019,0.4850930141848187,0.9433807562551634,15.0
m-brick-kiln,knn5,accuracy,0.8728728728728729,0.8528528809547424,0.8938938975334167,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0270267259329557,0.0271710064262151,0.0307673215866088,,,,,6.0
m-brick-kiln,linear,accuracy,0.9039039039039038,0.8858858942985535,0.9189189076423644,512,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0161784365773201,0.034761969000101,0.1641594469547271,0.0268926881253719,0.0547635555267334,0.2322010695934295,0.7847003053437225,15.0
