dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8066666666666666,0.795921266078949,0.8172222375869751,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0431094020605087,0.0451227724552154,0.0857142806053161,,,,,6.0
eurosat-spatial,linear,accuracy,0.920925925925926,0.9131342768669128,0.9296388626098632,2048,27.28333376486764,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.025638572871685,0.0368470847606658,0.2929556667804718,0.0685219019651413,0.1169651299715042,0.6499813795089722,0.1987894454294135,15.0
forestnet,knn5,accuracy,0.3796576032225579,0.34841388463974,0.4088872075080871,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3170204758644104,0.3324579298496246,0.4236182272434234,,,,,6.0
forestnet,linear,accuracy,0.5287009063444109,0.4964501559734344,0.5639476180076599,2048,0.0412462638290134,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0859107002615928,0.1014839187264442,0.1819903254508972,0.0547729879617691,0.0647014379501342,0.1920020580291748,0.7171224021149548,15.0
m-brick-kiln,knn5,accuracy,0.8828828828828829,0.8618618845939636,0.898923933506012,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0338336527347564,0.0378501564264297,0.0648631453514099,,,,,6.0
m-brick-kiln,linear,accuracy,0.927927927927928,0.913913905620575,0.94296795129776,2048,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0261879079043865,0.0511255785822868,0.204610526561737,0.0246150232851505,0.0463864207267761,0.2548239231109619,0.6931753976375366,15.0
m-eurosat,knn5,accuracy,0.788,0.7620000243186951,0.8121500015258789,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.034399501979351,0.0396336950361728,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.925,0.9089750051498412,0.939050018787384,2048,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0185402352362871,0.0451675206422805,0.4328762292861938,0.0742031261324882,0.115406684577465,0.6909599900245667,0.0334763910627584,15.0
m-pv4ger,knn5,accuracy,0.947947947947948,0.9339088797569276,0.962988018989563,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0294294077903032,0.0303167719393968,0.0315904021263122,,,,,6.0
m-pv4ger,linear,accuracy,0.961961961961962,0.948923885822296,0.972998023033142,2048,10000.0,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0373332761228084,0.0858887732028961,0.558505654335022,0.0373404249548912,0.0859081223607063,0.5587789416313171,0.9952997717505035,15.0
m-forestnet,knn5,accuracy,0.3454179254783484,0.3201913237571716,0.3746978640556335,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3623376190662384,0.3757371604442596,0.4805575907230377,,,,,6.0
m-forestnet,linear,accuracy,0.5347432024169184,0.5095418095588684,0.5659868717193604,2048,0.2424462017082325,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0436217337846756,0.0574907884001731,0.177262008190155,0.1315829157829284,0.1353674829006195,0.215152621269226,0.6870559902989999,15.0
m-bigearthnet,knn5,micro_mAP,0.4682729820292594,0.4503921866416931,0.4857779145240783,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0397255932479057,0.0579723237125679,0.3308179920842481,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6104969225412592,0.5935230255126953,0.6250361204147339,2048,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0198904364044929,0.0527950542610745,0.5021364321542341,0.0244664965998814,0.0583623946146216,0.535870871918146,0.8710818092098984,15.0
m-so2sat,knn5,accuracy,0.3823529411764705,0.3468306362628937,0.4118154346942901,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,0.2316439151763916,0.2418801188468933,0.315790981054306,,,,,6.0
m-so2sat,linear,accuracy,0.5851926977687627,0.5526875853538513,0.6115872263908386,2048,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,0.0371486209332942,0.0480990819633007,0.2020147442817688,0.0951085239648819,0.1128320842981338,0.5629610419273376,0.7380544220184547,15.0
so2sat,knn5,accuracy,0.3823529411764705,0.3569979667663574,0.4128296375274658,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,0.2316439151763916,0.2418801188468933,0.315790981054306,,,,,6.0
so2sat,linear,accuracy,0.5851926977687627,0.5598123669624329,0.6197261810302734,2048,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,,-6,4,40,True,200,,,,,,,0.0360848568379879,0.0475593246519565,0.2018407434225082,0.0932436883449554,0.1064796969294548,0.4834080934524536,0.7391780802003455,15.0
forestnet,knn5,accuracy,0.3796576032225579,0.34841388463974,0.40888720750808716,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,12,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.31681904196739197,0.3327012062072754,0.42361822724342346,,,,,6.0
forestnet,linear,accuracy,0.553877139979859,0.5256797671318054,0.5830815434455872,2048,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,12,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.04671677201986313,0.060734279453754425,0.18847768008708954,0.10480865091085434,0.1141941174864769,0.19965338706970215,0.6990823782710797,15.0
m-eurosat,knn5,accuracy,0.788,0.7620000243186951,0.8121500015258789,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.03499947488307953,0.040230073034763336,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.922,0.9059500098228455,0.93607497215271,2048,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.030270598828792572,0.04722712188959122,0.26158568263053894,0.0644160658121109,0.11428671330213547,0.5477383732795715,0.20134574554901055,15
eurosat-spatial,knn5,accuracy,0.807037037037037,0.7966527938842773,0.8174074292182922,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.04329458624124527,0.045173902064561844,0.08571428060531616,,,,,6
eurosat-spatial,linear,accuracy,0.9216666666666666,0.9135138988494873,0.9303796291351318,2048,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,10,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.018437620252370834,0.02758612483739853,0.17163217067718506,0.0637940764427185,0.10864999145269394,0.5368047952651978,0.2524321120403118,15
m-forestnet,knn5,accuracy,0.34541792547834843,0.32019132375717163,0.37469786405563354,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,12,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.3623376190662384,0.37573713064193726,0.4805575907230377,,,,,6
m-forestnet,linear,accuracy,0.5377643504531722,0.5115559101104736,0.5679758191108704,2048,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,12,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.045583032071590424,0.061586715281009674,0.1819600611925125,0.13227270543575287,0.13463839888572693,0.1878911256790161,0.6877056121492271,15
m-brick-kiln,knn5,accuracy,0.8838838838838838,0.8618618845939636,0.8999249339103699,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,2,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.03483464568853378,0.0387474000453949,0.06486314535140991,,,,,6
m-brick-kiln,linear,accuracy,0.9279279279279279,0.913913905620575,0.94296795129776,2048,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,2,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.02699691243469715,0.05353124067187309,0.205996572971344,0.024634158238768578,0.0474713072180748,0.25969386100769043,0.6935673141703311,15
m-pv4ger,knn5,accuracy,0.9479479479479479,0.9339088797569275,0.962988018989563,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,2,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.02942940779030323,0.030316771939396858,0.031590402126312256,,,,,6
m-pv4ger,linear,accuracy,0.9619619619619619,0.9489238858222961,0.9730230569839478,2048,10000.0,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,2,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.03730892390012741,0.08903849124908447,0.7758610844612122,0.03731808811426163,0.08711069077253342,0.7769064903259277,0.9951744345672697,15
m-bigearthnet,knn5,micro_mAP,0.46829092823986684,0.450408011674881,0.4858345091342926,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,43,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.03967908100593229,0.0580199736408716,0.3385765448559162,,,,,6
m-bigearthnet,linear,micro_mAP,0.6105146586629042,0.5935330390930176,0.6250839233398438,2048,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,all,43,30de6c63eed96766,-6,4,40,True,200,,,,,,,0.019793353855696527,0.052528996453728785,0.4892799376055252,0.024561933111832586,0.058338534433481304,0.5256187888078911,0.8712012022735791,15
m-so2sat,knn5,accuracy,0.38235294117647056,0.3468306362628937,0.41181543469429016,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.23144111037254333,0.24171103537082672,0.3183261752128601,,,,,6
m-so2sat,linear,accuracy,0.5851926977687627,0.5526875853538513,0.6115872263908386,2048,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.03626628592610359,0.04822152107954025,0.20204699039459229,0.09528225660324097,0.11237235367298126,0.5628944635391235,0.7382867482185121,15
so2sat,knn5,accuracy,0.38235294117647056,0.3569979667663574,0.4128296375274658,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.23144111037254333,0.24171103537082672,0.3183261752128601,,,,,6
so2sat,linear,accuracy,0.5882352941176471,0.5618153810501099,0.6227433681488037,2048,1.4251026703029963,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,17,9e7622adcf5d55a8,-6,4,40,True,200,,,,,,,0.031602274626493454,0.0477762371301651,0.156316339969635,0.11341807246208191,0.12491782009601593,0.8042713403701782,0.7235567688956659,15
benv2,knn5,micro_mAP,0.6240443421247205,0.6144126057624817,0.6320872902870178,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,19,dec95a96c07a1c87,-6,4,40,True,200,,,,,,,0.04754488365602141,0.06082778164234601,0.2424894806585814,,,,,6
cloudsen12,seg-linear,mIoU,0.5797382593154907,0.5659158995651785,0.5921471637394542,3840,,0.001,16,4000,535,975,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,4,16b2229f2b524931,-6,4,40,False,200,,,0.7144806385040283,0.7436965703964233,0.6906411647796631,0.7114755511283875,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.5968660116195679,0.5837514591706082,0.6095352412405407,3840,,0.001,16,4000,535,975,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,4,b3088ae6253f0df9,-6,4,40,False,200,,,0.7290657758712769,0.7548985481262207,0.7069950103759766,0.72606360912323,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.6088095903396606,0.5944254867964529,0.6225165888688141,3840,,0.001,16,4000,535,975,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,4,a821b27256d245d7,-6,4,40,False,200,,,0.7367435693740845,0.7611860632896423,0.7189822793006897,0.7370660901069641,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6126456260681152,0.5985871888527117,0.625787756131522,3840,,0.001,16,4000,535,975,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,bandspec_zscore,224,bilinear,default,rgb,4,94d0f21d4a81c5a3,-6,4,40,False,200,,,0.7409042119979858,0.7544718980789185,0.7284375429153442,0.7400726079940796,,,,,,,,
