dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5279644619932217,0.5092079043388367,0.5428953766822815,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0357209328280458,0.0532476850243848,0.2898437394652255,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6598088953763794,0.6444203853607178,0.6754575371742249,2048,8.376776400682907,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0208681193072088,0.0530323261871587,0.4589478470558344,0.0254984374461305,0.0574007634246765,0.4879846025344937,0.8692181298579011,15.0
forestnet,knn5,accuracy,0.3615307150050352,0.3323011100292206,0.3937563002109527,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3528710007667541,0.3656845092773437,0.4331374168395996,,,,,6.0
forestnet,linear,accuracy,0.4874118831822759,0.4581822752952575,0.51865553855896,2048,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0679486989974975,0.0758763328194618,0.2004426717758178,0.101227268576622,0.1082673445343971,0.1853781938552856,0.7501949992562805,15.0
m-eurosat,knn5,accuracy,0.887,0.865975022315979,0.9060500264167786,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0363998785614967,0.0413865484297275,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.952,0.9399999976158142,0.9649999737739564,2048,160.37187437513276,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0240147970616817,0.0626743286848068,0.7211629748344421,0.0294028352946043,0.053158700466156,0.5490701198577881,0.4180475144349345,15.0
m-forestnet,knn5,accuracy,0.3947633434038268,0.3685548901557922,0.4279959797859192,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3158120214939117,0.338112473487854,0.4604497253894806,,,,,6.0
m-forestnet,linear,accuracy,0.4632426988922457,0.4350201487541199,0.4985146224498749,2048,15.1177507061566,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.1337011158466339,0.1472922414541244,0.2165517508983612,0.2803689539432525,0.2913804054260254,0.3935957849025726,0.5811569489151193,15.0
m-brick-kiln,knn5,accuracy,0.8678678678678678,0.844794750213623,0.8868868947029114,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0218212231993675,0.0228033494204282,0.0268380045890808,,,,,6.0
m-brick-kiln,linear,accuracy,0.921921921921922,0.9079079031944276,0.9369619488716124,2048,522.3345074266832,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0190217513591051,0.0375168696045875,0.2611052393913269,0.0265619680285453,0.0522071793675422,0.3415294885635376,0.8213266102417441,15.0
m-pv4ger,knn5,accuracy,0.9409409409409408,0.9248998761177064,0.9579830169677734,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0366366952657699,0.0440515726804733,0.1500002741813659,,,,,6.0
m-pv4ger,linear,accuracy,0.950950950950951,0.9379128813743592,0.965965986251831,2048,27.28333376486764,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0242296010255813,0.0548860505223274,0.2262775003910064,0.0190189555287361,0.0461396388709545,0.194212794303894,1.1990456014677315,15.0
