dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5880002526689063,0.5695714950561523,0.6033057570457458,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0306093039229338,0.0493351521706858,0.2530618992655776,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7063661279068265,0.6905706524848938,0.7210408449172974,2048,8.376776400682907,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0184226134185527,0.04969212074959,0.444137948890065,0.0224581591481732,0.0539430814773537,0.4769633148991784,0.8590677675363069,15.0
benv2,knn5,micro_mAP,0.6876032247965205,0.6783589124679565,0.6953040957450867,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0387316728194587,0.0526910908520221,0.2157837721078019,,,,,6.0
benv2,linear,micro_mAP,0.8181852087852168,0.8115256428718567,0.8247063159942627,2048,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0143937366818519,0.0315562364596285,0.2889280664293389,0.016793209042302,0.0347013409788671,0.3125681077179156,0.9066961578691308,15.0
forestnet,knn5,accuracy,0.4088620342396777,0.382678747177124,0.4400805532932281,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3210484981536865,0.3318305909633636,0.4176490306854248,,,,,6.0
forestnet,linear,accuracy,0.5649546827794562,0.5347180366516113,0.5932275652885437,2048,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0520295277237892,0.0654754042625427,0.1338531970977783,0.0623242817819118,0.0682150572538375,0.1085822582244873,0.7526169480643694,15.0
m-eurosat,knn5,accuracy,0.938,0.9209750294685364,0.9520000219345092,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0325998812913894,0.0474586077034473,0.1384615004062652,,,,,6.0
m-eurosat,linear,accuracy,0.956,0.9419749975204468,0.968999981880188,2048,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0191685128957033,0.0395786575973033,0.3772284090518951,0.0330171734094619,0.0664779990911483,0.4908338785171509,0.3320934799224662,15.0
m-brick-kiln,knn5,accuracy,0.8708708708708709,0.8477977514266968,0.8918918967247009,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0322319865226745,0.0354636386036872,0.0589725375175476,,,,,6.0
m-brick-kiln,linear,accuracy,0.923923923923924,0.9089089035987854,0.9389389157295228,2048,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0180966183543205,0.0459061078727245,0.1973303258419037,0.0344104506075382,0.0592679642140865,0.309122085571289,0.6856822768101339,15.0
m-forestnet,knn5,accuracy,0.3897280966767371,0.3554632365703583,0.4169687926769256,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3454190194606781,0.3579562306404114,0.4521760046482086,,,,,6.0
m-forestnet,linear,accuracy,0.553877139979859,0.5275931358337402,0.5841137766838074,2048,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0482623167335987,0.0601446516811847,0.1833031475543975,0.1342054158449173,0.1472079008817672,0.2443000078201294,0.7246982123098267,15.0
treesatai,knn5,micro_mAP,0.4283205641492694,0.4137476682662964,0.4428196847438812,2048,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,15,,-6,4,40,True,200,,,,,,,0.0669466506689786,0.0877932738512754,0.4507781436045964,,,,,6.0
treesatai,linear,micro_mAP,0.5971962718088608,0.5820690393447876,0.6102908253669739,2048,8.376776400682907,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,15,,-6,4,40,True,200,,,,,,,0.0204979763909553,0.0360367878961066,0.3640335087974866,0.0263406150974333,0.0375846656039357,0.3597205380598704,0.8814406777778163,15.0
m-pv4ger,knn5,accuracy,0.953953953953954,0.9418668150901794,0.9669920206069946,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.022422406822443,0.0313146039843559,0.133333534002304,,,,,6.0
m-pv4ger,linear,accuracy,0.960960960960961,0.9489489197731018,0.9739739894866944,2048,8.376776400682907,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0181224402040243,0.0418267138302326,0.3404771089553833,0.0114292195066809,0.0312461499124765,0.2845982611179352,1.1719929938524638,15.0
benv2,knn5,micro_mAP,0.5864197881433122,0.5751069784164429,0.5968204736709595,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0487711392036688,0.0650603621707935,0.2790630342144715,,,,,6.0
benv2,linear,micro_mAP,0.7252917862836858,0.7169889807701111,0.7331677675247192,2048,15.1177507061566,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0172776940958819,0.032997166884965,0.2909660896188334,0.0190263213298749,0.0339995103545094,0.2690466987459283,0.907398729047367,15.0
eurosat-spatial,knn5,accuracy,0.6975925925925925,0.6842314600944519,0.7098194360733032,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.112108789384365,0.1246855929493904,0.4521739482879638,,,,,6.0
eurosat-spatial,linear,accuracy,0.8544444444444445,0.8436805605888367,0.8639166355133057,2048,160.37187437513276,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0327610373497009,0.0415369644761085,0.7390099763870239,0.0797003880143165,0.0967891067266464,0.2467285990715026,0.654372522939743,15.0
eurosat-spatial,knn5,accuracy,0.7081481481481482,0.6964768171310425,0.7190787196159363,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0879601538181305,0.0925663858652114,0.5499999523162842,,,,,6.0
eurosat-spatial,linear,accuracy,0.8487037037037037,0.8405370116233826,0.8587222695350647,2048,88.86238162743389,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0410809628665447,0.0495657846331596,0.2458576709032058,0.0953124389052391,0.1123191565275192,0.2985003590583801,0.5521152546851703,15.0
forestnet,knn5,accuracy,0.2910372608257804,0.2608257830142975,0.3172457218170166,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3587125241756439,0.3796645998954773,0.5083333253860474,,,,,6.0
forestnet,linear,accuracy,0.4521651560926485,0.4198136925697326,0.4834088683128357,2048,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0530138611793518,0.0613597556948661,0.1291486024856567,0.0722950547933578,0.0914318487048149,0.2034011781215667,0.7846266204181095,15.0
m-bigearthnet,knn5,micro_mAP,0.394891050559262,0.3764899671077728,0.4157294929027557,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0467814040305309,0.064777597784996,0.3322957695223564,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.5747356189995628,0.5575879216194153,0.5898910164833069,2048,27.28333376486764,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0203168174078644,0.0517391799407642,0.4578802828178849,0.0230382731357632,0.0546381292474824,0.4823202941306801,0.9116530605720616,15.0
m-bigearthnet,knn5,micro_mAP,0.3842634326467757,0.3658609390258789,0.401015967130661,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.047479091558692,0.0654217675761428,0.3715459534595179,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.5393656179907315,0.5218615531921387,0.5580059885978699,2048,27.28333376486764,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0205226657955452,0.0519394112187762,0.5212362373984137,0.0231865490895024,0.0538064410346885,0.5365211443845616,0.90771262973487,15.0
m-brick-kiln,knn5,accuracy,0.8198198198198198,0.8007757663726807,0.8409159183502197,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0222226567566394,0.0232596062123775,0.0290827751159667,,,,,6.0
m-brick-kiln,linear,accuracy,0.8898898898898899,0.8708708882331848,0.9059309363365172,2048,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0241643637418746,0.0464744232594966,0.159669280052185,0.0269158333539962,0.0372434519231319,0.0971608161926269,0.7837785169641458,15.0
m-eurosat,knn5,accuracy,0.762,0.7359750270843506,0.7870000004768372,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.036199502646923,0.0368414372205734,0.0425527691841125,,,,,6.0
m-eurosat,linear,accuracy,0.87,0.8479499816894531,0.8880500197410583,2048,942.6684551178854,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0595944225788116,0.0771250873804092,0.18912935256958,0.1050819307565689,0.1443854868412017,0.4902984499931335,0.4313299586309463,15.0
m-brick-kiln,knn5,accuracy,0.8018018018018018,0.7777527570724487,0.8218468427658081,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0210218876600265,0.0221660360693931,0.0277600288391113,,,,,6.0
m-brick-kiln,linear,accuracy,0.8688688688688688,0.8518518805503845,0.8859109282493591,2048,160.37187437513276,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0196215361356735,0.0301000010222196,0.0793303847312927,0.0299157239496707,0.0436423383653163,0.1093491911888122,0.8880642904694479,15.0
m-eurosat,knn5,accuracy,0.728,0.6969250440597534,0.7540000081062317,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0269996672868728,0.0341521799564361,0.0562130212783813,,,,,6.0
m-eurosat,linear,accuracy,0.857,0.832925021648407,0.8780249953269958,2048,289.426612471674,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.031151745468378,0.0468454286456108,0.3777250051498413,0.0737709775567054,0.0903675407171249,0.2982161045074463,0.5997183639901164,15.0
m-forestnet,knn5,accuracy,0.2799597180261833,0.2557905316352844,0.3051611483097076,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3774435520172119,0.4004290103912353,0.5639097690582275,,,,,6.0
