dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5076887733641604,0.4970279335975647,0.5179509520530701,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.06137105078117824,0.08010404130541965,0.3214176650110044,,,,,6
m-so2sat,knn5,accuracy,0.2525354969574036,0.22718052566051483,0.27893003821372986,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,17,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.34077146649360657,0.37106043100357056,0.5798319578170776,,,,,6
m-so2sat,linear,accuracy,0.38843813387423937,0.3590010106563568,0.4189148247241974,2048,1701.2542798525858,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,17,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.3785250782966614,0.3941194713115692,0.575133204460144,,,,,15
so2sat,knn5,accuracy,0.2525354969574036,0.22718052566051483,0.27994421124458313,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,17,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.34097427129745483,0.371305912733078,0.5798319578170776,,,,,6
so2sat,linear,accuracy,0.4127789046653144,0.38435596227645874,0.4482758641242981,2048,0.0744380301325168,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,17,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.1402643322944641,0.15723027288913727,0.23645693063735962,,,,,15
m-bigearthnet,knn5,micro_mAP,0.34589452923136776,0.33055898547172546,0.3628363311290741,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,43,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.053432578740771425,0.07108421229519123,0.3794883408172186,,,,,6
m-bigearthnet,linear,micro_mAP,0.375754243700511,0.35791102051734924,0.3975149095058441,2048,1701.2542798525858,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,43,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.03777302485392537,0.08347667372503946,0.8419198532437169,,,,,15
benv2,linear,micro_mAP,0.606662823721076,0.5956106781959534,0.6171929836273193,2048,0.002154434690031882,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,f5fa25341c7c9ea9,-6,4,40,True,200,,,,,,,0.02592899753270965,0.04625984746962786,0.6071429652603049,,,,,15
m-eurosat,knn5,accuracy,0.643,0.6109750270843506,0.6729999780654907,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,8fb24b9bc241c5d4,-6,4,40,True,200,,,,,,,0.07660050690174103,0.08576101809740067,0.20000003278255463,,,,,6
m-eurosat,linear,accuracy,0.778,0.7519999742507935,0.8040249943733215,2048,0.13433993325988988,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,8fb24b9bc241c5d4,-6,4,40,True,200,,,,,,,0.08351387083530426,0.10019628703594208,0.3199999928474426,,,,,15
