dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.4128902316213494,0.3836857974529266,0.4481621384620666,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.2809680700302124,0.2950184941291809,0.3596726357936859,,,,,6.0
forestnet,linear,accuracy,0.5589123867069486,0.5296828150749207,0.5861278772354126,1024,0.2424462017082325,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0454057343304157,0.0626476034522056,0.1929905265569687,0.1089493557810783,0.1314043551683426,0.2862725853919983,0.7665867556289976,15.0
benv2,knn5,micro_mAP,0.6602179147847475,0.6522029042243958,0.6688101291656494,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0419000718914168,0.0557017847405452,0.2454764976313239,,,,,6.0
benv2,linear,micro_mAP,0.8009954260989149,0.793516993522644,0.8070603609085083,1024,0.7896522868499717,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0157170675106738,0.0310477308904458,0.2214367428892537,0.0161240919375191,0.0317230422699235,0.234633215948155,0.93228520054254,15.0
m-eurosat,knn5,accuracy,0.854,0.8339999914169312,0.8750249743461609,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0301997922360897,0.0322661139070987,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.956,0.943975031375885,0.968999981880188,1024,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0264713559299707,0.0427083373069763,0.1954600214958191,0.0320912636816501,0.0608638636767864,0.444006472826004,0.3621325297215527,15.0
m-bigearthnet,knn5,micro_mAP,0.5524563003676142,0.536028265953064,0.5712088942527771,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0333069931759044,0.0502580281693574,0.2651412798914798,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6805397593890361,0.6654978394508362,0.6952930092811584,1024,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0196407494286811,0.0495943693054276,0.4425704545059869,0.0221381041242979,0.0537975385438564,0.5053424450547196,0.8806584880203722,15.0
m-brick-kiln,knn5,accuracy,0.918918918918919,0.9008758664131165,0.9349599480628968,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0334333181381225,0.0433216951787471,0.0941163301467895,,,,,6.0
m-brick-kiln,linear,accuracy,0.9669669669669668,0.955955982208252,0.976976990699768,1024,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0160344690084457,0.0354717001318931,0.17912158370018,0.0151232201606035,0.0296430960297584,0.1863820552825927,0.8773391713468958,15.0
