dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.4128902316213494,0.3766364455223083,0.4451661705970764,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3015117943286896,0.3177858293056488,0.3959183692932129,,,,,6.0
forestnet,linear,accuracy,0.5589123867069486,0.5256797671318054,0.5951661467552185,1024,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0542603880167007,0.0678727328777313,0.1391460299491882,0.1383659094572067,0.151110753417015,0.242636889219284,0.75035159917177,15.0
benv2,knn5,micro_mAP,0.6665469856253696,0.6578086614608765,0.6757069230079651,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0409000070189665,0.054973284566873,0.2292935777651636,,,,,6.0
benv2,linear,micro_mAP,0.7933466197043503,0.7859426140785217,0.7994498610496521,1024,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.016344989953244,0.0339434311087978,0.2733021229505539,0.0171618180450566,0.035137423461205,0.2867000863740319,0.9779573652811632,15.0
m-eurosat,knn5,accuracy,0.869,0.843999981880188,0.8920249938964844,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0341996625065803,0.0444585680961608,0.1090907156467437,,,,,6.0
m-eurosat,linear,accuracy,0.954,0.9419749975204468,0.9660000205039978,1024,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0154007924720644,0.0381785817444324,0.5540544986724854,0.0356516614556312,0.066070981323719,0.4859894812107086,0.3040376727249073,15.0
m-brick-kiln,knn5,accuracy,0.927927927927928,0.9128628373146056,0.9419419169425964,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0332331135869026,0.0412982292473316,0.0765419602394104,,,,,6.0
m-brick-kiln,linear,accuracy,0.963963963963964,0.9509509801864624,0.9739739894866944,1024,1701.2542798525858,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0128860874101519,0.037634864449501,0.236415684223175,0.0113297495990991,0.0324296429753303,0.233853280544281,0.954660378435884,15.0
m-forestnet,knn5,accuracy,0.3997985901309164,0.3735649287700653,0.4270141124725342,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3119850158691406,0.3270663022994995,0.4135020971298218,,,,,6.0
m-forestnet,linear,accuracy,0.5689828801611279,0.5367572903633118,0.5992195010185242,1024,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.064153753221035,0.074987456202507,0.1379818320274353,0.1350288242101669,0.1433619409799575,0.219482421875,0.7470755431982283,15.0
m-pv4ger,knn5,accuracy,0.955955955955956,0.9429429173469543,0.9689940214157104,1024,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.023223279044032,0.0234168246388435,0.0333338379859924,,,,,6.0
m-pv4ger,linear,accuracy,0.96996996996997,0.9609609842300416,0.9819819927215576,1024,1.4251026703029963,,,11814,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0129231251776218,0.0280733499675989,0.1393014192581176,0.0112606678158044,0.0327698700129985,0.260339081287384,1.1342361547414657,15.0
m-bigearthnet,knn5,micro_mAP,0.5745518479041648,0.5576230883598328,0.5921519994735718,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0316651101159148,0.0496110072316125,0.2779321317062821,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6830393664357954,0.6665186882019043,0.6988884210586548,1024,160.37187437513276,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0185108230297648,0.0489886532169441,0.4185616748277531,0.0204378095195563,0.0527261080177024,0.4658984441396802,0.9180673817775494,15.0
treesatai,knn5,micro_mAP,0.4321938744212941,0.4167883396148681,0.4479061663150787,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,15,,-6,4,40,True,200,,,,,,,0.0672866833085815,0.0878912915786107,0.5092538456122081,,,,,6.0
treesatai,linear,micro_mAP,0.6223343897277797,0.6077220439910889,0.6385441422462463,1024,1.4251026703029963,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,model_native,224,bilinear,default,rgb,15,,-6,4,40,True,200,,,,,,,0.024807140774404,0.0401981846118966,0.2883347332477569,0.0294171282245467,0.0433209534734487,0.3534992029269536,0.8775867549541987,15.0
benv2,knn5,micro_mAP,0.6041470596313597,0.5951003432273865,0.6123337149620056,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0474474984956415,0.0616431927896643,0.2463502250611782,,,,,6.0
benv2,linear,micro_mAP,0.7291487962389855,0.721340000629425,0.7366777658462524,1024,160.37187437513276,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0174902002311826,0.0314054978325178,0.2820625587513572,0.0174423866847064,0.0314773103761437,0.2794982602721766,0.9899890113902184,15.0
eurosat-spatial,knn5,accuracy,0.5264814814814814,0.512768566608429,0.5385185480117798,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.2328847348690033,0.2449981868267059,0.3483791351318359,,,,,6.0
eurosat-spatial,linear,accuracy,0.8248148148148148,0.8125879168510437,0.8370370268821716,1024,3070.290629757837,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0558654479682445,0.0702539086341857,0.2493615597486496,0.0662520974874496,0.0806903913617134,0.2564158141613006,0.913625814305341,15.0
eurosat-spatial,knn5,accuracy,0.6248148148148148,0.6114398241043091,0.6372222304344177,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow_cls,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.1763303726911544,0.1807605922222137,0.4666666388511657,,,,,6.0
