dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3655589123867069,0.3343152105808258,0.3967774510383606,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.2920456230640411,0.3123969137668609,0.4331210255622864,,,,,6.0
forestnet,linear,accuracy,0.5206445115810675,0.4883434176445007,0.5498992800712585,1024,0.1343399332598898,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0521969124674797,0.0670149028301239,0.1401637494564056,0.1080392524600029,0.1246455460786819,0.8042800426483154,0.8203721537234155,15.0
eurosat-spatial,knn5,accuracy,0.5725925925925925,0.5605416893959045,0.5855647921562195,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.1932187527418136,0.2022574245929718,0.2771100997924804,,,,,6.0
eurosat-spatial,linear,accuracy,0.8381481481481482,0.8273749947547913,0.849449098110199,1024,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0763076543807983,0.087663821876049,0.2341476678848266,0.0766969323158264,0.0881025120615959,0.23438560962677,0.9959225180727592,15.0
m-brick-kiln,knn5,accuracy,0.8348348348348348,0.8128128051757812,0.8559309840202332,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0346351750195026,0.0372644774615764,0.0467836260795593,,,,,6.0
m-brick-kiln,linear,accuracy,0.8958958958958959,0.8778528571128845,0.9129379391670228,1024,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0291672609746456,0.0454525910317897,0.0966808795928955,0.0202978048473596,0.0286106579005718,0.0961024761199951,0.8799719588616105,15.0
m-eurosat,knn5,accuracy,0.696,0.6689250469207764,0.7230249643325806,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0404005199670791,0.0475493855774402,0.2000000178813934,,,,,6.0
m-eurosat,linear,accuracy,0.862,0.8370000123977661,0.8840000033378601,1024,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.020352678373456,0.0337535515427589,0.2513372302055359,0.0822328925132751,0.1071364283561706,0.3193874955177307,0.4735073213586956,15.0
m-bigearthnet,knn5,micro_mAP,0.4073552928740099,0.3915083408355713,0.4274373054504394,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0456837320830239,0.0623631454830945,0.3266216209808061,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.5856000978079463,0.5714457631111145,0.6023821234703064,1024,289.426612471674,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0216024936674985,0.0532557149525991,0.5301200754420702,0.0217402275478424,0.053730891930849,0.5336282208215358,0.9683363016457908,15.0
