dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.6801851851851852,0.6683241128921509,0.6940833330154419,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.1427386254072189,0.1464282423257827,0.2017432451248169,,,,,6.0
eurosat-spatial,linear,accuracy,0.8255555555555556,0.8168426156044006,0.8359259366989136,768,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.1093930378556251,0.1168466731905937,0.2316044569015503,0.1447265893220901,0.1575363725423813,0.3468149602413177,0.4920978563360054,15.0
benv2,knn5,micro_mAP,0.5853725819756148,0.5756697654724121,0.5938457250595093,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0526526265311986,0.0694455506378098,0.292277612968495,,,,,6.0
benv2,linear,micro_mAP,0.7357404977447437,0.7279248833656311,0.743834376335144,768,0.0070170382867038,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0169897362847175,0.0331005547685842,0.3394536972045898,0.0187078726318615,0.0346335797129493,0.3925828533737283,0.9376319432929492,15.0
eurosat-spatial,knn5,accuracy,0.6275925925925926,0.6138749718666077,0.6418749690055847,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.139070451259613,0.1474855542182922,0.2209389805793762,,,,,6.0
eurosat-spatial,linear,accuracy,0.8192592592592592,0.8092592358589172,0.8298194408416748,768,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0771482214331626,0.0891695320606231,0.236025333404541,0.1170729175209999,0.1338123828172683,0.3203451931476593,0.6305634918445937,15.0
forestnet,knn5,accuracy,0.3051359516616314,0.2759063243865967,0.3293303251266479,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3573024868965149,0.376359224319458,0.4903004765510559,,,,,6.0
forestnet,linear,accuracy,0.48539778449144,0.4511077404022217,0.5166414380073547,768,0.0021544346900318,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0549366287887096,0.0692522749304771,0.1434143781661987,0.0818980783224105,0.1024294719099998,0.1926451921463012,0.7587909484576416,15.0
m-brick-kiln,knn5,accuracy,0.8238238238238238,0.793793797492981,0.8458458185195923,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0304310601204633,0.0339241996407508,0.0404040217399597,,,,,6.0
m-brick-kiln,linear,accuracy,0.9109109109109108,0.8948448300361633,0.9259509444236756,768,0.437547937507418,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0303286854177713,0.0585459694266319,0.2412011623382568,0.0271115098148584,0.0418884344398975,0.1629887819290161,0.795450812975179,15.0
