dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5939521450044414,0.5845587849617004,0.6011015772819519,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0478159032982627,0.0642947890354614,0.3104297910865984,,,,,6.0
benv2,linear,micro_mAP,0.7364809769002786,0.7288344502449036,0.7436544299125671,768,0.0070170382867038,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0170932825176829,0.0316389532710768,0.3093014916307048,0.0176498715759647,0.032818592325049,0.3448224028474406,0.9469281260582562,15.0
eurosat-spatial,knn5,accuracy,0.6816666666666666,0.6683287024497986,0.6927869915962219,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.1204791441559791,0.1242024078965187,0.2999999523162842,,,,,6.0
eurosat-spatial,linear,accuracy,0.8257407407407408,0.8155231475830078,0.8366666436195374,768,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.1036098152399063,0.1098546758294105,0.2404400557279586,0.1397392898797989,0.1552274376153946,0.4446915090084076,0.5347370809991719,15.0
eurosat-spatial,knn5,accuracy,0.6085185185185186,0.5942500233650208,0.6218565106391907,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.159589022397995,0.1752801686525344,0.2818431258201599,,,,,6.0
eurosat-spatial,linear,accuracy,0.7957407407407407,0.7848055958747864,0.8072314858436584,768,0.1343399332598898,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0671674534678459,0.087233729660511,0.2443522214889526,0.1113194972276687,0.1392013132572174,0.3052918314933777,0.6729041450175463,15.0
forestnet,knn5,accuracy,0.3343403826787512,0.3041037321090698,0.3686052560806274,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3035260736942291,0.3309107720851898,0.4784332811832428,,,,,6.0
forestnet,linear,accuracy,0.472306143001007,0.4380412697792053,0.5106244087219238,768,0.0011937766417144,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0437549501657485,0.0500892102718353,0.1908483207225799,0.0778556242585182,0.0891976505517959,0.177572026848793,0.77965433238757,15.0
m-brick-kiln,knn5,accuracy,0.8498498498498499,0.8198198080062866,0.8698698878288269,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0378373079001903,0.0386386848986148,0.0501852631568908,,,,,6.0
m-brick-kiln,linear,accuracy,0.9069069069069068,0.8878878951072693,0.923923909664154,768,0.1343399332598898,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,,-6,4,40,True,200,,,,,,,0.0229696370661258,0.0470368452370166,0.1997981667518615,0.037879042327404,0.0597791038453578,0.2426289319992065,0.7575097323776646,15.0
