dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6467317161202526,0.6383074522018433,0.6551293134689331,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0444738066779743,0.060823269286438,0.3013195222929904,,,,,6.0
benv2,linear,micro_mAP,0.8273327360775348,0.8217074871063232,0.8330968618392944,768,49.238826317067314,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0132479300848085,0.028342428200535,0.2389932290503853,0.0153406369836853,0.0302389244254874,0.2332890167048102,0.9289181749434552,15.0
benv2,knn5,micro_mAP,0.6207819082080399,0.6122458577156067,0.6300703883171082,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0466500472669538,0.062476262891371,0.3382075699536424,,,,,6.0
benv2,linear,micro_mAP,0.7765613214133936,0.7697862386703491,0.7836838960647583,768,160.37187437513276,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0161653377091217,0.0303203371892634,0.2649783335233989,0.0163386753288489,0.0310855995324489,0.2513726094835682,0.9429738267941028,15.0
eurosat-spatial,knn5,accuracy,0.6227777777777778,0.6090185046195984,0.6342917084693909,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.1638857573270797,0.1688398122787475,0.2138640880584716,,,,,6.0
eurosat-spatial,linear,accuracy,0.9168518518518518,0.9092546105384828,0.9244861006736756,768,942.6684551178854,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0308177657425403,0.0444648899137973,0.2273875772953033,0.0610133968293666,0.0943716764450073,0.3368575572967529,0.4268473957734044,15.0
eurosat-spatial,knn5,accuracy,0.6542592592592592,0.6420323848724365,0.6655601859092712,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.158109039068222,0.1733181625604629,0.4000000357627868,,,,,6.0
eurosat-spatial,linear,accuracy,0.9616666666666668,0.956842601299286,0.9681481719017028,768,160.37187437513276,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0167025104165077,0.0318381637334823,0.3842872083187103,0.0312903672456741,0.0562395080924034,0.2693853378295898,0.4038324542474166,15.0
forestnet,knn5,accuracy,0.3011077542799597,0.273841917514801,0.3282980918884277,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3500519394874573,0.3689858019351959,0.5283483862876892,,,,,6.0
forestnet,linear,accuracy,0.5196374622356495,0.4924471378326416,0.5508811473846436,768,160.37187437513276,,,6464,989,993,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.1077901571989059,0.121357224881649,0.2065180540084839,0.1788262724876403,0.1986672729253769,0.3361556529998779,0.7631970058390708,15.0
forestnet,knn5,accuracy,0.3212487411883182,0.2910120785236358,0.3545065522193908,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3458222448825836,0.359599232673645,0.451342910528183,,,,,6.0
forestnet,linear,accuracy,0.553877139979859,0.5226585865020752,0.5841137766838074,768,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0546730123460292,0.064898669719696,0.1865469068288803,0.0621166564524173,0.0760071575641632,0.1563283503055572,0.8105368655728293,15.0
m-bigearthnet,knn5,micro_mAP,0.5034116110581008,0.4856451451778412,0.520267128944397,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0378139543152132,0.0570299124648404,0.3062640251808388,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7241742722387914,0.71194988489151,0.7399129867553711,768,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0189323956471716,0.0510621447722579,0.4771658258382664,0.0203708670058742,0.0535440119633147,0.480828839679097,0.8970604812830004,15.0
m-brick-kiln,knn5,accuracy,0.8388388388388388,0.8167667388916016,0.8578829169273376,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0256262384355068,0.0306998770684003,0.040816307067871,,,,,6.0
m-brick-kiln,linear,accuracy,0.96996996996997,0.9599599838256836,0.9790040254592896,768,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.012970863841474,0.0293017290532588,0.1458005309104919,0.0125521942973136,0.0378433130681514,0.305586040019989,0.7836653420073905,15.0
m-bigearthnet,knn5,micro_mAP,0.4663644303584149,0.4491172432899475,0.4850427210330963,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.040274430651131,0.0582526150311148,0.3305385341477949,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.639444524950875,0.6263294219970703,0.655045211315155,768,160.37187437513276,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,rgb,43,,-6,4,40,True,200,,,,,,,0.0193105637377431,0.0516679642158885,0.4780271666687588,0.020579770857165,0.0545318270491999,0.4951552880364795,0.9120730805237856,15.0
m-eurosat,knn5,accuracy,0.761,0.7319250106811523,0.787024974822998,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0326001122593879,0.0362512096762657,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.962,0.9499750137329102,0.972000002861023,768,289.426612471674,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0076364884153008,0.0355733335018157,0.5359319448471069,0.0368232056498527,0.0877836495637893,0.8057805895805359,0.0833878769979259,15.0
