dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8646296296296296,0.853134274482727,0.8738889098167419,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.05374027043581,0.0554705262184143,0.0935891270637512,,,,,6.0
eurosat-spatial,linear,accuracy,0.9598148148148148,0.9540555477142334,0.9651851654052734,768,27.28333376486764,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0163161270320415,0.0297309923917055,0.3232601583003998,0.0401106253266334,0.061170008033514,0.81308913230896,0.014477036346801,15.0
benv2,knn5,micro_mAP,0.7056566596866056,0.6984596848487854,0.71187424659729,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0376843077277666,0.0513203228872857,0.222917088944661,,,,,6.0
benv2,linear,micro_mAP,0.8254984351028354,0.8197416663169861,0.8312839269638062,768,2.5719138090593416,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0143806799590636,0.0303147772425099,0.254143907835609,0.0163742847752904,0.0330596045394869,0.2754539337597395,0.921307999737583,15.0
eurosat-spatial,knn5,accuracy,0.7705555555555555,0.7601666450500488,0.7824166417121887,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0840359777212143,0.0907206609845161,0.6333333253860474,,,,,6.0
eurosat-spatial,linear,accuracy,0.915925925925926,0.9075694680213928,0.9235185384750366,768,15.1177507061566,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0134748816490173,0.0217696763575077,0.2623690366744995,0.0492727048695087,0.07129767537117,0.3217086493968963,0.5343373432059785,15.0
benv2,knn5,micro_mAP,0.6666898276387812,0.657800018787384,0.674552321434021,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.04144483816957,0.054510290489385,0.2270216581068541,,,,,6.0
benv2,linear,micro_mAP,0.7886862398125821,0.7823822498321533,0.7947298884391785,768,8.376776400682907,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.015150353245094,0.0288560073332566,0.2481884407369714,0.0155183902733322,0.029533690993527,0.2396516031340549,0.9378134572688956,15.0
forestnet,knn5,accuracy,0.4028197381671702,0.370594173669815,0.4300604462623596,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3172215521335602,0.3339315354824066,0.459576278924942,,,,,6.0
forestnet,linear,accuracy,0.5579053373615307,0.5266364216804504,0.590156078338623,768,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base_cls,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0341942831873893,0.0508495680987834,0.4372653365135193,0.0862627252936363,0.1009416952729225,0.3323835730552673,0.7869003056587968,15.0
