dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3403826787512588,0.3091389536857605,0.3746223449707031,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3476347327232361,0.3591131269931793,0.4704999923706054,,,,,6.0
forestnet,linear,accuracy,0.4813695871097684,0.4521399736404419,0.51865553855896,768,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0481182485818862,0.0641403421759605,0.1677406430244445,0.046523317694664,0.0577506944537162,0.1134344935417175,0.8237962153112349,15.0
eurosat-spatial,knn5,accuracy,0.7229629629629629,0.7094444632530212,0.7351898550987244,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.1235544085502624,0.1335459649562835,0.2078080177307129,,,,,6.0
eurosat-spatial,linear,accuracy,0.8892592592592593,0.8807361125946045,0.897986114025116,768,27.28333376486764,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0303248222917318,0.0405204407870769,0.112399160861969,0.0640623569488525,0.0872544273734092,0.3314328789710998,0.6215143013244049,15.0
benv2,knn5,micro_mAP,0.6807290491871258,0.6715803742408752,0.689242959022522,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0413922343317321,0.0560426590964198,0.2627060664327521,,,,,6.0
benv2,linear,micro_mAP,0.8019183275821423,0.795893669128418,0.8072584271430969,768,27.28333376486764,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0155673598775664,0.0326973581686615,0.2903555670851155,0.0159171426172466,0.0330403754977803,0.291372581532127,0.9900800508339984,15.0
forestnet,knn5,accuracy,0.3454179254783484,0.3101711869239807,0.3686052560806274,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.331924706697464,0.3532739579677582,0.4541373252868652,,,,,6.0
forestnet,linear,accuracy,0.5085599194360524,0.4772406816482544,0.5427995920181274,768,1.4251026703029963,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0518440715968608,0.0599544309079647,0.1570643335580825,0.0702801495790481,0.0840881019830703,0.3186991810798645,0.8419386388217444,15.0
m-brick-kiln,knn5,accuracy,0.911911911911912,0.8928928971290588,0.9279529452323914,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.034634456038475,0.0395196639001369,0.0739138722419738,,,,,6.0
m-brick-kiln,linear,accuracy,0.958958958958959,0.946946918964386,0.9699699878692628,768,27.28333376486764,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0113581214100122,0.0310133527964353,0.1807276606559753,0.0135321589186787,0.0350765138864517,0.2646986246109009,0.8332623730016091,15.0
