dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3806646525679758,0.3523917496204376,0.4058660566806793,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.2986921370029449,0.3146160542964935,0.4285734593868255,,,,,6.0
forestnet,linear,accuracy,0.552870090634441,0.52260822057724,0.5800604224205017,1024,1.4208308325339238,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.0545422583818435,0.0704380348324775,0.1934078335762024,0.0815096125006675,0.093608021736145,0.2390401512384414,0.8372152457909458,15.0
m-brick-kiln,knn5,accuracy,0.908908908908909,0.8858858942985535,0.9249499440193176,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0266268737614154,0.0286841336637735,0.055462896823883,,,,,6.0
m-brick-kiln,linear,accuracy,0.9369369369369368,0.9208958745002748,0.9510260820388794,1024,42375.87160604072,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0228094290941953,0.0521383620798587,0.2411969304084777,0.026422269642353,0.046790350228548,0.2240247726440429,0.94601237082488,15.0
forestnet,knn5,accuracy,0.3192346424974824,0.2950654625892639,0.3474572002887726,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.3478363156318664,0.3624652922153473,0.4678986668586731,,,,,6.0
forestnet,linear,accuracy,0.5458207452165156,0.5135951638221741,0.5750755667686462,1024,0.1660882782627716,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.0515313260257244,0.0699535012245178,0.1398265361785888,0.0700569972395896,0.0843849256634712,0.217976227402687,0.8201117664474098,15.0
m-brick-kiln,knn5,accuracy,0.9029029029029028,0.8828828930854797,0.9189689755439758,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0444442108273506,0.0471297241747379,0.0846161246299743,,,,,6.0
m-brick-kiln,linear,accuracy,0.9529529529529528,0.9419168829917908,0.9679930210113524,1024,65096.752304581634,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0163543820381164,0.037858884781599,0.2228619456291198,0.0169558450579643,0.0382200144231319,0.2232329845428466,0.9751375624496056,15.0
m-eurosat,knn5,accuracy,0.823,0.7989750504493713,0.8500249981880188,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0317999050021171,0.0348313935101032,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.939,0.9229750037193298,0.9539999961853028,1024,245.37511066398167,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0328443497419357,0.0570006892085075,0.4375700950622558,0.0538987629115581,0.1097142472863197,0.7144148349761963,0.2451352707814736,15.0
eurosat-spatial,knn5,accuracy,0.7387037037037038,0.7275925874710083,0.749833345413208,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.117813654243946,0.1284992843866348,0.3000000119209289,,,,,6.0
eurosat-spatial,linear,accuracy,0.910925925925926,0.9018471837043762,0.9194536805152892,1024,12.15474250076286,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0359001643955707,0.0550884269177913,0.1884123980998993,0.0699948891997337,0.1116713434457779,0.3989258408546448,0.3879805188946393,15.0
m-eurosat,knn5,accuracy,0.799,0.7749499678611755,0.8280249834060669,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0318000018596649,0.0345444306731224,0.0703296065330505,,,,,6.0
m-eurosat,linear,accuracy,0.941,0.925000011920929,0.9550249576568604,1024,889.5134973108254,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0412965677678585,0.059835348278284,0.3918123543262481,0.0562710389494895,0.0976715087890625,0.7448028326034546,0.2204173116272581,15.0
m-bigearthnet,knn5,micro_mAP,0.5478594541803827,0.5309600830078125,0.5666111707687378,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.0331767496089775,0.0509124277159571,0.2712971715386523,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7003492209973481,0.6855698227882385,0.7142917513847351,1024,18.67181091291921,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,model_native,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.019825730797683,0.0535289751755636,0.5172585522712663,0.0209790117345577,0.0538707033319528,0.51256812866344,0.958646518086271,15.0
m-bigearthnet,knn5,micro_mAP,0.5465224612720976,0.529778003692627,0.5655022859573364,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.0331674437580067,0.049580012448132,0.2703381139178609,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.6891648471998647,0.6765468716621399,0.7054126262664795,1024,5.150678076168122,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,43,,-6,5,60,True,200,,,,,,,0.0189366996028395,0.0518421899354042,0.4694007486104965,0.0206770177627372,0.0535942803375249,0.4489982498939647,0.9252759445905692,15.0
benv2,knn5,micro_mAP,0.6717559868569638,0.6617105603218079,0.6805123686790466,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,19,,-6,5,60,True,200,,,,,,,0.0409000075642803,0.0560210641277463,0.2547703361824939,,,,,6.0
benv2,linear,micro_mAP,0.813772992472392,0.8080291152000427,0.8192257881164551,1024,7.912342618981326,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,19,,-6,5,60,True,200,,,,,,,0.0160374012637858,0.0324512119650056,0.2726477015959589,0.0168625154903183,0.0329206870917819,0.2609970177474774,0.9582917637399254,15.0
m-so2sat,knn5,accuracy,0.3651115618661257,0.336637943983078,0.3895030617713928,1024,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,17,,-6,5,60,True,200,,,,,,,0.3310354948043823,0.3487755954265594,0.4814176559448242,,,,,6.0
m-so2sat,linear,accuracy,0.6703853955375254,0.6369168162345886,0.6978701949119568,1024,4953.53520895918,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,17,,-6,5,60,True,200,,,,,,,0.1714856177568435,0.1882207095623016,0.329314649105072,0.2053041309118271,0.2214076071977615,0.3558729290962219,0.7982776046239446,15.0
treesatai,knn5,micro_mAP,0.4486587368182557,0.4345599710941314,0.4645313024520874,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,15,,-6,5,60,True,200,,,,,,,0.0650666515653332,0.0854811077316602,0.4187330136696497,,,,,6.0
treesatai,linear,micro_mAP,0.6082026105928859,0.5947483777999878,0.6259377598762512,1024,0.2551406520031287,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,15,,-6,5,60,True,200,,,,,,,0.022193946611757,0.0338007816113531,0.2540855546481907,0.0217036842989424,0.0320797991007566,0.24658987581109,0.9438776557441072,15.0
so2sat,knn5,accuracy,0.3651115618661257,0.3346855938434601,0.3986054956912994,1024,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,17,,-6,5,60,True,200,,,,,,,0.3310354948043823,0.3487755954265594,0.4814176559448242,,,,,6.0
so2sat,linear,accuracy,0.6845841784989858,0.6541075110435486,0.7140466570854187,1024,18.67181091291921,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,all,17,,-6,5,60,True,200,,,,,,,0.086246520280838,0.0976755768060684,0.246647298336029,0.1302328705787658,0.1443160027265548,0.2593341767787933,0.802214857718121,15.0
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.8748498558998108,0.9119119048118592,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0324322544038295,0.0331991948187351,0.0477996468544006,,,,,6.0
m-brick-kiln,linear,accuracy,0.958958958958959,0.945945918560028,0.9699699878692628,1024,7609.496685459868,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0205790884792804,0.042094562202692,0.1753554046154022,0.0203051753342151,0.0354038402438163,0.1791599690914154,0.8587294471280171,15.0
