dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.31822759315206445,0.2869838774204254,0.34443604946136475,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,12,-6,5,60,True,200,,,,,0.348239004611969,0.36225083470344543,0.45737242698669434,,,,,6.0
forestnet,linear,accuracy,0.525679758308157,0.491440087556839,0.5569234490394592,1280,0.04581597669054491,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,12,-6,5,60,True,200,,,,,0.060258861631155014,0.07684136927127838,0.188221275806427,0.06881275773048401,0.08091863244771957,0.14713099598884583,0.7938693005746094,15.0
forestnet,intrinsic_dim,id_TwoNN_train,5.764487266540527,0.0,0.0,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,12,-6,5,60,True,200,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,4.513591289520264,0.0,0.0,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,12,-6,5,60,True,200,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,12,-6,5,60,True,200,,,,,,,,,,,,
eurosat-spatial,knn5,accuracy,0.7266666666666667,0.7161111235618591,0.7387407422065735,1280,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,0.1267767697572708,0.1448083370923996,0.30000001192092896,,,,,6.0
eurosat-spatial,linear,accuracy,0.9166666666666666,0.9079583287239075,0.9246481657028198,1280,5.150678076168122,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,0.02630484290421009,0.05006444454193115,0.1922435611486435,0.05596768110990524,0.08855371922254562,0.3507624566555023,0.5210220681444675,15.0
eurosat-spatial,intrinsic_dim,id_TwoNN_train,7.866468906402588,0.0,0.0,1280,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,5.728475570678711,0.0,0.0,1280,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,5.0,0.0,0.0,1280,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,,,,,,,,
m-eurosat,knn5,accuracy,0.813,0.788849949836731,0.8380249738693237,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,0.03339950740337372,0.03587454557418823,0.05833238363265991,,,,,6.0
m-eurosat,linear,accuracy,0.941,0.9259499907493591,0.9539999961853027,1280,1366.4483492953243,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,0.03928938880562782,0.06215807422995567,0.23794025182724,0.05440153554081917,0.10544059425592422,0.8783454298973083,0.3242131776365278,15.0
m-eurosat,intrinsic_dim,id_TwoNN_train,5.527332305908203,0.0,0.0,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,4.389270305633545,0.0,0.0,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,10,-6,5,60,True,200,,,,,,,,,,,,
m-brick-kiln,knn5,accuracy,0.8938938938938938,0.8738738894462585,0.9079329371452332,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,2,-6,5,60,True,200,,,,,0.024224646389484406,0.025906596332788467,0.029411792755126953,,,,,6.0
m-brick-kiln,linear,accuracy,0.96996996996997,0.9569569826126099,0.9800050258636475,1280,7.912342618981326,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,2,-6,5,60,True,200,,,,,0.013027637265622616,0.03820444643497467,0.22261589765548706,0.017903191968798637,0.03463851287961006,0.17039066553115845,0.802521507171034,15.0
m-brick-kiln,intrinsic_dim,id_TwoNN_train,7.051425457000732,0.0,0.0,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,2,-6,5,60,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,6.023646831512451,0.0,0.0,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,2,-6,5,60,True,200,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,4.0,0.0,0.0,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,2,-6,5,60,True,200,,,,,,,,,,,,
m-bigearthnet,knn5,micro_mAP,0.5324918195558599,0.5159937143325806,0.5520082116127014,1280,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,43,-6,5,60,True,200,,,,,0.03366511879315556,0.05098875518888235,0.28356075494788413,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7079849042199646,0.6939880847930908,0.7218260169029236,1280,3.35292414924956,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,43,-6,5,60,True,200,,,,,0.018321158115340526,0.04986553964053476,0.462232984429182,0.020205814023177292,0.053682922363974324,0.49673011205917184,0.8908248189019671,15.0
m-bigearthnet,intrinsic_dim,id_TwoNN_train,8.693437576293945,0.0,0.0,1280,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,43,-6,5,60,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,7.012777328491211,0.0,0.0,1280,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,43,-6,5,60,True,200,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,1280,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,43,-6,5,60,True,200,,,,,,,,,,,,
benv2,knn5,micro_mAP,0.6675163748528363,0.6577831506729126,0.6765419840812683,1280,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,19,-6,5,60,True,200,,,,,0.041536969243009626,0.0560564924227564,0.27083520434404673,,,,,6.0
benv2,linear,micro_mAP,0.8252983722563468,0.819358766078949,0.83039391040802,1280,5.150678076168122,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,19,-6,5,60,True,200,,,,,0.014026655993228289,0.029026046934488573,0.2984936582414727,0.014686042977509237,0.03017176418124061,0.29495752563602046,0.9262821537113386,15.0
benv2,intrinsic_dim,id_TwoNN_train,8.381511688232422,0.0,0.0,1280,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,19,-6,5,60,True,200,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,6.126938343048096,0.0,0.0,1280,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,19,-6,5,60,True,200,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,4.0,0.0,0.0,1280,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,19,-6,5,60,True,200,,,,,,,,,,,,
m-so2sat,knn5,accuracy,0.345841784989858,0.3204614520072937,0.3732505142688751,1280,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,17,-6,5,60,True,200,,,,,0.3468570411205292,0.3655548393726349,0.4810362756252289,,,,,6.0
m-so2sat,linear,accuracy,0.678498985801217,0.6501014232635498,0.7109533548355103,1280,5.150678076168122,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,17,-6,5,60,True,200,,,,,0.05243394896388054,0.06402647495269775,0.1888338029384613,0.11997875571250916,0.1293068379163742,0.2115490436553955,0.714177979879929,15.0
m-so2sat,intrinsic_dim,id_TwoNN_train,5.3976521492004395,0.0,0.0,1280,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,17,-6,5,60,True,200,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,4.894723415374756,0.0,0.0,1280,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,bandspec_zscore,224,bilinear,default,all,17,-6,5,60,True,200,,,,,,,,,,,,
