dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3172205438066465,0.2890231609344482,0.3464249670505523,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.3591151237487793,0.3717979192733764,0.4859522581100464,,,,,6.0
forestnet,linear,accuracy,0.5488418932527693,0.5206193327903748,0.5771651864051819,1280,0.3919406774847221,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.0582168400287628,0.0645137205719947,0.0961769819259643,0.077191986143589,0.087746188044548,0.1893957555294037,0.7605959955737064,15.0
forestnet,knn5,accuracy,0.4118831822759315,0.3785750269889831,0.4380916357040405,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.290031373500824,0.3091991543769836,0.4543228447437286,,,,,6.0
forestnet,linear,accuracy,0.5387713997985901,0.5065458416938782,0.5670191645622253,1280,17957.14494371641,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,model_native,224,bilinear,default,all,12,,-6,5,60,True,200,,,,,,,0.1567790508270263,0.1732701659202575,0.2583610415458679,0.097596175968647,0.119803287088871,0.2222662568092346,1.2431701732922689,15.0
m-brick-kiln,knn5,accuracy,0.9129129129129128,0.8958708643913269,0.9269519448280334,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0220222510397434,0.022259097546339,0.0310685038566589,,,,,6.0
m-brick-kiln,linear,accuracy,0.961961961961962,0.9489489197731018,0.9729729890823364,1280,5.150678076168122,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0181104205548763,0.0489397197961807,0.5221254229545593,0.0135159594938158,0.0385375469923019,0.5235381126403809,0.7633509983528942,15.0
eurosat-spatial,knn5,accuracy,0.8024074074074075,0.7920277714729309,0.8138935565948486,1280,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0820733681321144,0.0875009447336196,0.550000011920929,,,,,6.0
eurosat-spatial,linear,accuracy,0.915,0.9072129726409912,0.9225972294807434,1280,5.150678076168122,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0100696329027414,0.0234850272536277,0.2524974942207336,0.0433669760823249,0.0697851777076721,0.2463891506195068,0.6039456547152389,15.0
m-brick-kiln,knn5,accuracy,0.914914914914915,0.8968718647956848,0.9319319128990172,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,model_native,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0262261051684618,0.0262569896876811,0.029112696647644,,,,,6.0
m-brick-kiln,linear,accuracy,0.954954954954955,0.9418918490409852,0.9640140533447266,1280,7609.496685459868,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,model_native,224,bilinear,default,all,2,,-6,5,60,True,200,,,,,,,0.0156401563435792,0.0387012474238872,0.2627456784248352,0.0168246794492006,0.0333282202482223,0.2346394062042236,0.8388518183229634,15.0
m-eurosat,knn5,accuracy,0.859,0.8339999914169312,0.8800249695777893,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600_cls,bandspec_zscore,224,bilinear,default,all,10,,-6,5,60,True,200,,,,,,,0.0275999214500188,0.0287597384303808,0.1333333402872085,,,,,6.0
